Date,    Manufacturing,        Durable goods,        Nondurable goods
1997,1379,573.5,893.4
1998,1444.3,626.3,879.4
1999,1531.7,675.3,910.2
2000,1641.1,754.8,916.8
2001,1586.1,714.4,912.2
2002,1602.6,732,905.1
2003,1702.8,792.2,938.5
2004,1824.3,848.7,1005.5
2005,1877.7,907.2,985.5
2006,1982.9,975.4,1016.9
2007,2065.5,1027.4,1044.5
2008,2021.2,1029.8,991.7
2009,1841.9,877.2,976.4
2010,1950.8,990.2,964.2
2011,1964.4,1061.2,903.1
2012,1964.6,1093.7,871.2
2013,2030.2,1120.3,910
2014,2049.2,1130.2,919.2
2015,2064.8,1139.9,925.1
2016,2049.3,1135.4,914
2017,2109.7,1178.3,931.4
2018,2213,1227.6,985.2
2019,2224.8,1241.9,982.9
2020,2128.3,1173,955.6
2021,2289.4,1263.5,1026.6
2022,2310.9,1293.5,1020.3
2023,2317.9,1282.4,1036.5
2024,,,
