,Monthly Nominal GDP Index,Monthly Real GDP Index,,
1992 - Jan,6310.181,10168.514,,
1992 - Feb,6352.476,10216.048,,
1992 - Mar,6426.649,10322.895,,
1992 - Apr,6443.691,10314.599,,
1992 - May,6429.304,10285.887,,
1992 - Jun,6539.294,10439.876,,
1992 - Jul,6558.362,10452.607,,
1992 - Aug,6553.782,10425.778,,
1992 - Sep,6587.779,10468.744,,
1992 - Oct,6637.685,10525.152,,
1992 - Nov,6676.680,10549.413,,
1992 - Dec,6728.044,10599.358,,
1993 - Jan,6705.792,10558.148,,
1993 - Feb,6738.168,10588.904,,
1993 - Mar,6744.417,10579.745,,
1993 - Apr,6766.203,10593.224,,
1993 - May,6816.967,10647.514,,
1993 - Jun,6843.647,10670.730,,
1993 - Jul,6833.243,10632.126,,
1993 - Aug,6874.673,10675.410,,
1993 - Sep,6938.378,10756.175,,
1993 - Oct,6942.106,10749.059,,
1993 - Nov,7036.696,10861.338,,
1993 - Dec,7062.412,10889.478,,
1994 - Jan,7069.265,10878.240,,
1994 - Feb,7118.609,10940.746,,
1994 - Mar,7159.081,10996.297,,
1994 - Apr,7182.142,11011.928,,
1994 - May,7286.218,11121.558,,
1994 - Jun,7272.433,11126.438,,
1994 - Jul,7296.193,11113.287,,
1994 - Aug,7352.252,11194.072,,
1994 - Sep,7344.780,11147.133,,
1994 - Oct,7431.532,11250.243,,
1994 - Nov,7431.005,11238.152,,
1994 - Dec,7503.327,11349.858,,
1995 - Jan,7535.389,11346.020,,
1995 - Feb,7478.539,11257.031,,
1995 - Mar,7552.940,11355.748,,
1995 - Apr,7534.626,11290.257,,
1995 - May,7560.387,11326.807,,
1995 - Jun,7647.978,11443.582,,
1995 - Jul,7628.988,11377.602,,
1995 - Aug,7677.222,11445.904,,
1995 - Sep,7743.165,11527.079,,
1995 - Oct,7754.533,11491.286,,
1995 - Nov,7746.173,11496.526,,
1995 - Dec,7817.053,11596.756,,
1996 - Jan,7835.977,11577.945,,
1996 - Feb,7847.293,11591.461,,
1996 - Mar,7922.134,11675.186,,
1996 - Apr,8026.041,11819.610,,
1996 - May,8008.352,11775.593,,
1996 - Jun,8064.126,11830.699,,
1996 - Jul,8107.728,11888.547,,
1996 - Aug,8116.232,11899.527,,
1996 - Sep,8170.264,11955.237,,
1996 - Oct,8260.298,12052.997,,
1996 - Nov,8272.226,12047.725,,
1996 - Dec,8246.789,12013.790,,
1997 - Jan,8309.893,12086.720,,
1997 - Feb,8387.067,12172.726,,
1997 - Mar,8391.006,12088.206,,
1997 - Apr,8509.637,12357.433,,
1997 - May,8478.806,12244.125,,
1997 - Jun,8568.032,12351.365,,
1997 - Jul,8621.275,12451.035,,
1997 - Aug,8655.044,12481.100,,
1997 - Sep,8712.150,12482.198,,
1997 - Oct,8747.989,12562.718,,
1997 - Nov,8737.158,12536.979,,
1997 - Dec,8812.574,12634.071,,
1998 - Jan,8770.138,12567.494,,
1998 - Feb,8896.317,12756.244,,
1998 - Mar,8932.985,12788.702,,
1998 - Apr,8926.106,12762.450,,
1998 - May,8953.525,12795.596,,
1998 - Jun,9029.466,12906.947,,
