Date,      Manufacturing,        Durable goods manufacturing,        Nondurable goods manufacturing
1998:Q1,812991500,537106928,275884572
1998:Q2,822950976,544377836,278573140
1998:Q3,821834640,541790112,280044528
1998:Q4,840058884,555401124,284657760
1999:Q1,832971844,548005600,284966244
1999:Q2,840673892,554706144,285967748
1999:Q3,854567188,564353824,290213364
1999:Q4,865687076,576270432,289416644
2000:Q1,901805212,603352912,298452300
2000:Q2,889485232,593705648,295779584
2000:Q3,905292848,606554788,298738060
2000:Q4,894204708,592622652,301582056
2001:Q1,907735476,604459300,303276176
2001:Q2,892264928,591260912,301004016
2001:Q3,870491848,572625464,297866384
2001:Q4,856991748,562590324,294401424
2002:Q1,845248484,552838180,292410304
2002:Q2,853319608,559070804,294248804
2002:Q3,844996996,550924720,294072276
2002:Q4,842554912,547526296,295028616
2003:Q1,838355568,543115800,295239768
2003:Q2,839699720,543071580,296628140
2003:Q3,841866704,546000768,295865936
2003:Q4,867998008,565131852,302866156
2004:Q1,850458600,555529732,294928868
2004:Q2,868531016,568434524,300096492
2004:Q3,890410200,586194608,304215592
2004:Q4,885368184,581341136,304027048
2005:Q1,890606404,587576944,303029460
2005:Q2,891893148,585922172,305970976
2005:Q3,899029408,592460940,306568468
2005:Q4,900351040,594175944,306175096
2006:Q1,926769060,617474604,309294456
2006:Q2,921497820,613840208,307657612
2006:Q3,918898416,609581180,309317236
2006:Q4,928754704,618340008,310414696
2007:Q1,943521172,628384576,315136596
2007:Q2,945728980,628834984,316893996
2007:Q3,942294152,627780176,314513976
2007:Q4,943011696,624688264,318323432
2008:Q1,943370820,623941752,319429068
2008:Q2,939577784,621745928,317831856
2008:Q3,930918744,615044016,315874728
2008:Q4,913696652,601156304,312540348
2009:Q1,852753952,553377172,299376780
2009:Q2,832858168,538219340,294638828
2009:Q3,820193472,527706552,292486920
2009:Q4,834922408,537584936,297337472
2010:Q1,819723564,523437884,296285680
2010:Q2,846228428,547101744,299126684
2010:Q3,856209656,552316624,303893032
2010:Q4,866530352,562043748,304486604
2011:Q1,881611540,576648088,304963452
2011:Q2,879392208,575164284,304227924
2011:Q3,886402424,582717944,303684480
2011:Q4,882017828,580213684,301804144
2012:Q1,911025424,602960008,308065416
2012:Q2,917051128,605096684,311954444
2012:Q3,916315640,602375324,313940316
2012:Q4,923415808,607107984,316307824
2013:Q1,924027028,608333452,315693576
2013:Q2,929873332,610335320,319538012
2013:Q3,933707076,614726884,318980192
2013:Q4,940580564,615252344,325328220
2014:Q1,961070084,628211464,332858620
2014:Q2,966111800,633478964,332632836
2014:Q3,974014100,640260784,333753316
2014:Q4,990892016,652296788,338595228
2015:Q1,1000536484,659166512,341369972
2015:Q2,1004723356,662635792,342087564
2015:Q3,1010136104,665179560,344956544
2015:Q4,1010320056,663814136,346505920
2016:Q1,1007884740,663556168,344328572
2016:Q2,1008178928,662518916,345660012
2016:Q3,1013536416,666178000,347358416
2016:Q4,1023007916,671630916,351377000
2017:Q1,1033833876,679190020,354643856
2017:Q2,1046793628,690380672,356412956
2017:Q3,1057372344,696876716,360495628
2017:Q4,1075612152,712948592,362663560
2018:Q1,1094141660,725336268,368805392
2018:Q2,1090783172,726497296,364285876
2018:Q3,1105954972,735712804,370242168
2018:Q4,1113888196,739705632,374182564
2019:Q1,1128093456,749102432,378991024
2019:Q2,1129046988,746761008,382285980
2019:Q3,1122191548,739259160,382932388
2019:Q4,1137644008,751693400,385950608
2020:Q1,1136846768,746657292,390189476
2020:Q2,1069396220,694586244,374809976
2020:Q3,1106011200,718822948,387188252
2020:Q4,1148169812,752033516,396136296
2021:Q1,1153300184,759761980,393538204
2021:Q2,1173654392,778014772,395639620
2021:Q3,1180989900,772823368,408166532
2021:Q4,1217687524,798743880,418943644
2022:Q1,1237575160,810304352,427270808
2022:Q2,1253205740,821784980,431420760
2022:Q3,1283508372,842634476,440873896
2022:Q4,1284654728,842228192,442426536
2023:Q1,1297788900,852823788,444965112
2023:Q2,1317547648,871730020,445817628
2023:Q3,1335936596,885470968,450465628
2023:Q4,1348498856,896491224,452007632
2024:Q1,1372633800,915614300,457019500
2024:Q2,1398805200,932529200,466276000
