Series Id,Year,Period,Value
CWUR0000SAN,1956,M01,29.3
CWUR0000SAN,1956,M02,29.3
CWUR0000SAN,1956,M03,29.4
CWUR0000SAN,1956,M04,29.4
CWUR0000SAN,1956,M05,29.6
CWUR0000SAN,1956,M06,30
CWUR0000SAN,1956,M07,30.2
CWUR0000SAN,1956,M08,30.1
CWUR0000SAN,1956,M09,30.1
CWUR0000SAN,1956,M10,30.2
CWUR0000SAN,1956,M11,30.2
CWUR0000SAN,1956,M12,30.2
CWUR0000SAN,1957,M01,30.2
CWUR0000SAN,1957,M02,30.4
CWUR0000SAN,1957,M03,30.4
CWUR0000SAN,1957,M04,30.5
CWUR0000SAN,1957,M05,30.6
CWUR0000SAN,1957,M06,30.8
CWUR0000SAN,1957,M07,31.1
CWUR0000SAN,1957,M08,31.1
CWUR0000SAN,1957,M09,31.1
CWUR0000SAN,1957,M10,31
CWUR0000SAN,1957,M11,31
CWUR0000SAN,1957,M12,31
CWUR0000SAN,1958,M01,31.2
CWUR0000SAN,1958,M02,31.3
CWUR0000SAN,1958,M03,31.6
CWUR0000SAN,1958,M04,31.7
CWUR0000SAN,1958,M05,31.7
CWUR0000SAN,1958,M06,31.7
CWUR0000SAN,1958,M07,31.8
CWUR0000SAN,1958,M08,31.6
CWUR0000SAN,1958,M09,31.6
CWUR0000SAN,1958,M10,31.5
CWUR0000SAN,1958,M11,31.5
CWUR0000SAN,1958,M12,31.4
CWUR0000SAN,1959,M01,31.4
CWUR0000SAN,1959,M02,31.3
CWUR0000SAN,1959,M03,31.2
CWUR0000SAN,1959,M04,31.2
CWUR0000SAN,1959,M05,31.2
CWUR0000SAN,1959,M06,31.5
CWUR0000SAN,1959,M07,31.6
CWUR0000SAN,1959,M08,31.5
CWUR0000SAN,1959,M09,31.6
CWUR0000SAN,1959,M10,31.6
CWUR0000SAN,1959,M11,31.6
CWUR0000SAN,1959,M12,31.5
CWUR0000SAN,1960,M01,31.4
CWUR0000SAN,1960,M02,31.4
CWUR0000SAN,1960,M03,31.5
CWUR0000SAN,1960,M04,31.8
CWUR0000SAN,1960,M05,31.8
CWUR0000SAN,1960,M06,31.9
CWUR0000SAN,1960,M07,31.9
CWUR0000SAN,1960,M08,31.9
CWUR0000SAN,1960,M09,32
CWUR0000SAN,1960,M10,32.1
CWUR0000SAN,1960,M11,32.2
CWUR0000SAN,1960,M12,32.2
CWUR0000SAN,1961,M01,32.1
CWUR0000SAN,1961,M02,32.2
CWUR0000SAN,1961,M03,32.1
CWUR0000SAN,1961,M04,32.1
CWUR0000SAN,1961,M05,32
CWUR0000SAN,1961,M06,32.1
CWUR0000SAN,1961,M07,32.2
CWUR0000SAN,1961,M08,32.2
CWUR0000SAN,1961,M09,32.2
CWUR0000SAN,1961,M10,32.2
CWUR0000SAN,1961,M11,32.1
CWUR0000SAN,1961,M12,32.1
CWUR0000SAN,1962,M01,32.1
CWUR0000SAN,1962,M02,32.2
CWUR0000SAN,1962,M03,32.2
CWUR0000SAN,1962,M04,32.4
CWUR0000SAN,1962,M05,32.2
CWUR0000SAN,1962,M06,32.3
CWUR0000SAN,1962,M07,32.4
CWUR0000SAN,1962,M08,32.4
CWUR0000SAN,1962,M09,32.7
CWUR0000SAN,1962,M10,32.6
CWUR0000SAN,1962,M11,32.6
CWUR0000SAN,1962,M12,32.5
CWUR0000SAN,1963,M01,32.6
CWUR0000SAN,1963,M02,32.7
CWUR0000SAN,1963,M03,32.6
CWUR0000SAN,1963,M04,32.6
CWUR0000SAN,1963,M05,32.6
CWUR0000SAN,1963,M06,32.7
CWUR0000SAN,1963,M07,33
CWUR0000SAN,1963,M08,33
CWUR0000SAN,1963,M09,32.9
CWUR0000SAN,1963,M10,32.9
CWUR0000SAN,1963,M11,33
CWUR0000SAN,1963,M12,33
CWUR0000SAN,1964,M01,33
CWUR0000SAN,1964,M02,33
CWUR0000SAN,1964,M03,33
CWUR0000SAN,1964,M04,33
CWUR0000SAN,1964,M05,33
CWUR0000SAN,1964,M06,33.1
CWUR0000SAN,1964,M07,33.2
CWUR0000SAN,1964,M08,33.2
CWUR0000SAN,1964,M09,33.2
CWUR0000SAN,1964,M10,33.2
CWUR0000SAN,1964,M11,33.2
CWUR0000SAN,1964,M12,33.3
CWUR0000SAN,1965,M01,33.2
CWUR0000SAN,1965,M02,33.2
CWUR0000SAN,1965,M03,33.2
CWUR0000SAN,1965,M04,33.5
CWUR0000SAN,1965,M05,33.6
CWUR0000SAN,1965,M06,34
CWUR0000SAN,1965,M07,34
CWUR0000SAN,1965,M08,33.9
CWUR0000SAN,1965,M09,34
CWUR0000SAN,1965,M10,34
CWUR0000SAN,1965,M11,34
CWUR0000SAN,1965,M12,34.2
CWUR0000SAN,1966,M01,34.2
CWUR0000SAN,1966,M02,34.6
CWUR0000SAN,1966,M03,34.7
CWUR0000SAN,1966,M04,34.8
CWUR0000SAN,1966,M05,34.8
CWUR0000SAN,1966,M06,34.8
CWUR0000SAN,1966,M07,35
