STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,Countrycode,Country,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_HORIZ,Time horizon,METHODOLOGY,Calculation methodology,Date,Time period,Capacity Utilization,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1969,,80.875,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1970,,80.5,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1971,,76.975,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1972,,76.475,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1973,,77.45,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1974,,76.7,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1975,,69.325,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1976,,74,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1977,,72.825,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_BTS(4.0),Business tendency surveys,I,ITA,Italy,A,Annual,CURT,Rate of capacity utilisation,PB,Percentage balance,C,Manufacturing,Y,Calendar and seasonally adjusted,_Z,Not applicable,C,Current,N,National,1978,,73.85,,A,Normal value,0,Units,2,Two,,
