STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1960,,32.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1961,,33.900002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1962,,34.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1963,,35.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1964,,35.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1965,,35.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1966,,35,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1967,,34.599998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1968,,34.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1969,,35.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1970,,35.299999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1971,,34.799999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1972,,34.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,JPN,Japan,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1973,,33.700001,,A,Normal value,0,Units,1,One
