prd,cplt,ppi,ltint,unioncov,unint,rw
143.650,76.323,153.967,4.160,1415.262,1000.000,15.869
143.663,76.307,156.700,4.213,1414.841,701.080,15.863
146.362,76.112,161.967,4.490,1413.691,777.310,15.854
149.833,77.846,168.233,4.570,1411.787,737.310,15.823
152.583,77.931,166.767,5.070,1409.086,580.310,15.832
152.215,77.878,170.000,4.897,1406.313,506.770,15.822
152.408,77.594,170.967,4.630,1403.464,483.000,15.816
156.724,77.235,167.433,4.680,1400.534,447.230,15.812
157.883,77.587,169.167,4.847,1397.519,661.620,15.825
162.274,78.640,175.433,4.730,1396.248,630.000,15.800
168.119,78.268,176.133,4.260,1396.788,553.850,15.770
169.332,78.739,179.800,3.663,1399.110,607.380,15.762
168.587,78.782,185.867,3.887,1403.094,718.310,15.770
173.422,77.202,199.267,3.863,1404.091,804.230,15.754
176.313,74.184,204.000,3.253,1402.188,918.460,15.750
171.009,68.100,180.000,2.737,1397.215,1082.770,15.796
166.384,61.531,170.967,3.313,1388.681,1805.690,15.813
172.446,58.983,172.600,3.517,1381.558,2394.000,15.814
178.127,61.564,176.400,3.460,1376.220,2731.620,15.787
187.359,63.420,179.433,3.717,1372.989,3100.000,15.768
194.394,65.613,184.600,3.490,1372.080,4012.620,15.709
202.766,68.478,186.867,2.787,1371.686,3462.850,15.702
209.139,70.080,187.000,2.863,1371.813,3247.540,15.673
213.699,70.836,189.633,3.460,1372.459,3381.690,15.667
212.407,72.058,197.000,3.210,1373.613,3612.690,15.688
212.269,71.945,204.967,2.427,1374.084,3678.540,15.675
211.785,72.928,204.667,2.047,1373.883,3475.380,15.683
214.739,73.919,201.533,2.037,1373.004,2904.620,15.658
213.302,75.403,202.967,1.823,1371.429,2862.230,15.689
212.674,75.744,202.433,1.643,1370.893,2782.770,15.687
210.915,75.108,201.833,1.707,1371.412,2577.850,15.689
212.218,75.074,201.300,1.950,1372.971,2478.690,15.691
216.148,75.473,203.000,1.997,1375.520,2531.690,15.673
215.175,75.211,203.300,2.710,1377.131,2054.770,15.681
216.907,75.079,203.867,2.747,1377.848,1892.310,15.680
215.995,75.738,201.867,2.763,1377.690,1915.380,15.678
211.913,75.733,205.267,2.623,1376.652,1428.540,15.715
213.455,77.060,206.733,2.497,1375.888,1305.690,15.709
216.160,77.788,206.033,2.280,1375.403,1265.380,15.699
214.345,78.080,198.600,1.967,1375.203,1176.000,15.722
214.420,77.194,189.800,2.167,1375.289,1609.850,15.730
212.933,76.957,191.433,2.220,1375.055,939.000,15.740
213.073,76.806,189.933,2.190,1374.498,766.150,15.742
211.900,75.595,184.167,1.920,1373.614,825.000,15.747
212.924,75.019,180.233,1.753,1372.394,951.080,15.745
212.652,74.838,184.067,1.563,1371.615,810.920,15.750
215.071,74.875,186.533,2.130,1371.288,942.690,15.746
215.721,74.988,187.367,2.443,1371.416,973.380,15.753
217.579,75.261,191.367,2.263,1371.999,890.150,15.754
220.047,76.054,192.700,2.243,1372.411,708.080,15.758
222.704,75.789,194.100,2.370,1372.654,831.000,15.753
226.256,77.071,196.500,2.760,1372.731,671.460,15.752
226.176,77.963,199.800,2.920,1372.641,576.230,15.761
224.352,78.805,203.833,2.927,1372.703,682.000,15.763
223.555,79.090,206.400,3.033,1372.917,543.690,15.771
224.706,79.081,204.833,2.653,1373.283,469.230,15.764
222.960,77.677,200.900,2.333,1373.797,420.000,15.778
224.567,77.016,202.367,1.797,1373.423,412.000,15.772
224.900,76.574,200.400,1.793,1372.150,448.000,15.762
225.637,75.986,199.100,1.377,1369.942,519.080,15.782
220.863,74.164,196.333,0.687,1366.738,510.000,15.799
217.743,60.968,186.967,0.650,1363.466,884.620,15.867
236.552,71.968,194.433,0.863,1360.123,1056.230,15.767
239.286,73.462,197.900,1.317,1356.705,788.310,15.793
242.192,74.019,210.700,1.593,1353.209,917.230,15.784
243.702,74.132,223.800,1.323,1351.549,1217.080,15.798
236.077,75.059,235.042,1.537,1351.818,802.620,15.802
240.484,76.271,244.189,1.940,1354.001,798.620,15.802
238.109,76.968,254.777,2.930,1357.975,807.230,15.814
236.532,77.769,274.981,3.107,1361.253,521.540,15.822
232.270,77.890,271.830,3.830,1363.897,519.230,15.857
230.459,77.195,261.948,3.647,1365.952,452.000,15.856
226.141,76.929,258.887,3.593,1367.454,309.620,15.885
228.838,77.092,254.738,4.150,1368.482,424.620,15.897
229.600,76.889,258.236,4.440,1369.050,386.000,15.909
231.969,76.085,253.844,4.160,1369.167,450.690,15.915
226.032,75.808,254.940,4.443,1368.833,383.690,15.964
230.187,75.579,256.591,3.947,1368.582,394.000,15.968
