,mfgunit
1,350
2,317.027027
3,300.3378378
4,358.3783784
5,422.3648649
6,403.3108108
7,516.5540541
8,652.7027027
9,848.3783784
10,914.3243243
11,825.8108108
12,936.4864865
13,1100.27027
14,1212.972973
15,1098.108108
16,964.7297297
17,1102.5
18,1082.22973
19,855.8783784
20,859.4594595
21,837.972973
22,686.8918919
23,652.2297297
24,690.8108108
25,565.5405405
26,534.6621622
27,518.0405405
28,448.6486486
29,593.6486486
30,542.027027
31,505.8108108
32,611.1486486
33,675.4054054
34,692.6351351
35,804.9324324
36,954.6621622
37,1546.283784
38,2043.918919
39,2245.945946
40,2629.594595
41,3064.864865
42,2902.162162
43,2628.175676
44,2774.459459
45,3026.081081
46,3055
47,2842.162162
48,2466.486486
49,2509.864865
50,2308.108108
51,2297.905405
52,2161.486486
53,2140.540541
54,1862.162162
55,1783.783784
56,1755.405405
57,1412.162162
58,1291.216216
59,1158.783784
60,1015.945946
61,1381.824324
62,964.0540541
63,687.027027
64,654.0540541
65,764.0540541
66,801.8918919
67,882.5675676
68,905.8783784
69,700
70,657.4324324
71,658.7837838
72,634.4594595
73,496.2162162
74,615.4054054
75,539.1891892
76,493.7837838
77,433.5810811
78,394.0540541
79,428.1081081
80,421.2837838
81,487.8378378
82,732.972973
83,914.5945946
84,708.1756757
85,933.6486486
86,1049.256757
87,732.5675676
88,682.8378378
89,664.4594595
90,441.8918919
91,469.1891892
92,351.3513514
93,346.2162162
94,432.3648649
95,370.3378378
96,441.9594595
97,406.3513514
98,361.3513514
99,484.7297297
100,558.1081081
