,x
1,1.3159
2,1.316
3,1.3161
4,1.3163
5,1.3166
6,1.3169
7,1.3173
8,1.3178
9,1.3183
10,1.3189
11,1.3195
12,1.3202
13,1.3209
14,1.3217
15,1.3225
16,1.3233
17,1.3241
18,1.3249
19,1.3258
20,1.3267
21,1.3276
22,1.3285
23,1.3294
24,1.3304
25,1.3314
26,1.3322
27,1.3327
28,1.3331
29,1.3333
30,1.3332
31,1.333
32,1.3326
33,1.3321
34,1.3315
35,1.3305
36,1.3292
37,1.3277
38,1.3265
39,1.3257
40,1.3252
41,1.325
42,1.3251
43,1.3254
44,1.3261
45,1.3271
46,1.3283
47,1.33
48,1.332
49,1.3345
50,1.3369
51,1.339
52,1.341
53,1.3428
54,1.3446
55,1.3462
56,1.3477
57,1.3492
58,1.3505
59,1.3517
60,1.3526
61,1.3534
62,1.3542
63,1.355
64,1.3558
65,1.3566
66,1.3573
67,1.358
68,1.3587
69,1.3594
70,1.36
71,1.3605
72,1.361
73,1.3613
74,1.3619
75,1.3628
76,1.3639
77,1.3652
78,1.3668
79,1.3685
80,1.3704
81,1.3726
82,1.3749
83,1.3776
84,1.3807
85,1.3841
86,1.387
87,1.3893
88,1.3909
89,1.3921
90,1.393
91,1.3935
92,1.3935
93,1.3932
94,1.3924
95,1.391
96,1.389
97,1.3864
98,1.3844
99,1.3829
100,1.382
101,1.3813
102,1.3809
103,1.3807
104,1.3808
105,1.3812
106,1.3818
107,1.383
108,1.3848
109,1.3872
110,1.3885
111,1.3889
112,1.3881
113,1.3867
114,1.3846
115,1.3819
116,1.3785
117,1.3745
118,1.37
119,1.3643
120,1.3574
121,1.3493
122,1.343
123,1.3385
124,1.3357
125,1.334
126,1.3332
127,1.3335
128,1.3349
129,1.3374
130,1.341
131,1.3465
132,1.3541
133,1.3636
134,1.3721
135,1.3795
136,1.3858
137,1.3915
138,1.3966
139,1.4011
140,1.4047
141,1.4075
142,1.4094
143,1.4103
144,1.4102
145,1.409
146,1.4078
147,1.4066
148,1.4053
149,1.4038
150,1.4021
151,1.4001
152,1.3981
153,1.3958
154,1.3934
155,1.3907
156,1.3877
157,1.3844
158,1.3816
159,1.3791
160,1.377
161,1.3751
162,1.3735
163,1.3721
164,1.371
165,1.3701
166,1.3695
167,1.3691
168,1.369
169,1.3692
170,1.3694
171,1.3696
172,1.3698
173,1.3702
174,1.3706
175,1.3711
176,1.3717
177,1.3723
178,1.3729
179,1.3736
180,1.3746
181,1.3758
182,1.3765
183,1.3769
184,1.3769
185,1.3766
186,1.376
187,1.3752
188,1.3742
189,1.3729
190,1.3714
191,1.3695
192,1.367
193,1.3641
194,1.3619
195,1.3603
196,1.3594
197,1.359
198,1.3591
199,1.3596
200,1.3606
201,1.3619
202,1.3636
203,1.3661
204,1.3692
205,1.373
206,1.3763
207,1.379
208,1.3811
209,1.3829
210,1.3844
211,1.3856
212,1.3865
213,1.3871
214,1.3873
215,1.3871
216,1.3866
217,1.3856
218,1.3847
219,1.3839
220,1.3832
221,1.3825
222,1.3818
223,1.3811
224,1.3805
225,1.3799
226,1.3793
227,1.3787
228,1.3781
229,1.3775
230,1.3771
231,1.3767
232,1.3764
233,1.3762
234,1.376
235,1.3759
236,1.3759
237,1.3759
238,1.3759
239,1.3761
240,1.3765
241,1.377
242,1.3771
243,1.3768
244,1.3761
245,1.3751
246,1.3738
247,1.3722
248,1.3703
249,1.3681
250,1.3657
251,1.3628
252,1.3596
253,1.3559
254,1.3526
255,1.3497
256,1.3471
257,1.3448
258,1.3425
259,1.3404
260,1.3385
261,1.3368
262,1.3353
263,1.334
264,1.3329
265,1.332
266,1.3311
267,1.3301
268,1.3291
269,1.3282
270,1.3273
271,1.3264
272,1.3255
273,1.3246
274,1.3237
275,1.3229
276,1.3221
277,1.3213
278,1.3206
279,1.3199
280,1.3192
281,1.3185
282,1.3179
283,1.3173
284,1.3167
285,1.3161
286,1.3155
287,1.315
288,1.3146
289,1.3143
290,1.3136
291,1.3126
292,1.3111
293,1.3094
294,1.3074
295,1.3052
296,1.3027
297,1.3
298,1.297
299,1.2936
300,1.2896
301,1.2853
302,1.2816
303,1.2788
304,1.2767
305,1.2751
306,1.2741
307,1.2735
308,1.2733
309,1.2737
310,1.2745
311,1.2759
312,1.278
313,1.2807
314,1.283
315,1.285
316,1.2865
317,1.2878
318,1.2891
319,1.2902
320,1.2911
321,1.2918
322,1.2922
323,1.2926
324,1.2927
