rwshre,unint,capult,prd
3.831,6.772,4.387,5.143
3.835,6.726,4.383,5.144
3.828,6.328,4.377,5.141
3.809,5.773,4.374,5.138
3.814,6.575,4.383,5.138
3.802,6.654,4.387,5.144
3.787,6.704,4.39,5.158
3.775,6.618,4.403,5.173
3.75,7.461,4.413,5.19
3.746,7.034,4.419,5.205
3.748,6.695,4.419,5.22
3.73,6.802,4.408,5.236
3.721,7.144,4.425,5.258
3.687,6.446,4.412,5.283
3.662,6.45,4.416,5.3
3.629,6.813,4.42,5.317
3.635,6.543,4.421,5.314
3.637,5.826,4.411,5.304
3.635,5.487,4.428,5.3
3.646,5.996,4.43,5.293
3.646,6.229,4.412,5.301
3.636,5.714,4.414,5.308
3.646,6.203,4.417,5.311
3.671,6.186,4.44,5.276
3.679,5.988,4.442,5.25
3.697,6.716,4.457,5.237
3.691,6.53,4.462,5.231
3.684,6.217,4.474,5.246
3.674,6.431,4.475,5.245
3.686,5.755,4.487,5.235
3.705,5.704,4.491,5.214
3.7,5.61,4.48,5.204
3.692,5.734,4.486,5.203
3.684,6.096,4.471,5.213
3.67,5.863,4.478,5.219
3.664,5.616,4.488,5.223
3.665,5.645,4.497,5.237
3.662,6.159,4.48,5.252
3.655,6.507,4.486,5.266
3.602,6.435,4.477,5.292
3.577,6.443,4.471,5.313
3.56,5.364,4.471,5.322
3.522,6.394,4.457,5.337
3.514,6.83,4.442,5.342
3.5,7.264,4.412,5.337
3.521,7.218,4.398,5.302
3.518,6.859,4.37,5.275
3.521,7.246,4.335,5.25
3.5,7.356,4.305,5.224
3.454,7.687,4.266,5.218
3.415,7.826,4.227,5.226
3.362,7.87,4.208,5.241
3.317,7.594,4.193,5.246
3.281,7.608,4.185,5.234
3.287,7.291,4.19,5.245
3.311,7.297,4.204,5.25
3.297,7.822,4.218,5.26
3.284,7.754,4.215,5.281
3.283,8.389,4.217,5.3
3.273,8.217,4.206,5.316
3.262,8.236,4.252,5.32
3.268,7.917,4.245,5.327
3.264,8.456,4.266,5.349
3.26,8.208,4.283,5.362
3.277,7.577,4.278,5.366
3.282,7.488,4.287,5.356
