Country,Countrycode,Currency,Continent,Subregion,Date,Population,N,LabShare,E,B,delta,XGDPnat2017,Knat2017,xnat2017,rhonat2017,knat2017,inat2017,cnat2017,rnat2017,wnat2017,XGDPnatcur,Knatcur,xnatcur,rhonatcur,knatcur,inatcur,cnatcur,rnatcur,wnatcur,XGDPppp2017,Kppp2017,xppp2017,rhoppp2017,kppp2017,ippp2017,cppp2017,rppp2017,wppp2017
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1960,,,,,11092.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1961,,,,,11576.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1962,,,,,12713.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1963,,,,,12178.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1964,,,,,11840.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1965,,,,,10623.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1966,,,,,9933.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1967,,,,,12236.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1968,,,,,11378.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1969,,,,,14891.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1970,59063,,,,16655.514,0.039130134,468555156,888190668,,0.527538931,,,,,,353746880,786525467,,0.449758965,,,,,,262308594,688414368,,0.38103,,,,,
Aruba,ABW,Aruban Guilder,Americas,Latin America and the Caribbean,1971,59440,,,,14495.651,0.038302799,511139668,987862192,,0.517420013,,,,,,372604474,836667911,,0.445343331,,,,,,286148438,758382751,,0.37731,,,,,
