Series Id,Year,Period,Value
CEU3231100008,1990,M01,8.92
CEU3231100008,1990,M02,8.91
CEU3231100008,1990,M03,8.98
CEU3231100008,1990,M04,8.98
CEU3231100008,1990,M05,9.03
CEU3231100008,1990,M06,9.08
CEU3231100008,1990,M07,9.11
CEU3231100008,1990,M08,9.03
CEU3231100008,1990,M09,9.05
CEU3231100008,1990,M10,9.02
CEU3231100008,1990,M11,9.16
CEU3231100008,1990,M12,9.22
CEU3231100008,1991,M01,9.21
CEU3231100008,1991,M02,9.17
CEU3231100008,1991,M03,9.21
CEU3231100008,1991,M04,9.25
CEU3231100008,1991,M05,9.34
CEU3231100008,1991,M06,9.35
CEU3231100008,1991,M07,9.32
CEU3231100008,1991,M08,9.29
CEU3231100008,1991,M09,9.35
CEU3231100008,1991,M10,9.32
CEU3231100008,1991,M11,9.45
CEU3231100008,1991,M12,9.53
CEU3231100008,1992,M01,9.48
CEU3231100008,1992,M02,9.46
CEU3231100008,1992,M03,9.5
CEU3231100008,1992,M04,9.55
CEU3231100008,1992,M05,9.6
CEU3231100008,1992,M06,9.59
CEU3231100008,1992,M07,9.59
CEU3231100008,1992,M08,9.57
CEU3231100008,1992,M09,9.66
CEU3231100008,1992,M10,9.56
CEU3231100008,1992,M11,9.7
CEU3231100008,1992,M12,9.75
CEU3231100008,1993,M01,9.72
CEU3231100008,1993,M02,9.69
CEU3231100008,1993,M03,9.72
CEU3231100008,1993,M04,9.82
CEU3231100008,1993,M05,9.81
CEU3231100008,1993,M06,9.83
CEU3231100008,1993,M07,9.87
CEU3231100008,1993,M08,9.84
CEU3231100008,1993,M09,9.91
CEU3231100008,1993,M10,9.79
CEU3231100008,1993,M11,9.89
CEU3231100008,1993,M12,9.96
CEU3231100008,1994,M01,9.94
CEU3231100008,1994,M02,9.89
CEU3231100008,1994,M03,9.93
CEU3231100008,1994,M04,9.94
CEU3231100008,1994,M05,9.95
CEU3231100008,1994,M06,9.98
CEU3231100008,1994,M07,10.04
CEU3231100008,1994,M08,9.99
CEU3231100008,1994,M09,10.04
CEU3231100008,1994,M10,10.01
CEU3231100008,1994,M11,10.12
CEU3231100008,1994,M12,10.16
CEU3231100008,1995,M01,10.19
CEU3231100008,1995,M02,10.14
CEU3231100008,1995,M03,10.18
CEU3231100008,1995,M04,10.2
CEU3231100008,1995,M05,10.22
CEU3231100008,1995,M06,10.25
CEU3231100008,1995,M07,10.27
CEU3231100008,1995,M08,10.28
CEU3231100008,1995,M09,10.34
CEU3231100008,1995,M10,10.27
CEU3231100008,1995,M11,10.36
CEU3231100008,1995,M12,10.45
CEU3231100008,1996,M01,10.39
CEU3231100008,1996,M02,10.34
CEU3231100008,1996,M03,10.38
CEU3231100008,1996,M04,10.46
CEU3231100008,1996,M05,10.45
CEU3231100008,1996,M06,10.49
CEU3231100008,1996,M07,10.56
CEU3231100008,1996,M08,10.51
CEU3231100008,1996,M09,10.56
CEU3231100008,1996,M10,10.52
CEU3231100008,1996,M11,10.64
CEU3231100008,1996,M12,10.72
CEU3231100008,1997,M01,10.7
CEU3231100008,1997,M02,10.61
CEU3231100008,1997,M03,10.66
CEU3231100008,1997,M04,10.71
CEU3231100008,1997,M05,10.72
CEU3231100008,1997,M06,10.69
CEU3231100008,1997,M07,10.81
CEU3231100008,1997,M08,10.82
CEU3231100008,1997,M09,10.84
CEU3231100008,1997,M10,10.77
CEU3231100008,1997,M11,10.85
CEU3231100008,1997,M12,10.97
CEU3231100008,1998,M01,10.94
CEU3231100008,1998,M02,10.91
CEU3231100008,1998,M03,10.97
CEU3231100008,1998,M04,10.98
CEU3231100008,1998,M05,11.04
CEU3231100008,1998,M06,11.06
CEU3231100008,1998,M07,11.12
CEU3231100008,1998,M08,11.1
CEU3231100008,1998,M09,11.3
CEU3231100008,1998,M10,11.13
CEU3231100008,1998,M11,11.22
CEU3231100008,1998,M12,11.29
CEU3231100008,1999,M01,11.26
CEU3231100008,1999,M02,11.22
CEU3231100008,1999,M03,11.23
CEU3231100008,1999,M04,11.36
CEU3231100008,1999,M05,11.39
CEU3231100008,1999,M06,11.44
CEU3231100008,1999,M07,11.42
CEU3231100008,1999,M08,11.42
CEU3231100008,1999,M09,11.52
CEU3231100008,1999,M10,11.44
CEU3231100008,1999,M11,11.51
CEU3231100008,1999,M12,11.62
CEU3231100008,2000,M01,11.59
CEU3231100008,2000,M02,11.58
CEU3231100008,2000,M03,11.6
CEU3231100008,2000,M04,11.67
CEU3231100008,2000,M05,11.67
CEU3231100008,2000,M06,11.77
CEU3231100008,2000,M07,11.82
CEU3231100008,2000,M08,11.79
CEU3231100008,2000,M09,11.9
CEU3231100008,2000,M10,11.86
CEU3231100008,2000,M11,11.97
CEU3231100008,2000,M12,11.99
CEU3231100008,2001,M01,12.02
CEU3231100008,2001,M02,11.96
CEU3231100008,2001,M03,11.99
CEU3231100008,2001,M04,12.04
CEU3231100008,2001,M05,12.08
CEU3231100008,2001,M06,12.14
CEU3231100008,2001,M07,12.27
CEU3231100008,2001,M08,12.22
CEU3231100008,2001,M09,12.3
CEU3231100008,2001,M10,12.25
CEU3231100008,2001,M11,12.36
CEU3231100008,2001,M12,12.46
CEU3231100008,2002,M01,12.43
CEU3231100008,2002,M02,12.35
CEU3231100008,2002,M03,12.36
CEU3231100008,2002,M04,12.39
CEU3231100008,2002,M05,12.47
CEU3231100008,2002,M06,12.54
CEU3231100008,2002,M07,12.68
CEU3231100008,2002,M08,12.59
CEU3231100008,2002,M09,12.62
CEU3231100008,2002,M10,12.68
CEU3231100008,2002,M11,12.63
CEU3231100008,2002,M12,12.83
CEU3231100008,2003,M01,12.73
CEU3231100008,2003,M02,12.68
CEU3231100008,2003,M03,12.73
CEU3231100008,2003,M04,12.75
CEU3231100008,2003,M05,12.74
CEU3231100008,2003,M06,12.73
CEU3231100008,2003,M07,12.84
