Series,Year,Period,Value
CEU3200000035,1939,M01,2.1
CEU3200000035,1939,M02,2.2
CEU3200000035,1939,M03,2.2
CEU3200000035,1939,M04,2.1
CEU3200000035,1939,M05,2.1
CEU3200000035,1939,M06,2.1
CEU3200000035,1939,M07,2.2
CEU3200000035,1939,M08,2.3
CEU3200000035,1939,M09,2.3
CEU3200000035,1939,M10,2.4
CEU3200000035,1939,M11,2.4
CEU3200000035,1939,M12,2.3
CEU3200000035,1940,M01,2.3
CEU3200000035,1940,M02,2.3
CEU3200000035,1940,M03,2.3
CEU3200000035,1940,M04,2.2
CEU3200000035,1940,M05,2.2
CEU3200000035,1940,M06,2.2
CEU3200000035,1940,M07,2.3
CEU3200000035,1940,M08,2.4
CEU3200000035,1940,M09,2.5
CEU3200000035,1940,M10,2.5
CEU3200000035,1940,M11,2.4
CEU3200000035,1940,M12,2.6
CEU3200000035,1941,M01,2.5
CEU3200000035,1941,M02,2.6
CEU3200000035,1941,M03,2.7
CEU3200000035,1941,M04,2.8
CEU3200000035,1941,M05,2.9
CEU3200000035,1941,M06,3.1
CEU3200000035,1941,M07,3.1
CEU3200000035,1941,M08,3.3
CEU3200000035,1941,M09,3.4
CEU3200000035,1941,M10,3.4
CEU3200000035,1941,M11,3.4
CEU3200000035,1941,M12,3.5
CEU3200000035,1942,M01,3.5
CEU3200000035,1942,M02,3.6
CEU3200000035,1942,M03,3.7
CEU3200000035,1942,M04,3.8
CEU3200000035,1942,M05,3.9
CEU3200000035,1942,M06,3.9
CEU3200000035,1942,M07,4
CEU3200000035,1942,M08,4.2
CEU3200000035,1942,M09,4.3
CEU3200000035,1942,M10,4.5
CEU3200000035,1942,M11,4.5
CEU3200000035,1942,M12,4.7
CEU3200000035,1943,M01,4.6
CEU3200000035,1943,M02,4.7
CEU3200000035,1943,M03,4.9
CEU3200000035,1943,M04,5
CEU3200000035,1943,M05,5
CEU3200000035,1943,M06,5.1
CEU3200000035,1943,M07,5.1
CEU3200000035,1943,M08,5.3
CEU3200000035,1943,M09,5.3
CEU3200000035,1943,M10,5.4
CEU3200000035,1943,M11,5.5
CEU3200000035,1943,M12,5.4
CEU3200000035,1944,M01,5.4
CEU3200000035,1944,M02,5.5
CEU3200000035,1944,M03,5.5
CEU3200000035,1944,M04,5.5
CEU3200000035,1944,M05,5.5
CEU3200000035,1944,M06,5.7
CEU3200000035,1944,M07,5.7
CEU3200000035,1944,M08,5.7
CEU3200000035,1944,M09,5.8
CEU3200000035,1944,M10,5.8
CEU3200000035,1944,M11,5.8
CEU3200000035,1944,M12,6
CEU3200000035,1945,M01,5.9
CEU3200000035,1945,M02,6
CEU3200000035,1945,M03,6
CEU3200000035,1945,M04,5.9
CEU3200000035,1945,M05,5.8
CEU3200000035,1945,M06,6
CEU3200000035,1945,M07,5.9
CEU3200000035,1945,M08,5.6
CEU3200000035,1945,M09,5.8
CEU3200000035,1945,M10,5.7
CEU3200000035,1945,M11,5.8
CEU3200000035,1945,M12,6
CEU3200000035,1946,M01,6.1
CEU3200000035,1946,M02,6.3
CEU3200000035,1946,M03,6.6
CEU3200000035,1946,M04,6.7
CEU3200000035,1946,M05,6.7
CEU3200000035,1946,M06,6.7
CEU3200000035,1946,M07,6.9
CEU3200000035,1946,M08,7.4
CEU3200000035,1946,M09,7.6
CEU3200000035,1946,M10,7.5
CEU3200000035,1946,M11,7.7
CEU3200000035,1946,M12,8
CEU3200000035,1947,M01,7.9
CEU3200000035,1947,M02,8.1
CEU3200000035,1947,M03,8.1
CEU3200000035,1947,M04,7.9
CEU3200000035,1947,M05,7.9
CEU3200000035,1947,M06,8
CEU3200000035,1947,M07,8.2
CEU3200000035,1947,M08,8.7
CEU3200000035,1947,M09,8.9
CEU3200000035,1947,M10,8.9
CEU3200000035,1947,M11,9
CEU3200000035,1947,M12,9.3
CEU3200000035,1948,M01,9.1
CEU3200000035,1948,M02,9.1
CEU3200000035,1948,M03,9
CEU3200000035,1948,M04,8.7
CEU3200000035,1948,M05,8.9
CEU3200000035,1948,M06,9.1
CEU3200000035,1948,M07,9.2
CEU3200000035,1948,M08,9.6
CEU3200000035,1948,M09,9.9
CEU3200000035,1948,M10,9.6
CEU3200000035,1948,M11,9.6
CEU3200000035,1948,M12,9.5
CEU3200000035,1949,M01,9.1
CEU3200000035,1949,M02,9.1
CEU3200000035,1949,M03,9
CEU3200000035,1949,M04,8.5
CEU3200000035,1949,M05,8.5
CEU3200000035,1949,M06,8.6
CEU3200000035,1949,M07,8.8
CEU3200000035,1949,M08,9.3
CEU3200000035,1949,M09,9.6
CEU3200000035,1949,M10,9.5
CEU3200000035,1949,M11,9.2
CEU3200000035,1949,M12,9.3
CEU3200000035,1950,M01,9.3
CEU3200000035,1950,M02,9.3
CEU3200000035,1950,M03,9.4
CEU3200000035,1950,M04,9.1
CEU3200000035,1950,M05,9.2
CEU3200000035,1950,M06,9.4
CEU3200000035,1950,M07,9.8
CEU3200000035,1950,M08,10.5
CEU3200000035,1950,M09,10.7
CEU3200000035,1950,M10,10.8
CEU3200000035,1950,M11,10.8
CEU3200000035,1950,M12,11
CEU3200000035,1951,M01,10.9
CEU3200000035,1951,M02,11
CEU3200000035,1951,M03,10.9
CEU3200000035,1951,M04,10.6
CEU3200000035,1951,M05,10.5
CEU3200000035,1951,M06,10.8
CEU3200000035,1951,M07,10.8
CEU3200000035,1951,M08,11
CEU3200000035,1951,M09,11.2
CEU3200000035,1951,M10,10.8
CEU3200000035,1951,M11,10.8
CEU3200000035,1951,M12,11.2
CEU3200000035,1952,M01,10.9
CEU3200000035,1952,M02,10.9
CEU3200000035,1952,M03,10.9
CEU3200000035,1952,M04,10.6
CEU3200000035,1952,M05,10.6
CEU3200000035,1952,M06,11
CEU3200000035,1952,M07,11.2
CEU3200000035,1952,M08,11.7
CEU3200000035,1952,M09,12.1
CEU3200000035,1952,M10,11.9
CEU3200000035,1952,M11,12
CEU3200000035,1952,M12,12.1
CEU3200000035,1953,M01,11.8
CEU3200000035,1953,M02,11.9
CEU3200000035,1953,M03,12
CEU3200000035,1953,M04,11.7
CEU3200000035,1953,M05,11.8
CEU3200000035,1953,M06,12
CEU3200000035,1953,M07,12.1
CEU3200000035,1953,M08,12.4
CEU3200000035,1953,M09,12.5
CEU3200000035,1953,M10,12.3
CEU3200000035,1953,M11,12
CEU3200000035,1953,M12,12
CEU3200000035,1954,M01,11.6
CEU3200000035,1954,M02,11.5
CEU3200000035,1954,M03,11.6
CEU3200000035,1954,M04,11.2
CEU3200000035,1954,M05,11.4
CEU3200000035,1954,M06,11.6
CEU3200000035,1954,M07,11.7
CEU3200000035,1954,M08,12
CEU3200000035,1954,M09,12.3
CEU3200000035,1954,M10,12.1
CEU3200000035,1954,M11,12.2
CEU3200000035,1954,M12,12.2
CEU3200000035,1955,M01,12
CEU3200000035,1955,M02,12.1
CEU3200000035,1955,M03,12.2
CEU3200000035,1955,M04,12
CEU3200000035,1955,M05,12.3
CEU3200000035,1955,M06,12.6
CEU3200000035,1955,M07,12.6
CEU3200000035,1955,M08,13.1
CEU3200000035,1955,M09,13.5
CEU3200000035,1955,M10,13.5
CEU3200000035,1955,M11,13.5
CEU3200000035,1955,M12,13.5
CEU3200000035,1956,M01,13.2
CEU3200000035,1956,M02,13.1
CEU3200000035,1956,M03,13.3
CEU3200000035,1956,M04,13.1
CEU3200000035,1956,M05,13.1
CEU3200000035,1956,M06,13.4
CEU3200000035,1956,M07,13.3
CEU3200000035,1956,M08,13.9
CEU3200000035,1956,M09,14.3
CEU3200000035,1956,M10,14.2
CEU3200000035,1956,M11,13.9
CEU3200000035,1956,M12,14.1
CEU3200000035,1957,M01,13.6
CEU3200000035,1957,M02,13.6
CEU3200000035,1957,M03,13.6
CEU3200000035,1957,M04,13.4
CEU3200000035,1957,M05,13.4
CEU3200000035,1957,M06,13.7
CEU3200000035,1957,M07,13.9
CEU3200000035,1957,M08,14.3
CEU3200000035,1957,M09,14.5
CEU3200000035,1957,M10,14.2
CEU3200000035,1957,M11,13.9
CEU3200000035,1957,M12,13.8
CEU3200000035,1958,M01,13.4
CEU3200000035,1958,M02,13.2
CEU3200000035,1958,M03,13
CEU3200000035,1958,M04,12.9
CEU3200000035,1958,M05,13
CEU3200000035,1958,M06,13.5
CEU3200000035,1958,M07,13.6
CEU3200000035,1958,M08,14.2
CEU3200000035,1958,M09,14.5
CEU3200000035,1958,M10,14.4
CEU3200000035,1958,M11,14.4
CEU3200000035,1958,M12,14.4
CEU3200000035,1959,M01,14.2
CEU3200000035,1959,M02,14.3
CEU3200000035,1959,M03,14.4
CEU3200000035,1959,M04,14.4
CEU3200000035,1959,M05,14.5
CEU3200000035,1959,M06,14.8
CEU3200000035,1959,M07,15.1
CEU3200000035,1959,M08,15.6
CEU3200000035,1959,M09,15.9
CEU3200000035,1959,M10,15.4
CEU3200000035,1959,M11,15.3
CEU3200000035,1959,M12,15.4
CEU3200000035,1960,M01,15.1
CEU3200000035,1960,M02,14.9
CEU3200000035,1960,M03,14.9
CEU3200000035,1960,M04,14.8
CEU3200000035,1960,M05,15.2
CEU3200000035,1960,M06,15.4
CEU3200000035,1960,M07,15.5
CEU3200000035,1960,M08,15.9
CEU3200000035,1960,M09,15.9
CEU3200000035,1960,M10,15.7
CEU3200000035,1960,M11,15.4
CEU3200000035,1960,M12,14.8
CEU3200000035,1961,M01,14.7
CEU3200000035,1961,M02,14.7
CEU3200000035,1961,M03,14.9
CEU3200000035,1961,M04,14.9
CEU3200000035,1961,M05,15.1
CEU3200000035,1961,M06,15.7
CEU3200000035,1961,M07,15.8
CEU3200000035,1961,M08,16.3
CEU3200000035,1961,M09,16.3
CEU3200000035,1961,M10,16.4
CEU3200000035,1961,M11,16.3
CEU3200000035,1961,M12,16.3
CEU3200000035,1962,M01,15.7
CEU3200000035,1962,M02,15.8
CEU3200000035,1962,M03,16
CEU3200000035,1962,M04,16.1
CEU3200000035,1962,M05,16.3
CEU3200000035,1962,M06,16.7
CEU3200000035,1962,M07,16.7
CEU3200000035,1962,M08,17
CEU3200000035,1962,M09,17.3
CEU3200000035,1962,M10,16.8
CEU3200000035,1962,M11,16.7
CEU3200000035,1962,M12,16.5
CEU3200000035,1963,M01,16.1
CEU3200000035,1963,M02,16.1
CEU3200000035,1963,M03,16.4
CEU3200000035,1963,M04,16.1
CEU3200000035,1963,M05,16.5
CEU3200000035,1963,M06,16.9
CEU3200000035,1963,M07,16.9
CEU3200000035,1963,M08,17.4
CEU3200000035,1963,M09,17.7
CEU3200000035,1963,M10,17.6
CEU3200000035,1963,M11,17.2
CEU3200000035,1963,M12,17.3
CEU3200000035,1964,M01,16.7
CEU3200000035,1964,M02,16.9
CEU3200000035,1964,M03,17
CEU3200000035,1964,M04,17
CEU3200000035,1964,M05,17.3
CEU3200000035,1964,M06,17.7
CEU3200000035,1964,M07,17.6
CEU3200000035,1964,M08,18.4
CEU3200000035,1964,M09,18.5
CEU3200000035,1964,M10,18.4
CEU3200000035,1964,M11,18.2
CEU3200000035,1964,M12,18.3
CEU3200000035,1965,M01,17.9
CEU3200000035,1965,M02,18
CEU3200000035,1965,M03,18.3
CEU3200000035,1965,M04,17.9
CEU3200000035,1965,M05,18.4
CEU3200000035,1965,M06,18.8
CEU3200000035,1965,M07,18.9
CEU3200000035,1965,M08,19.5
CEU3200000035,1965,M09,19.8
CEU3200000035,1965,M10,19.7
CEU3200000035,1965,M11,19.7
CEU3200000035,1965,M12,19.7
CEU3200000035,1966,M01,19
CEU3200000035,1966,M02,19.5
CEU3200000035,1966,M03,19.6
CEU3200000035,1966,M04,19.6
CEU3200000035,1966,M05,20
CEU3200000035,1966,M06,20.5
CEU3200000035,1966,M07,20.5
CEU3200000035,1966,M08,21.2
CEU3200000035,1966,M09,21.2
CEU3200000035,1966,M10,21.2
CEU3200000035,1966,M11,21.1
CEU3200000035,1966,M12,21
CEU3200000035,1967,M01,20.5
CEU3200000035,1967,M02,20.4
CEU3200000035,1967,M03,20.6
CEU3200000035,1967,M04,20.5
CEU3200000035,1967,M05,20.5
CEU3200000035,1967,M06,21.1
CEU3200000035,1967,M07,21
CEU3200000035,1967,M08,21.9
CEU3200000035,1967,M09,22.3
CEU3200000035,1967,M10,22.2
CEU3200000035,1967,M11,22.2
CEU3200000035,1967,M12,22.3
CEU3200000035,1968,M01,21.5
CEU3200000035,1968,M02,22.1
CEU3200000035,1968,M03,22.2
CEU3200000035,1968,M04,21.9
CEU3200000035,1968,M05,22.7
CEU3200000035,1968,M06,23.5
CEU3200000035,1968,M07,23.3
CEU3200000035,1968,M08,24.3
CEU3200000035,1968,M09,24.7
CEU3200000035,1968,M10,24.5
CEU3200000035,1968,M11,24.4
CEU3200000035,1968,M12,24.5
CEU3200000035,1969,M01,23.5
CEU3200000035,1969,M02,23.5
CEU3200000035,1969,M03,24.1
CEU3200000035,1969,M04,24
CEU3200000035,1969,M05,24.4
CEU3200000035,1969,M06,25.2
CEU3200000035,1969,M07,25
CEU3200000035,1969,M08,26
CEU3200000035,1969,M09,26.1
CEU3200000035,1969,M10,25.8
CEU3200000035,1969,M11,25.9
CEU3200000035,1969,M12,25.9
CEU3200000035,1970,M01,25.2
CEU3200000035,1970,M02,25.1
CEU3200000035,1970,M03,25.3
CEU3200000035,1970,M04,25.1
CEU3200000035,1970,M05,25
CEU3200000035,1970,M06,25.7
CEU3200000035,1970,M07,25.7
CEU3200000035,1970,M08,26.5
CEU3200000035,1970,M09,26.6
