Series ID,Year,Period,Value
ENU0603740310,2001,Q01,853
ENU0603740310,2001,Q02,873
ENU0603740310,2001,Q03,811
ENU0603740310,2001,Q04,860
ENU0603740310,2002,Q01,897
ENU0603740310,2002,Q02,864
ENU0603740310,2002,Q03,829
ENU0603740310,2002,Q04,891
ENU0603740310,2003,Q01,927
ENU0603740310,2003,Q02,902
ENU0603740310,2003,Q03,895
ENU0603740310,2003,Q04,924
ENU0603740310,2004,Q01,969
ENU0603740310,2004,Q02,914
ENU0603740310,2004,Q03,928
ENU0603740310,2004,Q04,945
ENU0603740310,2005,Q01,955
ENU0603740310,2005,Q02,992
ENU0603740310,2005,Q03,952
ENU0603740310,2005,Q04,960
ENU0603740310,2006,Q01,1045
ENU0603740310,2006,Q02,985
ENU0603740310,2006,Q03,1021
ENU0603740310,2006,Q04,1043
ENU0603740310,2007,Q01,1069
ENU0603740310,2007,Q02,1077
ENU0603740310,2007,Q03,1070
ENU0603740310,2007,Q04,1085
ENU0603740310,2008,Q01,1102
ENU0603740310,2008,Q02,1084
ENU0603740310,2008,Q03,1123
ENU0603740310,2008,Q04,1133
ENU0603740310,2009,Q01,1094
ENU0603740310,2009,Q02,1099
ENU0603740310,2009,Q03,1104
ENU0603740310,2009,Q04,1134
ENU0603740310,2010,Q01,1095
ENU0603740310,2010,Q02,1160
ENU0603740310,2010,Q03,1114
ENU0603740310,2010,Q04,1145
ENU0603740310,2011,Q01,1113
ENU0603740310,2011,Q02,1148
ENU0603740310,2011,Q03,1135
ENU0603740310,2011,Q04,1153
ENU0603740310,2012,Q01,1156
ENU0603740310,2012,Q02,1165
ENU0603740310,2012,Q03,1156
ENU0603740310,2012,Q04,1186
ENU0603740310,2013,Q01,1172
ENU0603740310,2013,Q02,1177
ENU0603740310,2013,Q03,1181
ENU0603740310,2013,Q04,1206
ENU0603740310,2014,Q01,1200
ENU0603740310,2014,Q02,1211
ENU0603740310,2014,Q03,1236
ENU0603740310,2014,Q04,1248
ENU0603740310,2015,Q01,1227
ENU0603740310,2015,Q02,1253
ENU0603740310,2015,Q03,1304
ENU0603740310,2015,Q04,1273
ENU0603740310,2016,Q01,1302
ENU0603740310,2016,Q02,1268
ENU0603740310,2016,Q03,1339
ENU0603740310,2016,Q04,1297
ENU0603740310,2017,Q01,1341
ENU0603740310,2017,Q02,1291
ENU0603740310,2017,Q03,1353
ENU0603740310,2017,Q04,1331
ENU0603740310,2018,Q01,1380
ENU0603740310,2018,Q02,1326
ENU0603740310,2018,Q03,1392
ENU0603740310,2018,Q04,1396
ENU0603740310,2019,Q01,1408
ENU0603740310,2019,Q02,1406
ENU0603740310,2019,Q03,1460
ENU0603740310,2019,Q04,1441
ENU0603740310,2020,Q01,1478
ENU0603740310,2020,Q02,1496
ENU0603740310,2020,Q03,1572
ENU0603740310,2020,Q04,1581
ENU0603740310,2021,Q01,1545
ENU0603740310,2021,Q02,1581
ENU0603740310,2021,Q03,1564
ENU0603740310,2021,Q04,1654
ENU0603740310,2022,Q01,1589
ENU0603740310,2022,Q02,1615
ENU0603740310,2022,Q03,1644
ENU0603740310,2022,Q04,1676
ENU0603740310,2023,Q01,1678
ENU0603740310,2023,Q02,1724
ENU0603740310,2023,Q03,1741
ENU0603740310,2023,Q04,1788
ENU0603740310,2024,Q01,1761
