Series ID,Year,Period,Value
CWURS49ASA0,2000,M01,161.3
CWURS49ASA0,2000,M02,162.4
CWURS49ASA0,2000,M03,163.9
CWURS49ASA0,2000,M04,164.0
CWURS49ASA0,2000,M05,164.4
CWURS49ASA0,2000,M06,164.3
CWURS49ASA0,2000,M07,165.0
CWURS49ASA0,2000,M08,165.3
CWURS49ASA0,2000,M09,166.3
CWURS49ASA0,2000,M10,166.9
CWURS49ASA0,2000,M11,166.6
CWURS49ASA0,2000,M12,166.7
CWURS49ASA0,2001,M01,167.3
CWURS49ASA0,2001,M02,168.3
CWURS49ASA0,2001,M03,169.1
CWURS49ASA0,2001,M04,169.6
CWURS49ASA0,2001,M05,170.5
CWURS49ASA0,2001,M06,171.9
CWURS49ASA0,2001,M07,171.3
CWURS49ASA0,2001,M08,171.1
CWURS49ASA0,2001,M09,171.5
CWURS49ASA0,2001,M10,171.0
CWURS49ASA0,2001,M11,170.7
CWURS49ASA0,2001,M12,169.7
CWURS49ASA0,2002,M01,171.5
CWURS49ASA0,2002,M02,172.8
CWURS49ASA0,2002,M03,173.8
CWURS49ASA0,2002,M04,174.8
CWURS49ASA0,2002,M05,175.4
CWURS49ASA0,2002,M06,174.7
CWURS49ASA0,2002,M07,175.0
CWURS49ASA0,2002,M08,175.6
CWURS49ASA0,2002,M09,176.3
CWURS49ASA0,2002,M10,176.5
CWURS49ASA0,2002,M11,177.0
CWURS49ASA0,2002,M12,176.7
CWURS49ASA0,2003,M01,177.8
CWURS49ASA0,2003,M02,179.6
CWURS49ASA0,2003,M03,181.6
CWURS49ASA0,2003,M04,180.9
CWURS49ASA0,2003,M05,179.9
CWURS49ASA0,2003,M06,179.6
CWURS49ASA0,2003,M07,179.6
CWURS49ASA0,2003,M08,180.5
CWURS49ASA0,2003,M09,181.9
CWURS49ASA0,2003,M10,181.2
CWURS49ASA0,2003,M11,180.5
CWURS49ASA0,2003,M12,180.2
CWURS49ASA0,2004,M01,181.7
CWURS49ASA0,2004,M02,183.4
CWURS49ASA0,2004,M03,184.9
CWURS49ASA0,2004,M04,185.2
CWURS49ASA0,2004,M05,186.8
CWURS49ASA0,2004,M06,187.4
CWURS49ASA0,2004,M07,186.8
CWURS49ASA0,2004,M08,186.5
CWURS49ASA0,2004,M09,187.8
CWURS49ASA0,2004,M10,189.8
CWURS49ASA0,2004,M11,190.3
CWURS49ASA0,2004,M12,188.5
CWURS49ASA0,2005,M01,188.5
CWURS49ASA0,2005,M02,190.3
CWURS49ASA0,2005,M03,192.1
CWURS49ASA0,2005,M04,194.2
CWURS49ASA0,2005,M05,194.6
CWURS49ASA0,2005,M06,193.7
CWURS49ASA0,2005,M07,194.6
CWURS49ASA0,2005,M08,196.4
CWURS49ASA0,2005,M09,199.0
CWURS49ASA0,2005,M10,200.0
CWURS49ASA0,2005,M11,198.4
CWURS49ASA0,2005,M12,196.5
CWURS49ASA0,2006,M01,198.3
CWURS49ASA0,2006,M02,199.9
CWURS49ASA0,2006,M03,200.8
CWURS49ASA0,2006,M04,202.9
CWURS49ASA0,2006,M05,205.0
CWURS49ASA0,2006,M06,204.2
CWURS49ASA0,2006,M07,204.5
CWURS49ASA0,2006,M08,205.0
CWURS49ASA0,2006,M09,205.3
CWURS49ASA0,2006,M10,203.5
CWURS49ASA0,2006,M11,203.3
CWURS49ASA0,2006,M12,202.9
CWURS49ASA0,2007,M01,204.498
CWURS49ASA0,2007,M02,206.632
CWURS49ASA0,2007,M03,208.929
CWURS49ASA0,2007,M04,210.195
CWURS49ASA0,2007,M05,211.145
CWURS49ASA0,2007,M06,209.614
CWURS49ASA0,2007,M07,209.444
CWURS49ASA0,2007,M08,209.240
CWURS49ASA0,2007,M09,209.849
CWURS49ASA0,2007,M10,211.259
CWURS49ASA0,2007,M11,212.844
CWURS49ASA0,2007,M12,212.282
CWURS49ASA0,2008,M01,213.825
CWURS49ASA0,2008,M02,214.231
CWURS49ASA0,2008,M03,216.493
CWURS49ASA0,2008,M04,217.914
CWURS49ASA0,2008,M05,219.702
CWURS49ASA0,2008,M06,222.435
CWURS49ASA0,2008,M07,223.245
CWURS49ASA0,2008,M08,221.230
CWURS49ASA0,2008,M09,220.285
CWURS49ASA0,2008,M10,218.726
CWURS49ASA0,2008,M11,214.083
CWURS49ASA0,2008,M12,211.007
CWURS49ASA0,2009,M01,212.454
CWURS49ASA0,2009,M02,213.234
CWURS49ASA0,2009,M03,213.013
CWURS49ASA0,2009,M04,213.405
CWURS49ASA0,2009,M05,214.446
CWURS49ASA0,2009,M06,216.145
CWURS49ASA0,2009,M07,216.128
CWURS49ASA0,2009,M08,216.628
CWURS49ASA0,2009,M09,217.302
CWURS49ASA0,2009,M10,217.474
CWURS49ASA0,2009,M11,216.618
CWURS49ASA0,2009,M12,216.233
CWURS49ASA0,2010,M01,217.290
CWURS49ASA0,2010,M02,217.090
CWURS49ASA0,2010,M03,218.157
CWURS49ASA0,2010,M04,218.475
CWURS49ASA0,2010,M05,218.787
CWURS49ASA0,2010,M06,218.222
CWURS49ASA0,2010,M07,218.367
CWURS49ASA0,2010,M08,218.752
CWURS49ASA0,2010,M09,218.427
CWURS49ASA0,2010,M10,219.339
CWURS49ASA0,2010,M11,218.694
CWURS49ASA0,2010,M12,219.619
CWURS49ASA0,2011,M01,221.540
CWURS49ASA0,2011,M02,222.814
CWURS49ASA0,2011,M03,225.770
CWURS49ASA0,2011,M04,227.051
CWURS49ASA0,2011,M05,226.842
CWURS49ASA0,2011,M06,225.461
CWURS49ASA0,2011,M07,224.277
CWURS49ASA0,2011,M08,224.665
CWURS49ASA0,2011,M09,226.096
CWURS49ASA0,2011,M10,226.116
CWURS49ASA0,2011,M11,225.786
CWURS49ASA0,2011,M12,224.444
CWURS49ASA0,2012,M01,226.245
CWURS49ASA0,2012,M02,227.585
CWURS49ASA0,2012,M03,230.281
CWURS49ASA0,2012,M04,230.023
CWURS49ASA0,2012,M05,230.180
CWURS49ASA0,2012,M06,228.917
CWURS49ASA0,2012,M07,228.446
CWURS49ASA0,2012,M08,230.229
CWURS49ASA0,2012,M09,231.085
CWURS49ASA0,2012,M10,233.431
CWURS49ASA0,2012,M11,230.426
CWURS49ASA0,2012,M12,228.940
CWURS49ASA0,2013,M01,230.651
CWURS49ASA0,2013,M02,232.983
CWURS49ASA0,2013,M03,233.200
CWURS49ASA0,2013,M04,232.030
CWURS49ASA0,2013,M05,232.387
CWURS49ASA0,2013,M06,232.378
CWURS49ASA0,2013,M07,232.190
CWURS49ASA0,2013,M08,232.245
CWURS49ASA0,2013,M09,232.817
CWURS49ASA0,2013,M10,232.735
CWURS49ASA0,2013,M11,231.598
CWURS49ASA0,2013,M12,231.594
CWURS49ASA0,2014,M01,232.578
CWURS49ASA0,2014,M02,233.886
CWURS49ASA0,2014,M03,235.500
CWURS49ASA0,2014,M04,235.717
CWURS49ASA0,2014,M05,236.647
CWURS49ASA0,2014,M06,236.880
CWURS49ASA0,2014,M07,236.963
CWURS49ASA0,2014,M08,236.504
CWURS49ASA0,2014,M09,236.451
CWURS49ASA0,2014,M10,235.921
CWURS49ASA0,2014,M11,233.896
CWURS49ASA0,2014,M12,232.330
CWURS49ASA0,2015,M01,231.063
CWURS49ASA0,2015,M02,232.975
CWURS49ASA0,2015,M03,235.991
CWURS49ASA0,2015,M04,235.697
CWURS49ASA0,2015,M05,238.816
CWURS49ASA0,2015,M06,237.792
CWURS49ASA0,2015,M07,239.889
CWURS49ASA0,2015,M08,238.755
CWURS49ASA0,2015,M09,237.324
CWURS49ASA0,2015,M10,237.472
CWURS49ASA0,2015,M11,237.190
CWURS49ASA0,2015,M12,236.787
CWURS49ASA0,2016,M01,238.609
CWURS49ASA0,2016,M02,238.262
CWURS49ASA0,2016,M03,239.146
CWURS49ASA0,2016,M04,239.536
CWURS49ASA0,2016,M05,240.320
CWURS49ASA0,2016,M06,240.522
CWURS49ASA0,2016,M07,240.580
CWURS49ASA0,2016,M08,240.267
CWURS49ASA0,2016,M09,240.851
CWURS49ASA0,2016,M10,241.932
CWURS49ASA0,2016,M11,240.809
CWURS49ASA0,2016,M12,240.846
CWURS49ASA0,2017,M01,242.735
CWURS49ASA0,2017,M02,244.254
CWURS49ASA0,2017,M03,244.932
CWURS49ASA0,2017,M04,245.417
CWURS49ASA0,2017,M05,246.153
CWURS49ASA0,2017,M06,245.900
CWURS49ASA0,2017,M07,246.681
CWURS49ASA0,2017,M08,247.260
CWURS49ASA0,2017,M09,248.550
