Year,Series Id,Value
1987,IPUEN311___L000000000,80.621
1988,IPUEN311___L000000000,81.521
1989,IPUEN311___L000000000,81.688
1990,IPUEN311___L000000000,81.415
1991,IPUEN311___L000000000,82.84
1992,IPUEN311___L000000000,85.684
1993,IPUEN311___L000000000,86.772
1994,IPUEN311___L000000000,85.818
1995,IPUEN311___L000000000,87.561
1996,IPUEN311___L000000000,85.239
1997,IPUEN311___L000000000,87.425
1998,IPUEN311___L000000000,90.658
1999,IPUEN311___L000000000,92.967
2000,IPUEN311___L000000000,94.384
2001,IPUEN311___L000000000,95.251
2002,IPUEN311___L000000000,100.026
2003,IPUEN311___L000000000,101.935
2004,IPUEN311___L000000000,102.289
2005,IPUEN311___L000000000,108.906
2006,IPUEN311___L000000000,107.447
2007,IPUEN311___L000000000,104.959
2008,IPUEN311___L000000000,103.57
2009,IPUEN311___L000000000,107.132
2010,IPUEN311___L000000000,106.436
2011,IPUEN311___L000000000,104.643
2012,IPUEN311___L000000000,103.51
2013,IPUEN311___L000000000,103.949
2014,IPUEN311___L000000000,104.375
2015,IPUEN311___L000000000,103.718
2016,IPUEN311___L000000000,102.535
2017,IPUEN311___L000000000,100
2018,IPUEN311___L000000000,99.383
2019,IPUEN311___L000000000,99.251
2020,IPUEN311___L000000000,101.488
2021,IPUEN311___L000000000,99.986
2022,IPUEN311___L000000000,97.929
2023,IPUEN311___L000000000,96.64
