rwshre,unint,capult,prd
4.242,6.166,4.323,5.297
4.255,6.286,4.325,5.287
4.267,6.377,4.323,5.274
4.277,6.242,4.334,5.255
4.293,6.071,4.346,5.243
4.298,5.812,4.348,5.243
4.291,5.914,4.333,5.249
4.275,6.225,4.323,5.256
4.259,6.091,4.337,5.261
4.261,6.026,4.366,5.262
4.247,6.401,4.365,5.275
4.256,6.279,4.373,5.275
4.241,5.798,4.362,5.281
4.24,5.38,4.354,5.283
4.239,5.251,4.364,5.287
4.229,5.71,4.373,5.292
4.233,5.437,4.363,5.297
4.231,5.814,4.365,5.3
4.242,5.499,4.399,5.301
4.239,5.988,4.403,5.301
4.238,5.469,4.41,5.306
4.249,5.43,4.385,5.315
4.245,4.884,4.388,5.318
4.254,5.893,4.417,5.315
4.24,6.112,4.392,5.303
4.254,6.029,4.392,5.3
4.244,6.071,4.411,5.312
4.219,5.648,4.411,5.337
4.191,5.914,4.416,5.351
4.191,5.551,4.417,5.36
4.196,5.822,4.421,5.365
4.182,5.91,4.411,5.369
4.188,5.341,4.438,5.362
4.199,5.539,4.431,5.35
4.201,5.768,4.433,5.34
4.218,5.7,4.432,5.333
4.221,6.422,4.434,5.324
4.214,6.322,4.417,5.332
4.197,6.297,4.433,5.343
4.173,6.456,4.403,5.361
4.146,6.117,4.4,5.378
4.112,6.094,4.397,5.392
4.096,6.326,4.387,5.403
4.11,6.35,4.403,5.404
4.096,6.361,4.378,5.397
4.13,6.303,4.364,5.37
4.152,6.351,4.335,5.346
4.166,6.547,4.285,5.315
4.169,6.767,4.245,5.29
4.149,6.748,4.226,5.274
4.106,6.97,4.173,5.275
4.073,7.215,4.14,5.278
4.021,7.237,4.116,5.295
3.986,7.206,4.085,5.302
3.973,7.308,4.089,5.31
3.959,7.287,4.108,5.321
3.94,7.551,4.105,5.343
3.901,7.635,4.127,5.378
3.885,7.679,4.119,5.399
3.881,7.604,4.156,5.408
3.882,7.742,4.174,5.408
3.858,7.763,4.174,5.419
3.854,7.626,4.187,5.437
3.839,7.619,4.224,5.471
3.835,7.492,4.252,5.491
3.844,7.576,4.263,5.5
3.848,7.715,4.267,5.498
3.835,7.653,4.273,5.506
