Date,x
1/1/1998,1.1884
2/1/1998,1.1885
3/1/1998,1.1887
4/1/1998,1.189
5/1/1998,1.1894
6/1/1998,1.1899
7/1/1998,1.1905
8/1/1998,1.1912
9/1/1998,1.192
10/1/1998,1.1929
11/1/1998,1.194
12/1/1998,1.1952
1/1/1999,1.1965
2/1/1999,1.1977
3/1/1999,1.1989
4/1/1999,1.1999
5/1/1999,1.2008
6/1/1999,1.2017
7/1/1999,1.2026
8/1/1999,1.2033
9/1/1999,1.204
10/1/1999,1.2046
11/1/1999,1.2051
12/1/1999,1.2056
1/1/2000,1.206
2/1/2000,1.2062
3/1/2000,1.2064
4/1/2000,1.2064
5/1/2000,1.2063
6/1/2000,1.2061
7/1/2000,1.2058
8/1/2000,1.2053
9/1/2000,1.2048
10/1/2000,1.2042
11/1/2000,1.2034
12/1/2000,1.2023
1/1/2001,1.2011
2/1/2001,1.2001
3/1/2001,1.1994
4/1/2001,1.199
5/1/2001,1.1987
6/1/2001,1.1987
7/1/2001,1.1989
8/1/2001,1.1993
9/1/2001,1.1999
10/1/2001,1.2007
11/1/2001,1.2019
12/1/2001,1.2034
1/1/2002,1.2052
2/1/2002,1.207
3/1/2002,1.2085
4/1/2002,1.2099
5/1/2002,1.2113
6/1/2002,1.2127
7/1/2002,1.2141
8/1/2002,1.2154
9/1/2002,1.2167
10/1/2002,1.2178
11/1/2002,1.2189
12/1/2002,1.22
1/1/2003,1.221
2/1/2003,1.2219
3/1/2003,1.2227
4/1/2003,1.2234
5/1/2003,1.2239
6/1/2003,1.2244
7/1/2003,1.2248
8/1/2003,1.225
9/1/2003,1.2252
10/1/2003,1.2253
11/1/2003,1.2253
12/1/2003,1.225
1/1/2004,1.2247
2/1/2004,1.2244
3/1/2004,1.2244
4/1/2004,1.2245
5/1/2004,1.2248
6/1/2004,1.2251
7/1/2004,1.2256
8/1/2004,1.2262
9/1/2004,1.2268
10/1/2004,1.2276
11/1/2004,1.2285
12/1/2004,1.2297
1/1/2005,1.2311
2/1/2005,1.2321
3/1/2005,1.2328
4/1/2005,1.2332
5/1/2005,1.2334
6/1/2005,1.2333
7/1/2005,1.2331
8/1/2005,1.2326
9/1/2005,1.2319
10/1/2005,1.2309
11/1/2005,1.2297
12/1/2005,1.2282
1/1/2006,1.2263
2/1/2006,1.2248
3/1/2006,1.2236
4/1/2006,1.2226
5/1/2006,1.2218
6/1/2006,1.2212
7/1/2006,1.2207
8/1/2006,1.2204
9/1/2006,1.2203
10/1/2006,1.2204
11/1/2006,1.2206
12/1/2006,1.2211
1/1/2007,1.2218
2/1/2007,1.2224
3/1/2007,1.2227
4/1/2007,1.2229
5/1/2007,1.2229
6/1/2007,1.2229
7/1/2007,1.2226
8/1/2007,1.2223
9/1/2007,1.2219
10/1/2007,1.2215
11/1/2007,1.2208
12/1/2007,1.2199
1/1/2008,1.2187
2/1/2008,1.218
3/1/2008,1.2176
4/1/2008,1.2177
5/1/2008,1.2181
6/1/2008,1.2188
7/1/2008,1.2197
8/1/2008,1.221
9/1/2008,1.2225
10/1/2008,1.2244
11/1/2008,1.2269
12/1/2008,1.2301
1/1/2009,1.2339
2/1/2009,1.2372
3/1/2009,1.2399
4/1/2009,1.242
5/1/2009,1.2436
6/1/2009,1.2449
7/1/2009,1.2457
8/1/2009,1.2461
9/1/2009,1.2459
10/1/2009,1.2452
11/1/2009,1.2437
12/1/2009,1.2416
1/1/2010,1.2388
2/1/2010,1.2364
3/1/2010,1.2343
4/1/2010,1.2327
5/1/2010,1.2312
6/1/2010,1.2297
7/1/2010,1.2284
8/1/2010,1.2273
9/1/2010,1.2264
10/1/2010,1.2257
11/1/2010,1.2251
12/1/2010,1.2248
1/1/2011,1.2245
2/1/2011,1.2244
3/1/2011,1.2243
4/1/2011,1.2242
5/1/2011,1.2243
6/1/2011,1.2244
7/1/2011,1.2246
8/1/2011,1.2248
9/1/2011,1.225
10/1/2011,1.2254
11/1/2011,1.2258
12/1/2011,1.2263
1/1/2012,1.2269
2/1/2012,1.2274
3/1/2012,1.2279
4/1/2012,1.2282
5/1/2012,1.2285
6/1/2012,1.2288
7/1/2012,1.229
8/1/2012,1.2292
9/1/2012,1.2293
10/1/2012,1.2294
11/1/2012,1.2294
12/1/2012,1.2294
1/1/2013,1.2294
2/1/2013,1.2293
3/1/2013,1.2289
4/1/2013,1.2285
5/1/2013,1.2278
6/1/2013,1.2271
7/1/2013,1.2262
8/1/2013,1.2252
9/1/2013,1.2241
10/1/2013,1.223
11/1/2013,1.2216
12/1/2013,1.22
1/1/2014,1.2181
2/1/2014,1.2168
3/1/2014,1.2158
4/1/2014,1.2152
5/1/2014,1.215
6/1/2014,1.215
7/1/2014,1.2154
8/1/2014,1.216
9/1/2014,1.2169
10/1/2014,1.2181
11/1/2014,1.2197
12/1/2014,1.2217
1/1/2015,1.2241
2/1/2015,1.2262
3/1/2015,1.228
4/1/2015,1.2295
5/1/2015,1.2308
6/1/2015,1.2319
7/1/2015,1.2329
8/1/2015,1.2337
9/1/2015,1.2343
10/1/2015,1.2347
11/1/2015,1.2349
12/1/2015,1.2348
1/1/2016,1.2345
2/1/2016,1.2343
3/1/2016,1.2341
4/1/2016,1.234
5/1/2016,1.234
6/1/2016,1.234
7/1/2016,1.234
8/1/2016,1.234
9/1/2016,1.234
10/1/2016,1.2341
11/1/2016,1.2342
12/1/2016,1.2343
1/1/2017,1.2345
2/1/2017,1.2347
3/1/2017,1.2349
4/1/2017,1.235
5/1/2017,1.2352
6/1/2017,1.2354
7/1/2017,1.2357
8/1/2017,1.2359
9/1/2017,1.2361
10/1/2017,1.2363
11/1/2017,1.2366
12/1/2017,1.2369
1/1/2018,1.2373
2/1/2018,1.2375
3/1/2018,1.2377
4/1/2018,1.2377
5/1/2018,1.2376
6/1/2018,1.2375
7/1/2018,1.2374
8/1/2018,1.2372
9/1/2018,1.2369
10/1/2018,1.2365
11/1/2018,1.2361
12/1/2018,1.2357
1/1/2019,1.2352
2/1/2019,1.2345
3/1/2019,1.2338
4/1/2019,1.2329
5/1/2019,1.232
6/1/2019,1.231
7/1/2019,1.23
8/1/2019,1.2288
9/1/2019,1.2276
10/1/2019,1.2262
11/1/2019,1.2246
12/1/2019,1.2228
1/1/2020,1.2207
2/1/2020,1.2191
3/1/2020,1.2178
4/1/2020,1.2169
5/1/2020,1.2162
6/1/2020,1.2158
7/1/2020,1.2157
8/1/2020,1.2159
9/1/2020,1.2163
10/1/2020,1.217
11/1/2020,1.2182
12/1/2020,1.2197
1/1/2021,1.2217
2/1/2021,1.2233
3/1/2021,1.2243
4/1/2021,1.2249
5/1/2021,1.2252
6/1/2021,1.2252
7/1/2021,1.2249
8/1/2021,1.2244
9/1/2021,1.2236
10/1/2021,1.2225
11/1/2021,1.2211
12/1/2021,1.2193
1/1/2022,1.2172
2/1/2022,1.2153
3/1/2022,1.2137
4/1/2022,1.2123
5/1/2022,1.2111
6/1/2022,1.21
7/1/2022,1.209
8/1/2022,1.2082
9/1/2022,1.2074
10/1/2022,1.2068
11/1/2022,1.2064
12/1/2022,1.206
1/1/2023,1.2059
2/1/2023,1.2058
3/1/2023,1.2058
4/1/2023,1.2059
5/1/2023,1.2061
6/1/2023,1.2064
7/1/2023,1.2068
8/1/2023,1.2073
9/1/2023,1.2079
10/1/2023,1.2085
11/1/2023,1.2093
12/1/2023,1.2103
1/1/2024,1.2115
2/1/2024,1.2124
3/1/2024,1.2133
4/1/2024,1.214
5/1/2024,1.2146
