Date,Mfg Labor Productivity
2000-03-01,146.6433573
2000-06-01,146.6560168
2000-09-01,146.6814577
2000-12-01,146.7199272
2001-03-01,146.7718054
2001-06-01,146.8965015
2001-09-01,147.0969612
2001-12-01,147.3760615
2002-03-01,147.7366435
2002-06-01,148.1036444
2002-09-01,148.4741542
2002-12-01,148.8450115
2003-03-01,149.2128844
2003-06-01,149.5539411
2003-09-01,149.8657967
2003-12-01,150.146405
2004-03-01,150.3941046
2004-06-01,150.5881462
2004-09-01,150.7309172
2004-12-01,150.8240277
2005-03-01,150.8683883
2005-06-01,150.9445844
2005-09-01,151.0519032
2005-12-01,151.1892112
2006-03-01,151.3549949
2006-06-01,151.5352269
2006-09-01,151.7307204
2006-12-01,151.9423961
2007-03-01,152.1712974
2007-06-01,152.346555
2007-09-01,152.4685724
2007-12-01,152.5374836
2008-03-01,152.5531736
2008-06-01,152.6341852
2008-09-01,152.783852
2008-12-01,153.0086448
2009-03-01,153.31906
2009-06-01,153.649423
2009-09-01,153.9928841
2009-12-01,154.3370862
2010-03-01,154.6653656
2010-06-01,154.8756221
2010-09-01,154.9743003
2010-12-01,154.9652355
2011-03-01,154.8499781
2011-06-01,154.7308033
2011-09-01,154.6079209
2011-12-01,154.4815466
2012-03-01,154.3519013
2012-06-01,154.2926656
2012-09-01,154.3030677
2012-12-01,154.3821704
2013-03-01,154.5288855
2013-06-01,154.6181968
2013-09-01,154.6510535
2013-12-01,154.6282025
2014-03-01,154.5502051
2014-06-01,154.4832282
2014-09-01,154.4272411
2014-12-01,154.3821743
2015-03-01,154.3479205
2015-06-01,154.3232953
2015-09-01,154.3081299
2015-12-01,154.3023092
2016-03-01,154.3057686
2016-06-01,154.3103348
2016-09-01,154.3160612
2016-12-01,154.3228465
2017-03-01,154.3304391
2017-06-01,154.3675598
2017-09-01,154.4334932
2017-12-01,154.5274936
2018-03-01,154.6487926
2018-06-01,154.7103582
2018-09-01,154.7136247
2018-12-01,154.6599521
2019-03-01,154.5506359
2019-06-01,154.5058932
2019-09-01,154.5246599
2019-12-01,154.6080789
2020-03-01,154.7596447
2020-06-01,154.9063849
2020-09-01,155.0455393
2020-12-01,155.1729438
2021-03-01,155.2834188
2021-06-01,155.3050972
2021-09-01,155.2427551
2021-12-01,155.0996047
2022-03-01,154.8774673
2022-06-01,154.7307858
2022-09-01,154.6575208
2022-12-01,154.6565513
2023-03-01,154.7276262
2023-06-01,154.7810071
2023-09-01,154.8166301
2023-12-01,154.8344524
