rwshr.lg,gdpdf.lg,urint.lg,capult.lg,ff,lbrprd.lg,fsi,ip.lg,ppi.lg
4.217,4.102,6.777,4.381,6.91,5.547,1.392,4.113,4.779
4.216,4.105,6.848,4.373,6.25,5.547,1.048,4.106,4.764
4.216,4.108,6.893,4.366,6.12,5.547,0.534,4.1,4.755
4.214,4.11,6.924,4.368,5.91,5.547,0.511,4.103,4.754
4.215,4.112,6.908,4.377,5.78,5.547,0.136,4.112,4.758
4.218,4.115,6.968,4.384,5.9,5.547,0.434,4.12,4.757
4.217,4.118,6.961,4.386,5.82,5.547,0.256,4.123,4.754
4.217,4.12,6.983,4.385,5.66,5.547,0.11,4.123,4.755
4.219,4.122,6.99,4.392,5.45,5.547,0.08,4.131,4.754
4.215,4.125,7.032,4.39,5.21,5.548,-0.081,4.13,4.757
4.217,4.126,7.06,4.387,4.81,5.548,0.035,4.129,4.757
4.216,4.127,7.141,4.381,4.43,5.548,0.121,4.124,4.753
4.215,4.128,7.186,4.374,4.03,5.548,0.127,4.118,4.75
4.219,4.13,7.236,4.379,4.06,5.548,0.069,4.125,4.754
4.219,4.131,7.26,4.385,3.98,5.548,-0.07,4.134,4.754
4.216,4.134,7.277,4.39,3.73,5.548,-0.323,4.141,4.756
4.216,4.136,7.326,4.392,3.82,5.548,-0.467,4.145,4.764
4.215,4.137,7.375,4.39,3.76,5.548,-0.383,4.145,4.771
4.214,4.139,7.356,4.397,3.25,5.549,-0.378,4.154,4.77
4.216,4.14,7.338,4.389,3.3,5.549,-0.346,4.149,4.768
4.214,4.143,7.343,4.39,3.22,5.549,-0.432,4.152,4.771
4.207,4.145,7.346,4.395,3.1,5.549,-0.077,4.159,4.772
4.209,4.148,7.305,4.396,3.09,5.549,-0.267,4.163,4.769
4.224,4.15,7.365,4.396,2.92,5.549,-0.326,4.164,4.767
4.21,4.151,7.314,4.398,3.02,5.549,-0.229,4.168,4.771
4.212,4.153,7.281,4.402,3.03,5.548,-0.305,4.173,4.774
4.21,4.155,7.233,4.399,3.07,5.549,-0.23,4.172,4.777
4.212,4.157,7.247,4.401,2.96,5.549,-0.134,4.175,4.782
4.213,4.159,7.241,4.395,3,5.549,-0.429,4.171,4.785
4.211,4.161,7.244,4.396,3.04,5.549,-0.407,4.173,4.783
4.213,4.163,7.224,4.398,3.06,5.548,-0.562,4.176,4.781
4.215,4.165,7.226,4.395,3.03,5.548,-0.622,4.175,4.777
4.213,4.167,7.217,4.399,3.09,5.549,-0.596,4.18,4.777
4.21,4.169,7.232,4.404,2.99,5.549,-0.479,4.187,4.78
4.208,4.17,7.229,4.407,3.02,5.549,-0.706,4.192,4.779
4.223,4.172,7.198,4.411,2.96,5.549,-0.82,4.198,4.776
4.212,4.174,7.229,4.411,3.05,5.549,-0.929,4.201,4.78
4.211,4.175,7.251,4.41,3.25,5.549,-0.859,4.201,4.782
4.211,4.177,7.235,4.417,3.34,5.549,-0.592,4.211,4.785
4.214,4.178,7.22,4.42,3.56,5.549,-0.533,4.217,4.785
4.214,4.18,7.198,4.422,4.01,5.549,-0.805,4.222,4.787
4.212,4.182,7.161,4.426,4.25,5.549,-0.848,4.229,4.792
4.213,4.184,7.172,4.424,4.26,5.549,-0.824,4.23,4.793
4.212,4.186,7.145,4.428,4.47,5.549,-0.995,4.237,4.797
4.212,4.188,7.123,4.428,4.73,5.549,-0.967,4.24,4.796
4.21,4.189,7.137,4.432,4.76,5.549,-0.936,4.248,4.795
4.207,4.191,7.032,4.436,5.29,5.549,-0.789,4.255,4.8
4.206,4.193,7.003,4.443,5.45,5.549,-0.54,4.265,4.803
4.205,4.195,6.981,4.441,5.53,5.548,-0.551,4.267,4.811
4.204,4.197,6.939,4.436,5.92,5.548,-0.828,4.265,4.816
4.203,4.198,6.956,4.435,5.98,5.548,-0.919,4.267,4.819
4.204,4.2,7.045,4.429,6.05,5.548,-0.941,4.265,4.825
4.201,4.201,6.975,4.431,6.01,5.548,-0.911,4.27,4.828
4.202,4.203,6.908,4.43,6,5.548,-0.888,4.274,4.831
4.202,4.205,6.963,4.422,5.85,5.549,-0.866,4.269,4.831
4.201,4.206,6.945,4.432,5.74,5.548,-0.881,4.283,4.829
4.201,4.208,6.927,4.432,5.8,5.549,-0.996,4.287,4.83
4.201,4.209,6.896,4.426,5.76,5.549,-0.666,4.285,4.831
4.201,4.211,6.939,4.424,5.8,5.549,-0.783,4.287,4.832
