Series Id,Year,Period,Value
SMU37000004348100001,1990,M01,16.3
SMU37000004348100001,1990,M02,16.8
SMU37000004348100001,1990,M03,17.0
SMU37000004348100001,1990,M04,17.2
SMU37000004348100001,1990,M05,17.3
SMU37000004348100001,1990,M06,17.3
SMU37000004348100001,1990,M07,17.2
SMU37000004348100001,1990,M08,17.3
SMU37000004348100001,1990,M09,17.3
SMU37000004348100001,1990,M10,17.1
SMU37000004348100001,1990,M11,17.1
SMU37000004348100001,1990,M12,16.9
SMU37000004348100001,1991,M01,16.9
SMU37000004348100001,1991,M02,16.9
SMU37000004348100001,1991,M03,16.8
SMU37000004348100001,1991,M04,16.8
SMU37000004348100001,1991,M05,17.0
SMU37000004348100001,1991,M06,16.9
SMU37000004348100001,1991,M07,17.1
SMU37000004348100001,1991,M08,17.2
SMU37000004348100001,1991,M09,17.3
SMU37000004348100001,1991,M10,16.8
SMU37000004348100001,1991,M11,16.6
SMU37000004348100001,1991,M12,16.5
SMU37000004348100001,1992,M01,16.5
SMU37000004348100001,1992,M02,16.5
SMU37000004348100001,1992,M03,16.6
SMU37000004348100001,1992,M04,16.5
SMU37000004348100001,1992,M05,16.5
SMU37000004348100001,1992,M06,16.6
SMU37000004348100001,1992,M07,16.5
SMU37000004348100001,1992,M08,16.5
SMU37000004348100001,1992,M09,16.7
SMU37000004348100001,1992,M10,16.7
SMU37000004348100001,1992,M11,16.7
SMU37000004348100001,1992,M12,16.7
SMU37000004348100001,1993,M01,16.5
SMU37000004348100001,1993,M02,16.5
SMU37000004348100001,1993,M03,16.5
SMU37000004348100001,1993,M04,16.4
SMU37000004348100001,1993,M05,16.4
SMU37000004348100001,1993,M06,16.4
SMU37000004348100001,1993,M07,16.6
SMU37000004348100001,1993,M08,16.6
SMU37000004348100001,1993,M09,16.5
SMU37000004348100001,1993,M10,16.2
SMU37000004348100001,1993,M11,16.7
SMU37000004348100001,1993,M12,16.5
SMU37000004348100001,1994,M01,16.5
SMU37000004348100001,1994,M02,16.9
SMU37000004348100001,1994,M03,16.6
SMU37000004348100001,1994,M04,16.5
SMU37000004348100001,1994,M05,16.3
SMU37000004348100001,1994,M06,16.4
SMU37000004348100001,1994,M07,16.3
SMU37000004348100001,1994,M08,16.2
SMU37000004348100001,1994,M09,16.1
SMU37000004348100001,1994,M10,15.8
SMU37000004348100001,1994,M11,15.8
SMU37000004348100001,1994,M12,16.2
SMU37000004348100001,1995,M01,16.1
SMU37000004348100001,1995,M02,16.2
SMU37000004348100001,1995,M03,16.7
SMU37000004348100001,1995,M04,16.1
SMU37000004348100001,1995,M05,16.1
SMU37000004348100001,1995,M06,15.8
SMU37000004348100001,1995,M07,15.3
SMU37000004348100001,1995,M08,15.8
SMU37000004348100001,1995,M09,15.8
SMU37000004348100001,1995,M10,15.8
SMU37000004348100001,1995,M11,15.8
SMU37000004348100001,1995,M12,15.6
SMU37000004348100001,1996,M01,15.5
SMU37000004348100001,1996,M02,15.7
SMU37000004348100001,1996,M03,15.6
