Date,Open,High,Low,Close
2009-05-01,957.55,1023.96,957.55,1012.24
2009-05-04,1012.24,1093.43,1012.24,1092.36
2009-05-05,1092.36,1097.14,1055.42,1081.12
2009-05-06,1081.12,1124.39,1081.12,1113.06
2009-05-07,1113.06,1145.69,1079.86,1095.74
2009-05-08,1095.74,1145.57,1095.74,1137.67
2009-05-11,1137.67,1137.67,1080.45,1102.69
2009-05-12,1102.69,1111.99,1054.66,1084.28
2009-05-13,1084.28,1084.28,981.59,989.94
2009-05-14,989.94,1018.63,969.47,1010.92
2009-05-15,1010.92,1030.79,987.83,1000.53
2009-05-18,1000.53,1073.03,1000.53,1072.38
2009-05-19,1072.38,1130.62,1072.38,1109.80
2009-05-20,1109.80,1173.80,1109.80,1129.22
2009-05-21,1129.22,1129.22,1062.53,1078.02
2009-05-22,1078.02,1109.69,1078.02,1087.24
2009-05-26,1087.24,1130.85,1060.06,1126.34
2009-05-27,1126.34,1174.61,1119.58,1122.58
2009-05-28,1122.58,1173.43,1122.58,1169.42
2009-05-29,1169.42,1203.26,1169.42,1191.63
2009-06-01,1191.63,1285.93,1191.63,1277.39
2009-06-02,1277.39,1297.87,1259.96,1287.05
2009-06-03,1287.05,1287.05,1180.25,1198.61
2009-06-04,1198.61,1230.44,1173.97,1227.82
2009-06-05,1227.82,1270.00,1225.15,1254.55
2009-06-08,1254.55,1254.55,1190.70,1224.58
2009-06-09,1224.58,1276.41,1224.58,1266.87
2009-06-10,1266.87,1301.25,1256.09,1284.42
2009-06-11,1284.42,1346.30,1284.42,1324.64
2009-06-12,1324.64,1324.64,1267.65,1281.74
2009-06-15,1281.74,1281.74,1193.40,1205.14
2009-06-16,1205.14,1243.61,1175.45,1185.77
2009-06-17,1185.77,1186.03,1128.36,1162.41
2009-06-18,1162.41,1184.33,1137.34,1168.84
2009-06-19,1168.84,1202.22,1168.84,1185.34
2009-06-22,1185.34,1185.34,1078.42,1078.45
2009-06-23,1078.45,1124.02,1076.48,1115.34
2009-06-24,1115.34,1159.35,1113.34,1125.96
2009-06-25,1125.96,1164.28,1102.72,1164.16
2009-06-26,1164.16,1180.51,1152.63,1169.27
2009-06-29,1169.27,1182.54,1156.63,1168.06
2009-06-30,1168.06,1175.87,1132.88,1146.78
2009-07-01,1146.78,1187.59,1146.78,1151.05
2009-07-02,1151.05,1151.05,1110.64,1118.10
2009-07-06,1118.10,1118.10,1051.35,1075.76
2009-07-07,1075.76,1087.46,1042.38,1045.30
2009-07-08,1045.30,1059.42,966.67,1031.05
2009-07-09,1031.05,1065.78,1031.05,1049.59
2009-07-10,1049.59,1049.59,1023.22,1043.60
2009-07-13,1043.60,1069.64,1018.13,1069.38
2009-07-14,1069.38,1094.19,1069.38,1085.66
2009-07-15,1085.66,1165.25,1085.66,1162.27
2009-07-16,1162.27,1195.08,1152.72,1187.07
2009-07-17,1187.07,1206.49,1171.75,1195.28
2009-07-20,1195.28,1240.14,1195.28,1240.14
2009-07-21,1240.14,1257.44,1197.49,1229.42
2009-07-22,1229.42,1229.42,1201.41,1212.65
2009-07-23,1212.65,1259.29,1208.90,1244.65
2009-07-24,1244.65,1258.79,1230.14,1252.45
2009-07-27,1252.45,1273.11,1240.90,1263.55
2009-07-28,1249.10,1263.55,1211.72,1240.68
2009-07-29,1240.68,1240.68,1174.51,1181.02
2009-07-30,1181.02,1245.94,1181.02,1230.16
2009-07-31,1230.16,1266.73,1225.26,1252.15
2009-08-03,1252.15,1335.07,1252.15,1330.83
2009-08-04,1330.83,1331.99,1306.12,1317.36
2009-08-05,1317.36,1329.81,1287.28,1323.78
2009-08-06,1323.78,1338.38,1292.89,1306.72
2009-08-07,1306.72,1344.14,1304.53,1331.10
2009-08-10,1331.10,1331.10,1278.49,1294.22
2009-08-11,1294.22,1294.22,1251.23,1266.02
2009-08-12,1266.02,1300.83,1256.37,1290.15
2009-08-13,1290.15,1327.20,1290.15,1325.88
2009-08-14,1325.88,1331.88,1280.56,1295.70
2009-08-17,1295.70,1295.70,1209.17,1215.63
2009-08-18,1215.63,1252.24,1215.63,1248.42
2009-08-19,1248.42,1262.49,1212.73,1251.43
2009-08-20,1251.43,1273.11,1251.40,1270.59
2009-08-21,1270.59,1314.91,1270.59,1312.00
2009-08-24,1312.00,1348.05,1312.00,1323.67
2009-08-25,1323.67,1345.24,1305.87,1309.83
2009-08-26,1309.83,1309.83,1276.92,1292.92
2009-08-27,1292.92,1311.36,1260.63,1301.52
2009-08-28,1301.52,1327.59,1301.52,1317.50
2009-08-31,1317.50,1317.50,1272.91,1279.59
2009-09-01,1279.59,1310.18,1239.61,1243.49
