Date,NYSE Steel Index
2009-05-01,1090.359
2009-06-01,1204.690
2009-07-01,1161.863
2009-08-01,1295.470
2009-09-01,1402.592
2009-10-01,1488.841
2009-11-01,1546.040
2009-12-01,1652.185
2010-01-01,1733.219
2010-02-01,1594.840
2010-03-01,1798.847
2010-04-01,1892.821
2010-05-01,1587.563
2010-06-01,1558.998
2010-07-01,1557.766
2010-08-01,1621.935
2010-09-01,1685.479
2010-10-01,1764.619
2010-11-01,1807.012
2010-12-01,1949.738
2011-01-01,2036.516
2011-02-01,2070.748
2011-03-01,1991.032
2011-04-01,2032.760
2011-05-01,1899.869
2011-06-01,1820.018
2011-07-01,1867.892
2011-08-01,1494.838
2011-09-01,1361.109
2011-10-01,1318.241
2011-11-01,1391.172
2011-12-01,1338.242
2012-01-01,1480.350
2012-02-01,1560.671
2012-03-01,1491.916
2012-04-01,1440.155
2012-05-01,1268.286
2012-06-01,1168.304
2012-07-01,1194.687
2012-08-01,1216.610
2012-09-01,1242.643
2012-10-01,1226.858
2012-11-01,1198.230
2012-12-01,1286.356
2013-01-01,1370.923
2013-02-01,1328.310
2013-03-01,1235.148
2013-04-01,1149.193
2013-05-01,1163.977
2013-06-01,1078.780
2013-07-01,1093.284
2013-08-01,1167.851
2013-09-01,1236.376
2013-10-01,1279.083
2013-11-01,1323.968
2013-12-01,1326.800
2014-01-01,1298.261
2014-02-01,1274.115
2014-03-01,1237.425
2014-04-01,1289.045
2014-05-01,1278.400
2014-06-01,1285.607
2014-07-01,1344.680
2014-08-01,1342.122
2014-09-01,1304.098
2014-10-01,1155.620
2014-11-01,1106.685
2014-12-01,992.710
2015-01-01,922.906
2015-02-01,948.185
2015-03-01,888.780
2015-04-01,916.369
2015-05-01,964.853
2015-06-01,898.196
2015-07-01,768.266
2015-08-01,711.836
2015-09-01,649.199
2015-10-01,662.307
2015-11-01,626.303
2015-12-01,561.359
2016-01-01,481.245
2016-02-01,517.390
2016-03-01,667.111
2016-04-01,777.724
2016-05-01,721.078
2016-06-01,742.721
2016-07-01,841.068
2016-08-01,872.449
2016-09-01,828.178
2016-10-01,883.966
2016-11-01,1025.611
2016-12-01,1113.789
2017-01-01,1145.723
2017-02-01,1201.225
2017-03-01,1151.329
2017-04-01,1070.687
2017-05-01,1015.138
2017-06-01,1007.646
2017-07-01,1110.324
2017-08-01,1126.996
2017-09-01,1176.674
2017-10-01,1185.502
2017-11-01,1151.404
2017-12-01,1221.717
2018-01-01,1402.978
2018-02-01,1373.933
2018-03-01,1326.267
2018-04-01,1320.340
2018-05-01,1371.120
2018-06-01,1318.551
2018-07-01,1289.770
2018-08-01,1237.874
2018-09-01,1221.561
2018-10-01,1208.499
2018-11-01,1158.329
2018-12-01,1039.185
2019-01-01,1091.288
2019-02-01,1145.742
2019-03-01,1148.050
2019-04-01,1166.652
2019-05-01,1065.181
2019-06-01,1072.161
2019-07-01,1103.689
2019-08-01,939.570
2019-09-01,982.264
2019-10-01,960.438
2019-11-01,1028.642
2019-12-01,1087.903
2020-01-01,1065.683
2020-02-01,978.588
2020-03-01,666.552
2020-04-01,648.829
2020-05-01,685.084
2020-06-01,810.011
2020-07-01,818.039
2020-08-01,878.225
2020-09-01,893.488
2020-10-01,931.242
2020-11-01,1037.424
2020-12-01,1267.093
2021-01-01,1380.140
2021-02-01,1386.217
2021-03-01,1515.575
2021-04-01,1656.257
2021-05-01,1816.436
2021-06-01,1793.245
2021-07-01,1768.684
2021-08-01,1815.130
2021-09-01,1650.583
2021-10-01,1576.487
2021-11-01,1528.618
2021-12-01,1537.891
2022-01-01,1616.467
2022-02-01,1693.692
2022-03-01,1904.082
2022-04-01,1956.168
2022-05-01,1738.557
2022-06-01,1636.255
2022-07-01,1438.073
2022-08-01,1589.930
2022-09-01,1458.558
2022-10-01,1504.563
2022-11-01,1667.673
2022-12-01,1751.081
2023-01-01,1920.621
2023-02-01,1991.914
2023-03-01,1893.878
2023-04-01,1855.663
2023-05-01,1729.920
2023-06-01,1830.010
2023-07-01,1978.805
2023-08-01,1957.244
2023-09-01,1945.747
2023-10-01,1843.935
2023-11-01,1970.665
2023-12-01,2130.830
2024-01-01,2111.356
2024-02-01,2104.794
2024-03-01,2117.273
2024-04-01,2127.625
2024-05-01,2129.662
2024-06-01,1989.082
2024-07-01,2033.053
2024-08-01,1949.345
2024-09-01,1945.274
2024-10-01,2032.169
2024-11-01,2077.739
2024-12-01,1917.980
2025-01-01,1831.800
2025-02-01,1915.262
2025-03-01,1904.138
2025-04-01,1829.947
