Date       Open	   High	  Low	    Close
4/30/2009	925.34	975.87	925.34	957.55
5/1/2009	957.55	1023.96	957.55	1012.24
5/4/2009	1012.24	1093.43	1012.24	1092.36
5/5/2009	1092.36	1097.14	1055.42	1081.12
5/6/2009	1081.12	1124.39	1081.12	1113.06
5/7/2009	1113.06	1145.69	1079.86	1095.74
5/8/2009	1095.74	1145.57	1095.74	1137.67
5/11/2009	1137.67	1137.67	1080.45	1102.69
5/12/2009	1102.69	1111.99	1054.66	1084.28
5/13/2009	1084.28	1084.28	981.59	989.94
5/14/2009	989.94	1018.63	969.47	1010.92
5/15/2009	1010.92	1030.79	987.83	1000.53
5/18/2009	1000.53	1073.03	1000.53	1072.38
5/19/2009	1072.38	1130.62	1072.38	1109.8
5/20/2009	1109.8	1173.8	1109.8	1129.22
5/21/2009	1129.22	1129.22	1062.53	1078.02
5/22/2009	1078.02	1109.69	1078.02	1087.24
5/26/2009	1087.24	1130.85	1060.06	1126.34
5/27/2009	1126.34	1174.61	1119.58	1122.58
5/28/2009	1122.58	1173.43	1122.58	1169.42
5/29/2009	1169.42	1203.26	1169.42	1191.63
6/1/2009	1191.63	1285.93	1191.63	1277.39
6/2/2009	1277.39	1297.87	1259.96	1287.05
6/3/2009	1287.05	1287.05	1180.25	1198.61
6/4/2009	1198.61	1230.44	1173.97	1227.82
6/5/2009	1227.82	1270	1225.15	1254.55
6/8/2009	1254.55	1254.55	1190.7	1224.58
6/9/2009	1224.58	1276.41	1224.58	1266.87
6/10/2009	1266.87	1301.25	1256.09	1284.42
6/11/2009	1284.42	1346.3	1284.42	1324.64
6/12/2009	1324.64	1324.64	1267.65	1281.74
6/15/2009	1281.74	1281.74	1193.4	1205.14
6/16/2009	1205.14	1243.61	1175.45	1185.77
6/17/2009	1185.77	1186.03	1128.36	1162.41
6/18/2009	1162.41	1184.33	1137.34	1168.84
6/19/2009	1168.84	1202.22	1168.84	1185.34
6/22/2009	1185.34	1185.34	1078.42	1078.45
6/23/2009	1078.45	1124.02	1076.48	1115.34
6/24/2009	1115.34	1159.35	1113.34	1125.96
6/25/2009	1125.96	1164.28	1102.72	1164.16
6/26/2009	1164.16	1180.51	1152.63	1169.27
6/29/2009	1169.27	1182.54	1156.63	1168.06
6/30/2009	1168.06	1175.87	1132.88	1146.78
7/1/2009	1146.78	1187.59	1146.78	1151.05
7/2/2009	1151.05	1151.05	1110.64	1118.1
7/6/2009	1118.1	1118.1	1051.35	1075.76
7/7/2009	1075.76	1087.46	1042.38	1045.3
7/8/2009	1045.3	1059.42	966.67	1031.05
7/9/2009	1031.05	1065.78	1031.05	1049.59
7/10/2009	1049.59	1049.59	1023.22	1043.6
7/13/2009	1043.6	1069.64	1018.13	1069.38
7/14/2009	1069.38	1094.19	1069.38	1085.66
7/15/2009	1085.66	1165.25	1085.66	1162.27
7/16/2009	1162.27	1195.08	1152.72	1187.07
7/17/2009	1187.07	1206.49	1171.75	1195.28
7/20/2009	1195.28	1240.14	1195.28	1240.14
7/21/2009	1240.14	1257.44	1197.49	1229.42
7/22/2009	1229.42	1229.42	1201.41	1212.65
7/23/2009	1212.65	1259.29	1208.9	1244.65
7/24/2009	1244.65	1258.79	1230.14	1252.45
7/27/2009	1252.45	1273.11	1240.9	1263.55
7/28/2009	1249.1	1263.55	1211.72	1240.68
7/29/2009	1240.68	1240.68	1174.51	1181.02
7/30/2009	1181.02	1245.94	1181.02	1230.16
7/31/2009	1230.16	1266.73	1225.26	1252.15
8/3/2009	1252.15	1335.07	1252.15	1330.83
8/4/2009	1330.83	1331.99	1306.12	1317.36
8/5/2009	1317.36	1329.81	1287.28	1323.78
8/6/2009	1323.78	1338.38	1292.89	1306.72
8/7/2009	1306.72	1344.14	1304.53	1331.1
8/10/2009	1331.1	1331.1	1278.49	1294.22
8/11/2009	1294.22	1294.22	1251.23	1266.02
8/12/2009	1266.02	1300.83	1256.37	1290.15
8/13/2009	1290.15	1327.2	1290.15	1325.88
8/14/2009	1325.88	1331.88	1280.56	1295.7
8/17/2009	1295.7	1295.7	1209.17	1215.63
8/18/2009	1215.63	1252.24	1215.63	1248.42
8/19/2009	1248.42	1262.49	1212.73	1251.43
8/20/2009	1251.43	1273.11	1251.4	1270.59
8/21/2009	1270.59	1314.91	1270.59	1312
8/24/2009	1312	1348.05	1312	1323.67
8/25/2009	1323.67	1345.24	1305.87	1309.83
8/26/2009	1309.83	1309.83	1276.92	1292.92
8/27/2009	1292.92	1311.36	1260.63	1301.52
8/28/2009	1301.52	1327.59	1301.52	1317.5
8/31/2009	1317.5	1317.5	1272.91	1279.59
9/1/2009	1279.59	1310.18	1239.61	1243.49
9/2/2009	1243.49	1249.66	1221.22	1236.13
9/3/2009	1236.13	1275.6	1236.13	1272.83
9/4/2009	1272.83	1298.02	1258.85	1297.15
9/8/2009	1297.15	1346.57	1297.15	1345.77
9/9/2009	1345.77	1360.19	1336.24	1353.03
9/10/2009	1353.03	1389.35	1337.93	1389.35
9/11/2009	1389.35	1425.45	1387.41	1401.98
9/14/2009	1401.98	1413.27	1373.04	1413.24
9/15/2009	1413.24	1456.33	1409.47	1446
9/16/2009	1446	1497.57	1446	1492.04
9/17/2009	1507.57	1509.41	1471	1481.76
9/18/2009	1481.76	1494.03	1465.32	1477.93
9/21/2009	1477.93	1477.93	1431.92	1458.15
9/22/2009	1458.15	1505.38	1458.15	1497.85
9/23/2009	1497.85	1518.31	1473.66	1474.73
9/24/2009	1474.73	1488.29	1420.59	1434.7
9/25/2009	1434.7	1446.32	1408.76	1418.95
9/28/2009	1418.95	1458.5	1412.48	1445.03
9/29/2009	1445.03	1461.02	1435.53	1441.48
9/30/2009	1441.48	1459.83	1418.02	1432.84
10/1/2009	1432.84	1434.35	1367.99	1368.88
10/2/2009	1368.88	1376.12	1327.25	1367.24
10/5/2009	1367.24	1425.23	1367.24	1421.42
10/6/2009	1421.42	1461.6	1416.85	1438.68
10/7/2009	1438.68	1456.75	1427.57	1449.49
