Series id,Year,Period,Value,Duration Index
LNU03034480Q,2000,Q01,16.7,100.00
LNU03034480Q,2000,Q02,14.2,85.03
LNU03034480Q,2000,Q03,15.7,94.01
LNU03034480Q,2000,Q04,17.3,103.59
LNU03034480Q,2001,Q01,13.4,80.24
LNU03034480Q,2001,Q02,13.5,80.84
LNU03034480Q,2001,Q03,16.2,97.01
LNU03034480Q,2001,Q04,18.5,110.78
LNU03034480Q,2002,Q01,18.5,110.78
LNU03034480Q,2002,Q02,20,119.76
LNU03034480Q,2002,Q03,16.9,101.20
LNU03034480Q,2002,Q04,21.5,128.74
LNU03034480Q,2003,Q01,21.9,131.14
LNU03034480Q,2003,Q02,25.9,155.09
LNU03034480Q,2003,Q03,21.2,126.95
LNU03034480Q,2003,Q04,22.6,135.33
LNU03034480Q,2004,Q01,23,137.72
LNU03034480Q,2004,Q02,24.3,145.51
LNU03034480Q,2004,Q03,25,149.70
LNU03034480Q,2004,Q04,22.5,134.73
LNU03034480Q,2005,Q01,19.5,116.77
LNU03034480Q,2005,Q02,22.8,136.53
LNU03034480Q,2005,Q03,16.9,101.20
LNU03034480Q,2005,Q04,21.2,126.95
LNU03034480Q,2006,Q01,18.9,113.17
LNU03034480Q,2006,Q02,20.6,123.35
LNU03034480Q,2006,Q03,22.5,134.73
LNU03034480Q,2006,Q04,18.4,110.18
LNU03034480Q,2007,Q01,20.4,122.16
LNU03034480Q,2007,Q02,18.6,111.38
LNU03034480Q,2007,Q03,19.3,115.57
LNU03034480Q,2007,Q04,21.9,131.14
LNU03034480Q,2008,Q01,18.7,111.98
LNU03034480Q,2008,Q02,19.3,115.57
LNU03034480Q,2008,Q03,22.9,137.13
LNU03034480Q,2008,Q04,19.1,114.37
LNU03034480Q,2009,Q01,20.8,124.55
LNU03034480Q,2009,Q02,25.6,153.29
LNU03034480Q,2009,Q03,30,179.64
LNU03034480Q,2009,Q04,33.9,202.99
LNU03034480Q,2010,Q01,32,191.62
LNU03034480Q,2010,Q02,41.2,246.71
LNU03034480Q,2010,Q03,36.7,219.76
LNU03034480Q,2010,Q04,39.7,237.72
LNU03034480Q,2011,Q01,44.3,265.27
LNU03034480Q,2011,Q02,45.8,274.25
LNU03034480Q,2011,Q03,43.6,261.08
LNU03034480Q,2011,Q04,46,275.45
LNU03034480Q,2012,Q01,42.3,253.29
LNU03034480Q,2012,Q02,41.8,250.30
LNU03034480Q,2012,Q03,49,293.41
LNU03034480Q,2012,Q04,44,263.47
LNU03034480Q,2013,Q01,37.5,224.55
LNU03034480Q,2013,Q02,42.2,252.69
LNU03034480Q,2013,Q03,38.6,231.14
LNU03034480Q,2013,Q04,46.6,279.04
LNU03034480Q,2014,Q01,38.2,228.74
LNU03034480Q,2014,Q02,42,251.50
LNU03034480Q,2014,Q03,38.9,232.93
LNU03034480Q,2014,Q04,34.7,207.78
LNU03034480Q,2015,Q01,35,209.58
LNU03034480Q,2015,Q02,39.8,238.32
LNU03034480Q,2015,Q03,24.7,147.90
LNU03034480Q,2015,Q04,18.8,112.57
LNU03034480Q,2016,Q01,21.9,131.14
LNU03034480Q,2016,Q02,31.5,188.62
LNU03034480Q,2016,Q03,35.7,213.77
LNU03034480Q,2016,Q04,31.9,191.02
LNU03034480Q,2017,Q01,25.1,150.30
LNU03034480Q,2017,Q02,30.3,181.44
LNU03034480Q,2017,Q03,20.4,122.16
LNU03034480Q,2017,Q04,33,197.60
LNU03034480Q,2018,Q01,20,119.76
LNU03034480Q,2018,Q02,26.2,156.89
LNU03034480Q,2018,Q03,22.7,135.93
LNU03034480Q,2018,Q04,26.2,156.89
LNU03034480Q,2019,Q01,22.4,134.13
LNU03034480Q,2019,Q02,23.2,138.92
LNU03034480Q,2019,Q03,18.5,110.78
LNU03034480Q,2019,Q04,17.2,102.99
LNU03034480Q,2020,Q01,18.3,109.58
LNU03034480Q,2020,Q02,10.4,62.28
LNU03034480Q,2020,Q03,17.2,102.99
LNU03034480Q,2020,Q04,19.8,118.56
LNU03034480Q,2021,Q01,29.8,178.44
LNU03034480Q,2021,Q02,29.3,175.45
LNU03034480Q,2021,Q03,27,161.68
LNU03034480Q,2021,Q04,27.6,165.27
LNU03034480Q,2022,Q01,26.3,157.49
LNU03034480Q,2022,Q02,20.5,122.75
LNU03034480Q,2022,Q03,19.3,115.57
LNU03034480Q,2022,Q04,17.2,102.99
LNU03034480Q,2023,Q01,21.3,127.54
LNU03034480Q,2023,Q02,24.5,146.71
LNU03034480Q,2023,Q03,18.4,110.18
LNU03034480Q,2023,Q04,20.2,120.96
LNU03034480Q,2024,Q01,22.8,136.53
LNU03034480Q,2024,Q02,18.2,108.98
