,PetroCoal Ur
1,2.70
2,1.50
3,4.60
4,1.20
5,3.00
6,3.90
7,2.40
8,3.80
9,7.40
10,8.40
11,6.20
12,5.00
13,9.70
14,5.30
15,3.50
16,2.70
17,7.50
18,3.30
19,1.90
20,8.90
21,4.60
22,6.40
23,4.70
24,3.20
25,4.30
26,2.60
27,5.00
28,5.20
29,2.10
30,1.50
31,1.80
32,3.80
33,6.80
34,0.10
35,2.10
36,6.50
37,7.50
38,6.30
39,11.70
40,5.00
41,8.90
42,6.70
43,6.50
44,4.80
45,5.30
46,7.00
47,4.70
48,7.60
49,6.10
50,5.20
51,7.00
52,1.70
53,5.00
54,3.90
55,7.60
56,5.30
57,4.00
58,1.60
59,1.00
60,1.40
61,0.10
62,2.10
63,4.50
64,2.80
65,6.20
66,6.60
67,3.20
68,15.80
69,6.80
70,5.00
71,9.90
72,5.00
73,5.70
74,2.40
75,3.90
76,5.20
77,2.80
78,1.00
79,7.30
80,3.20
81,5.10
82,17.80
83,10.80
84,11.00
85,16.60
86,10.30
87,3.60
88,5.40
89,2.90
90,1.10
91,3.30
92,4.50
93,4.40
94,0.00
95,5.70
96,7.40
97,3.60
98,0.70
