Date,Primary Metals Compensation Ratioi
1/1/1998,1.2167
2/1/1998,1.2168
3/1/1998,1.2169
4/1/1998,1.2171
5/1/1998,1.2174
6/1/1998,1.2177
7/1/1998,1.2182
8/1/1998,1.2187
9/1/1998,1.2192
10/1/1998,1.2198
11/1/1998,1.2206
12/1/1998,1.2214
1/1/1999,1.2224
2/1/1999,1.2232
3/1/1999,1.224
4/1/1999,1.2247
5/1/1999,1.2254
6/1/1999,1.2261
7/1/1999,1.2268
8/1/1999,1.2274
9/1/1999,1.228
10/1/1999,1.2286
11/1/1999,1.2291
12/1/1999,1.2296
1/1/2000,1.2302
2/1/2000,1.2306
3/1/2000,1.2308
4/1/2000,1.2308
5/1/2000,1.2307
6/1/2000,1.2306
7/1/2000,1.2304
8/1/2000,1.23
9/1/2000,1.2296
10/1/2000,1.229
11/1/2000,1.2282
12/1/2000,1.2271
1/1/2001,1.2259
2/1/2001,1.225
3/1/2001,1.2245
4/1/2001,1.2243
5/1/2001,1.2245
6/1/2001,1.225
7/1/2001,1.2257
8/1/2001,1.2268
9/1/2001,1.2282
10/1/2001,1.2299
11/1/2001,1.2321
12/1/2001,1.2349
1/1/2002,1.2382
2/1/2002,1.2411
3/1/2002,1.2434
4/1/2002,1.2452
5/1/2002,1.2467
6/1/2002,1.2479
7/1/2002,1.2489
8/1/2002,1.2494
9/1/2002,1.2496
10/1/2002,1.2495
11/1/2002,1.2488
12/1/2002,1.2476
1/1/2003,1.2458
2/1/2003,1.2444
3/1/2003,1.2433
4/1/2003,1.2425
5/1/2003,1.2418
6/1/2003,1.2414
7/1/2003,1.2411
8/1/2003,1.2409
9/1/2003,1.241
10/1/2003,1.2411
11/1/2003,1.2415
12/1/2003,1.2421
1/1/2004,1.2429
2/1/2004,1.2437
3/1/2004,1.2445
4/1/2004,1.2453
5/1/2004,1.2461
6/1/2004,1.2469
7/1/2004,1.2477
8/1/2004,1.2486
9/1/2004,1.2495
10/1/2004,1.2504
11/1/2004,1.2514
12/1/2004,1.2525
1/1/2005,1.2536
2/1/2005,1.2545
3/1/2005,1.2551
4/1/2005,1.2553
5/1/2005,1.2554
6/1/2005,1.2552
7/1/2005,1.2547
8/1/2005,1.2541
9/1/2005,1.2532
10/1/2005,1.2521
11/1/2005,1.2507
12/1/2005,1.2489
1/1/2006,1.2468
2/1/2006,1.2451
3/1/2006,1.2438
