rwshre,unint,capult,prd
5.2542,6.7503,4.4343,4.7309
5.2569,6.7494,4.4314,4.7296
5.2409,6.9038,4.4250,4.7367
5.2115,6.5895,4.3986,4.7475
5.1950,6.6266,4.3772,4.7705
5.1559,6.3782,4.3488,4.8052
5.1135,6.3569,4.3378,4.8505
5.0943,6.4912,4.3740,4.8738
5.0828,6.3425,4.3894,4.8734
5.1105,6.7557,4.3899,4.8552
5.1409,6.7751,4.4118,4.8429
5.1489,6.4729,4.4078,4.8318
5.1702,6.2219,4.4170,4.8196
5.1710,6.1648,4.4162,4.8146
5.1774,5.7351,4.4088,4.7947
5.1787,6.3462,4.4065,4.7815
5.2103,6.3949,4.4177,4.7463
5.2427,6.2313,4.4128,4.7051
5.2884,6.1570,4.3792,4.6562
5.3287,6.3804,4.3795,4.6200
5.3557,5.6566,4.3748,4.6085
5.3495,6.0666,4.3301,4.6148
5.3454,6.1824,4.3320,4.6380
5.3036,5.7261,4.3238,4.6679
5.2403,6.2428,4.3622,4.7140
5.2379,6.3992,4.3647,4.7148
5.2571,6.4643,4.3779,4.6906
5.3376,6.5441,4.3873,4.6146
5.3634,6.4539,4.3833,4.5763
5.3609,6.2146,4.3766,4.5879
5.3130,5.9551,4.3967,4.6343
5.2478,5.7276,4.3895,4.6937
5.1841,5.9392,4.3712,4.7490
5.1273,5.4900,4.3996,4.8070
5.0707,5.9010,4.4207,4.8536
5.0296,6.3890,4.4320,4.8918
5.0115,6.3381,4.4451,4.9238
5.0272,6.5756,4.4325,4.9158
5.0739,6.7436,4.4162,4.8771
5.1265,6.6951,4.4296,4.7984
5.1878,6.6666,4.4044,4.7373
5.2288,6.6767,4.4042,4.6925
5.2365,6.5805,4.4081,4.6730
5.2398,6.6473,4.3966,4.6770
5.2039,6.5094,4.3445,4.6980
5.1517,6.5253,4.2692,4.7459
5.0943,6.9490,4.1433,4.7998
5.0601,7.1420,4.0369,4.8433
5.0113,7.3829,4.0042,4.8786
4.9523,7.5547,3.9735,4.9278
4.9109,7.4695,3.9135,4.9687
4.8588,7.7288,3.9225,5.0223
4.8219,7.4897,3.8992,5.0535
4.7948,7.5903,3.9105,5.0677
4.8515,7.7968,3.9782,5.0297
4.9076,8.0632,4.0352,4.9941
4.9157,8.1558,4.0674,4.9861
4.9220,7.9844,4.0725,4.9913
4.9356,8.1301,4.1207,4.9937
4.9362,8.2806,4.1368,4.9965
4.9201,8.5406,4.1582,5.0076
4.9370,8.3294,4.1911,4.9852
4.9727,8.2058,4.2284,4.9531
5.0125,8.1246,4.2224,4.9120
5.0282,8.0137,4.2411,4.9086
4.9812,8.0758,4.2642,4.9383
4.9139,8.0007,4.2242,5.0041
4.8500,8.1133,4.2396,5.0502
4.8536,8.0322,4.2592,5.0708
4.8675,8.2258,4.2537,5.0649
4.8845,8.1827,4.2730,5.0474
4.9198,8.2394,4.3014,5.0142
4.9377,8.2621,4.3130,4.9811
4.9827,8.3578,4.3117,4.9461
4.9720,8.3299,4.3311,4.9443
4.9560,8.2432,4.3235,4.9541
4.9436,8.1793,4.3206,4.9640
4.9253,7.9430,4.3184,4.9775
4.9075,8.1014,4.3201,4.9862
4.8630,7.9903,4.3196,5.0133
4.8029,8.1692,4.3319,5.0475
4.7669,7.9168,4.3292,5.0922
4.7445,7.9686,4.3390,5.1126
4.7700,8.0043,4.3452,5.1067
4.8325,7.8383,4.3365,5.0688
4.8323,8.0910,4.3477,5.0490
4.8195,7.9846,4.3145,5.0507
4.8194,7.8422,4.3325,5.0655
4.7970,8.2409,4.3137,5.0779
4.7880,7.9581,4.2973,5.0936
4.7773,7.7562,4.3091,5.1103
4.7423,7.6662,4.3183,5.1438
4.7142,7.7132,4.2809,5.1808
4.6736,7.7271,4.2837,5.2126
4.6683,7.8230,4.3160,5.2334
4.6870,7.8761,4.3347,5.2359
