Date,    Gross domestic product,Private industries,"  Agriculture, forestry, fishing, and hunting",    Farms,"    Forestry, fishing, and related activities",  Mining,    Oil and gas extraction,"    Mining, except oil and gas",    Support activities for mining,  Utilities,  Construction,  Manufacturing,    Durable goods,      Wood products,      Nonmetallic mineral products,      Primary metals,      Fabricated metal products,      Machinery,      Computer and electronic products,"      Electrical equipment, appliances, and components","      Motor vehicles, bodies and trailers, and parts",      Other transportation equipment,      Furniture and related products,      Miscellaneous manufacturing,    Nondurable goods,      Food and beverage and tobacco products,      Textile mills and textile product mills,      Apparel and leather and allied products,      Paper products,      Printing and related support activities,      Petroleum and coal products,      Chemical products,      Plastics and rubber products,  Wholesale trade,  Retail trade,    Motor vehicle and parts dealers,    Food and beverage stores,    General merchandise stores,    Other retail,  Transportation and warehousing,    Air transportation,    Rail transportation,    Water transportation,    Truck transportation,    Transit and ground passenger transportation,    Pipeline transportation,    Other transportation and support activities,    Warehousing and storage,  Information,"    Publishing industries, except internet (includes software)",    Motion picture and sound recording industries,    Broadcasting and telecommunications,"    Data processing, internet publishing, and other information services","  Finance, insurance, real estate, rental, and leasing",    Finance and insurance,"      Federal Reserve banks, credit intermediation, and related activities","      Securities, commodity contracts, and investments",      Insurance carriers and related activities,"      Funds, trusts, and other financial vehicles",    Real estate and rental and leasing,      Real estate,        Housing,        Other real estate,      Rental and leasing services and lessors of intangible assets,  Professional and business services,"    Professional, scientific, and technical services",      Legal services,      Computer systems design and related services,"      Miscellaneous professional, scientific, and technical services",    Management of companies and enterprises,    Administrative and waste management services,      Administrative and support services,      Waste management and remediation services,"  Educational services, health care, and social assistance",    Educational services,    Health care and social assistance,      Ambulatory health care services,      Hospitals,      Nursing and residential care facilities,      Social assistance,"  Arts, entertainment, recreation, accommodation, and food services","    Arts, entertainment, and recreation","      Performing arts, spectator sports, museums, and related activities","      Amusements, gambling, and recreation industries",    Accommodation and food services,      Accommodation,      Food services and drinking places,"  Other services, except government",Government,  Federal,    General government,      National defense,      Nondefense,    Government enterprises,  State and local,    General government,    Government enterprises
1997,"12,370,299","10,332,355","113,227","88,642","25,299","170,630","102,558","62,437","15,284","248,039","816,509","1,378,996","573,535","31,215","58,899","40,842","158,512","135,583","22,108","56,469","86,196","101,589","38,085","55,748","893,416","237,445","26,338","23,122","82,198","35,749","97,757","298,049","63,482","715,708","698,017","127,053","186,003","73,858","337,380","441,133","108,611","36,932","7,879","126,337","29,329","11,161","111,120","22,029","290,411","77,812","34,353","144,185","30,889","2,465,310","883,710","394,948","185,687","281,116","5,739","1,575,131","1,441,728","1,320,203","157,386","133,974","1,290,950","736,982","256,282","49,038","503,928","246,554","316,523","281,253","35,757","978,920","161,143","819,224","351,401","282,869","115,352","74,890","560,613","140,956","70,953","68,755","420,065","123,011","295,846","452,263","2,130,473","668,399","581,340","370,237","211,058","89,043","1,461,819","1,322,674","144,779"
1998,"12,924,876","10,849,273","111,689","86,662","25,877","179,368","105,046","72,668","14,376","236,852","854,033","1,444,250","626,275","31,636","58,540","43,998","154,451","146,257","28,921","47,362","95,894","107,406","38,772","57,619","879,370","233,636","26,007","20,960","76,938","36,208","106,582","287,928","64,663","784,031","764,602","132,915","197,404","80,016","381,250","464,092","104,761","39,114","7,245","131,594","30,215","17,856","118,699","25,663","323,560","87,710","41,947","156,514","35,257","2,574,121","975,774","456,616","188,890","304,423","8,508","1,592,529","1,440,132","1,345,373","141,774","150,184","1,352,375","778,508","266,283","59,694","516,685","252,535","329,569","292,967","37,090","983,590","159,205","825,212","351,628","286,447","115,287","77,779","576,388","141,119","75,535","65,080","435,976","125,477","309,542","471,383","2,154,761","666,552","575,133","360,182","214,866","92,950","1,489,154","1,350,899","143,479"
1999,"13,543,774","11,426,924","114,392","88,186","27,128","173,182","94,653","77,243","13,908","276,417","890,053","1,531,676","675,302","31,083","59,630","47,131","155,321","138,370","36,774","52,137","102,054","115,094","40,684","59,729","910,219","235,612","27,290","19,644","81,196","36,771","102,274","307,280","70,848","809,706","791,611","140,731","195,685","83,716","395,301","468,312","102,863","40,878","5,947","138,207","33,881","20,104","113,281","24,850","363,476","111,177","50,978","169,990","29,274","2,739,314","1,064,309","542,758","202,721","301,095","9,643","1,670,173","1,502,299","1,387,419","157,246","164,628","1,417,864","823,189","274,668","68,218","539,440","253,212","347,745","308,760","39,561","1,016,538","166,568","851,270","361,549","295,602","117,763","82,779","607,897","146,437","77,279","68,463","462,388","132,686","328,743","475,048","2,181,333","662,237","570,373","352,085","218,154","93,307","1,521,387","1,373,238","154,594"
2000,"14,096,033","11,928,916","129,889","103,040","27,984","151,277","68,060","75,934","18,942","280,784","925,385","1,641,065","754,765","31,718","59,605","47,854","164,936","141,986","55,613","54,459","104,971","105,778","42,298","62,367","916,823","231,249","28,633","20,023","76,524","38,310","102,757","313,008","75,298","851,906","816,227","143,103","194,403","89,314","410,622","466,577","83,655","43,274","6,384","142,641","35,279","17,997","122,326","26,490","357,194","90,632","45,166","189,140","25,241","2,881,841","1,162,978","545,458","255,110","349,314","6,458","1,717,946","1,548,670","1,431,225","161,515","166,403","1,500,219","866,789","282,794","74,129","567,141","267,055","372,855","333,414","39,671","1,051,701","172,597","880,490","379,383","302,082","118,624","85,622","643,686","153,592","80,708","72,113","491,214","142,883","347,000","485,491","2,226,079","669,909","573,371","347,956","225,206","97,809","1,559,095","1,402,204","164,806"
2001,"14,230,726","12,041,461","127,095","97,152","31,209","175,810","80,013","73,640","28,505","233,878","909,395","1,586,107","714,350","30,637","58,405","45,501","147,136","128,508","55,103","52,070","95,656","108,650","38,168","59,127","912,231","235,293","25,382","18,067","66,792","38,686","123,941","312,118","70,607","866,243","846,502","140,583","197,044","94,059","435,781","436,716","57,329","42,057","6,101","135,835","35,018","30,590","123,214","25,150","381,303","87,979","53,481","194,981","40,417","3,028,724","1,222,032","539,378","371,525","327,008","6,530","1,805,716","1,618,261","1,481,350","177,416","183,305","1,546,506","896,323","290,942","77,589","585,453","278,726","378,775","338,367","40,692","1,079,601","177,342","903,723","392,725","308,781","119,228","87,499","623,248","145,227","81,638","63,433","479,428","130,879","348,725","438,341","2,249,409","661,187","575,035","347,153","227,658","87,795","1,592,528","1,435,604","164,108"
2002,"14,472,712","12,245,105","131,323","101,102","31,436","181,209","92,378","67,723","22,050","239,465","878,484","1,602,647","731,989","30,886","57,534","46,543","140,641","119,907","61,760","51,957","107,829","101,279","37,331","61,780","905,059","221,808","24,700","17,019","68,527","40,435","107,732","333,106","69,585","876,005","887,210","142,219","195,578","108,986","457,687","420,302","58,016","37,888","4,458","131,827","34,528","18,725","125,653","25,548","418,269","103,622","59,121","195,753","59,323","3,043,687","1,208,882","600,792","316,687","305,157","5,890","1,831,547","1,650,084","1,480,201","199,697","178,015","1,562,836","916,991","291,802","75,389","610,959","275,687","376,556","335,151","41,836","1,121,150","178,191","943,302","415,207","320,362","122,528","88,807","638,517","151,480","87,285","64,255","488,257","133,023","355,456","449,877","2,289,513","674,393","585,174","352,317","232,628","90,823","1,619,389","1,463,767","161,897"
2003,"14,877,312","12,616,710","141,451","109,727","32,916","159,545","73,554","69,502","23,950","236,504","896,733","1,702,774","792,246","31,000","59,752","45,108","147,141","119,837","80,574","56,141","118,089","96,061","36,625","63,350","938,517","231,739","20,624","14,989","67,488","40,935","143,838","334,276","72,464","924,310","933,518","144,176","194,365","122,282","488,078","436,449","62,631","41,348","4,413","134,527","35,651","19,454","127,170","27,398","433,864","113,004","56,651","202,213","61,398","3,067,965","1,190,665","580,379","283,033","327,247","5,795","1,871,114","1,698,698","1,496,862","222,723","169,932","1,613,626","931,831","303,043","84,332","601,812","285,903","402,576","359,663","43,253","1,166,889","186,927","980,585","428,300","336,035","125,388","95,069","657,159","157,281","91,791","65,670","501,012","134,941","366,506","437,722","2,317,608","687,913","600,965","362,145","238,576","88,682","1,633,445","1,473,191","167,552"
2004,"15,449,757","13,159,877","153,419","121,480","32,519","159,750","72,419","67,437","27,762","251,198","930,317","1,824,252","848,732","30,322","64,091","48,454","153,078","134,390","94,071","52,453","121,899","98,261","39,206","66,994","1,005,488","236,997","25,478","14,584","72,072","41,935","164,350","361,914","78,447","965,839","948,644","146,628","188,612","127,739","498,626","473,281","74,383","43,629","5,187","140,112","36,458","19,537","135,674","32,068","486,658","129,289","61,290","223,313","73,068","3,128,138","1,201,206","539,560","285,173","365,277","6,330","1,919,544","1,757,581","1,552,499","227,965","160,733","1,655,631","965,616","306,666","95,089","615,862","269,891","423,748","381,398","42,467","1,222,500","198,300","1,025,284","451,023","353,406","127,660","96,853","686,981","162,541","92,812","69,743","525,819","144,911","380,965","443,414","2,338,876","700,414","609,686","369,843","239,540","92,547","1,641,504","1,478,552","170,949"
2005,"15,987,957","13,667,016","159,554","127,922","31,899","161,563","70,908","68,336","33,647","239,788","934,014","1,877,712","907,222","33,176","65,571","44,339","155,919","144,751","107,612","52,779","129,099","113,005","41,272","70,676","985,508","235,755","24,218","14,254","70,123","42,530","164,073","345,225","77,749","1,009,839","979,084","147,819","182,972","135,051","524,709","496,240","78,400","44,130","6,249","143,475","35,985","17,973","145,242","36,638","521,675","139,742","54,103","254,594","70,742","3,339,348","1,310,100","582,994","330,530","388,471","7,445","2,023,549","1,861,355","1,619,608","258,075","161,722","1,731,974","1,003,023","302,409","107,367","638,487","270,157","462,043","416,497","45,605","1,244,580","194,948","1,049,664","468,914","357,110","126,759","99,703","688,943","162,402","91,255","71,069","527,986","144,828","383,303","446,069","2,362,894","705,081","617,465","375,356","241,787","89,163","1,661,185","1,489,319","182,756"
2006,"16,433,148","14,095,064","161,687","125,066","37,166","186,486","80,549","70,375","49,225","254,326","913,050","1,982,924","975,432","32,702","61,387","40,235","161,419","154,129","128,735","60,477","143,791","117,874","41,797","75,706","1,016,926","261,319","23,185","13,524","74,578","43,256","143,221","384,641","72,620","1,039,713","986,275","143,895","182,319","137,290","535,282","525,472","85,676","45,629","10,063","150,211","37,521","17,277","148,077","39,291","542,421","130,488","61,129","269,146","79,668","3,410,813","1,359,170","570,601","371,301","412,216","7,600","2,047,360","1,860,036","1,652,480","233,967","184,610","1,782,594","1,042,519","304,311","119,567","659,592","269,743","473,171","429,905","42,853","1,293,804","199,783","1,093,657","495,100","369,735","129,597","101,350","707,868","167,407","96,057","71,362","541,896","148,622","393,426","448,166","2,375,370","708,124","622,191","377,015","244,904","87,312","1,670,713","1,502,018","177,923"
