Year,Quarter,    Manufacturing,        Durable goods,            Wood products,            Nonmetallic mineral products,            Primary metals,            Fabricated metal products,            Machinery,            Computer and electronic products,"            Electrical equipment, appliances, and components","            Motor vehicles, bodies and trailers, and parts",            Other transportation equipment,            Furniture and related products,            Miscellaneous manufacturing,        Nondurable goods,            Food and beverage and tobacco products,            Textile mills and textile product mills,            Apparel and leather and allied products,            Paper products,            Printing and related support activities,            Petroleum and coal products,            Chemical products,            Plastics and rubber products
2005,Q1,1858.1,887.9,32.7,65.8,41.4,158.1,146,102.3,52,126.4,107.6,41,70,989.2,230.8,24.3,14.4,67.9,42.7,177.7,337.9,79.6
2005,Q2,1858.4,891,33,65.3,43,155.3,142.2,104.1,51.1,126.2,112.6,41,69.9,985,230.3,23.7,14.1,67.5,42.3,177.7,337.3,77.5
2005,Q3,1878.3,909.2,33.4,65.2,46.9,153.1,143.8,109.5,52.7,127.3,113.1,41.1,70.7,983.2,237.1,24.3,14.2,69.8,42.7,153,354.2,78.2
2005,Q4,1915.9,940.8,33.7,66,46,157.2,147,114.5,55.3,136.4,118.7,42,72,984.6,244.8,24.5,14.3,75.3,42.4,147.9,351.5,75.7
2006,Q1,1974.6,968.6,33,64.5,44.6,159.5,150.1,126.6,59.2,139.7,115.4,42.6,73.9,1016.3,251.6,23.8,13.9,76,43,161.3,365.2,72.7
2006,Q2,1970.1,972.2,31.6,61.5,41.9,160.8,153.5,126.5,61.6,144.2,115.1,42.5,75.8,1006.3,258.6,23.5,13.6,75.3,43.4,136.6,382.7,72.5
2006,Q3,1970.6,971.5,32.9,59.6,37.2,162.1,155.5,128.7,60.9,143.5,117.6,41.6,76.5,1007.8,264.1,23.1,13.4,73.6,43,127.3,395.9,73.3
2006,Q4,2016.3,989.4,33.3,59.9,37.2,163.3,157.4,133.2,60.3,147.7,123.4,40.6,76.5,1037.4,271,22.4,13.3,73.5,43.5,147.7,394.8,71.9
2007,Q1,2010.2,992.4,34.3,57.9,39.8,164.3,155.5,136.1,57.1,143.3,128.1,39.8,75.7,1026.1,259.3,22.8,13,67.9,44.2,143.3,403.6,73.9
2007,Q2,2049,1018,34.8,60.4,35.5,171.6,162.9,143,57.7,141,139.1,38.7,76.9,1037.6,267.7,22.7,12.5,68.3,43.9,138.4,413,76.5
2007,Q3,2082.4,1048,34.8,65.5,38.8,170.5,165.5,153.8,55.9,139.1,145.8,38.1,77.5,1037.4,273.8,22.2,12.4,73.5,44.2,133.7,410.1,75
2007,Q4,2120.3,1051.1,34.8,62.7,45.4,166.3,161.6,162.3,56.6,131.2,140.5,36.5,78.8,1076.8,268,22.2,12.3,72.2,44.7,171.7,407.1,72.1
2008,Q1,2045.3,1040.8,34.5,58.8,48.2,161.3,161.8,165.4,58.2,122.7,137.9,34.1,77.8,1005,245.9,21.6,12.5,62.8,43.9,161.9,381.5,66.4
2008,Q2,2089.3,1054,32.9,59.8,40.8,168.2,169,171.5,62.2,119.7,139.3,33.8,81,1037.8,253.6,21.7,12.8,64.6,43.5,165.7,404.5,66.2
2008,Q3,2037.5,1047.3,32.2,59.9,37.5,166.3,171.5,175.5,64,106.6,138.9,32.8,85.3,989,254.7,21.5,12.3,64.5,43.4,146.5,380.3,65.6
2008,Q4,1912.5,977.2,30.2,54,40.2,145.4,157.3,173.4,59,80.2,132.3,29.7,85.4,935,259.3,19.3,11.9,59.3,42.4,157.5,319,60
2009,Q1,1808.2,884.5,27,47.4,41.3,121.8,137.5,170,52.7,50.4,130.9,24.9,82.9,930.5,264.8,16.2,10.2,60.3,38.9,122.1,350.4,58.9
2009,Q2,1811.7,859.7,27.8,45.7,41.9,116,127.7,170.4,50.3,42.5,132.8,23.4,82.8,964.2,265.3,16,10,64.7,37.6,144.4,358,62.4
2009,Q3,1838.3,865.4,27.4,46.7,38.8,120.6,126.8,173.9,49.9,43.6,131,23.3,84.2,986.6,255.8,16.1,10.1,68.4,37.2,152.9,376.9,66.8
2009,Q4,1909.3,899.2,27.8,46.9,38.4,126,133.4,180.9,50.5,51,135.9,23.5,85.7,1024.1,260.9,16.7,10.4,69.4,37.3,175.7,384.9,68.5
2010,Q1,1931.2,928.1,28.5,47.4,38.6,127.1,136.2,184.9,51.4,71.6,132.4,23.6,87.1,1013.5,258.5,16.4,10.7,67.5,37.5,153.1,398.5,69.2
2010,Q2,1939,977.4,27.9,48.5,37.6,135.6,148.4,189.7,53.2,92.2,134.4,24.5,88.4,965.3,247.1,16.8,11.1,62.2,38.4,132.4,385.4,68.8
2010,Q3,1963.3,1015.3,30.4,48.7,43.3,135.4,152.5,194.5,52.4,107.6,140.2,24,88.2,948.9,250.2,16.4,11.5,58.4,38.8,117.1,388,67.5
2010,Q4,1969.4,1040,31.5,48,43.7,137.6,157.5,203.6,53.2,116.1,139.6,23.9,86.5,928.9,244.8,15.9,11.3,57.4,39,106.1,389.6,67.6
2011,Q1,1958,1044.9,31.4,48.8,41.2,140.9,165.5,197.5,51.8,123.1,140.7,24.3,85.5,912.6,244.5,14.9,11.2,58.5,38.9,106.1,374.4,66.6
2011,Q2,1973.3,1055.4,32.9,50.1,43,143.2,170.5,199.1,50.9,119.8,141.8,24.6,85.3,917.6,250.6,14.5,10.9,59.2,38.7,105.7,374.6,67.9
2011,Q3,1955.4,1060.9,33.7,50.8,45.9,142.5,171.6,199.7,50.5,119.3,142.5,24.5,84.9,894.5,238.7,14.5,10.6,58.8,38.7,108.7,357.9,66.4
2011,Q4,1971,1083.5,33.2,52.2,51.2,142.3,175.1,201.7,49,129.5,144.7,23.8,84.8,887.7,236.9,14.6,10.7,58.9,38.5,106.5,355.5,66.9
