Year,Quarter,    Manufacturing,        Durable goods,        Nondurable goods
2005,Q1,1858.1,887.9,989.2
2005,Q2,1858.4,891,985
2005,Q3,1878.3,909.2,983.2
2005,Q4,1915.9,940.8,984.6
2006,Q1,1974.6,968.6,1016.3
2006,Q2,1970.1,972.2,1006.3
2006,Q3,1970.6,971.5,1007.8
2006,Q4,2016.3,989.4,1037.4
2007,Q1,2010.2,992.4,1026.1
2007,Q2,2049,1018,1037.6
2007,Q3,2082.4,1048,1037.4
2007,Q4,2120.3,1051.1,1076.8
2008,Q1,2045.3,1040.8,1005
2008,Q2,2089.3,1054,1037.8
2008,Q3,2037.5,1047.3,989
2008,Q4,1912.5,977.2,935
2009,Q1,1808.2,884.5,930.5
2009,Q2,1811.7,859.7,964.2
2009,Q3,1838.3,865.4,986.6
2009,Q4,1909.3,899.2,1024.1
2010,Q1,1931.2,928.1,1013.5
2010,Q2,1939,977.4,965.3
2010,Q3,1963.3,1015.3,948.9
2010,Q4,1969.4,1040,928.9
2011,Q1,1958,1044.9,912.6
2011,Q2,1973.3,1055.4,917.6
2011,Q3,1955.4,1060.9,894.5
2011,Q4,1971,1083.5,887.7
2012,Q1,1989.9,1090.9,899.1
2012,Q2,1981.5,1096.9,884.6
2012,Q3,1949.2,1090.5,859.1
2012,Q4,1937.8,1096.6,842.2
2013,Q1,2010.9,1119,892.2
2013,Q2,2019.7,1113.1,906.7
2013,Q3,2043.3,1123,920.4
2013,Q4,2046.8,1126.2,920.7
2014,Q1,2011.8,1107.6,904.4
2014,Q2,2052.1,1123.7,928.6
2014,Q3,2069.3,1146.8,922.6
2014,Q4,2063.7,1142.6,921.3
2015,Q1,2078.3,1144.5,933.9
2015,Q2,2067.3,1139.9,927.5
2015,Q3,2068.6,1142,926.8
2015,Q4,2045,1133.1,912.1
2016,Q1,2049.9,1135.1,915
2016,Q2,2045.8,1128.4,917.6
2016,Q3,2058.8,1138.3,920.7
2016,Q4,2042.7,1139.8,902.7
2017,Q1,2062.3,1152.3,909.8
2017,Q2,2099.5,1166.1,933.4
2017,Q3,2111.6,1183.3,928.3
2017,Q4,2165.5,1211.3,954.2
2018,Q1,2189.1,1221.2,967.9
2018,Q2,2201.8,1221.3,980.2
2018,Q3,2216.3,1226.2,989.8
2018,Q4,2244.9,1241.8,1002.9
2019,Q1,2207.1,1240.7,966.6
2019,Q2,2221.2,1244.1,977.2
2019,Q3,2240,1243.1,996.8
2019,Q4,2231,1239.8,991
2020,Q1,2167.5,1210.7,956.3
2020,Q2,1952.7,1051.7,902.2
2020,Q3,2176.6,1203.5,973.2
2020,Q4,2216.3,1226.1,990.8
2021,Q1,2247.8,1250.6,998.4
2021,Q2,2275.1,1262.7,1013.8
2021,Q3,2276,1249.4,1027
2021,Q4,2358.9,1291.4,1067.3
2022,Q1,2327.8,1294.2,1035.3
2022,Q2,2301.1,1301.4,1004.6
2022,Q3,2302.4,1288.4,1016.6
2022,Q4,2312.4,1289.8,1024.7
2023,Q1,2255.5,1268.2,990.4
2023,Q2,2294.4,1281.8,1014.4
2023,Q3,2345,1285.3,1059.4
2023,Q4,2376.8,1294,1081.9
2024,Q1,2337.3,1259,1076.9
2024,Q2,2383.8,1277,1105.2
