Year,Quarter,    Manufacturing,        Durable goods,        Nondurable goods
2005,Q1,88.075,75.354,106.201
2005,Q2,88.089,75.618,105.752
2005,Q3,89.033,77.166,105.559
2005,Q4,90.815,79.847,105.703
2006,Q1,93.596,82.206,109.105
2006,Q2,93.38,82.509,108.032
2006,Q3,93.408,82.455,108.198
2006,Q4,95.574,83.97,111.372
2007,Q1,95.282,84.226,110.161
2007,Q2,97.122,86.394,111.399
2007,Q3,98.704,88.942,111.377
2007,Q4,100.502,89.205,115.606
2008,Q1,96.946,88.333,107.893
2008,Q2,99.034,89.457,111.423
2008,Q3,96.575,88.885,106.181
2008,Q4,90.652,82.931,100.383
2009,Q1,85.709,75.068,99.903
2009,Q2,85.873,72.964,103.512
2009,Q3,87.136,73.449,105.925
2009,Q4,90.5,76.316,109.945
2010,Q1,91.538,78.766,108.812
2010,Q2,91.91,82.952,103.63
2010,Q3,93.061,86.167,101.879
2010,Q4,93.351,88.268,99.725
2011,Q1,92.81,88.677,97.975
2011,Q2,93.534,89.573,98.509
2011,Q3,92.686,90.039,96.031
2011,Q4,93.426,91.96,95.307
2012,Q1,94.32,92.582,96.523
2012,Q2,93.921,93.096,94.973
2012,Q3,92.391,92.55,92.233
2012,Q4,91.849,93.069,90.421
2013,Q1,95.316,94.967,95.785
2013,Q2,95.734,94.473,97.338
2013,Q3,96.851,95.309,98.817
2013,Q4,97.016,95.577,98.85
2014,Q1,95.36,94.004,97.093
2014,Q2,97.271,95.371,99.689
2014,Q3,98.082,97.332,99.051
2014,Q4,97.82,96.972,98.91
2015,Q1,98.509,97.137,100.26
2015,Q2,97.988,96.74,99.581
2015,Q3,98.051,96.919,99.499
2015,Q4,96.934,96.169,97.923
2016,Q1,97.166,96.334,98.238
2016,Q2,96.971,95.771,98.515
2016,Q3,97.588,96.608,98.843
2016,Q4,96.825,96.734,96.919
2017,Q1,97.753,97.796,97.681
2017,Q2,99.515,98.971,100.207
2017,Q3,100.09,100.428,99.666
2017,Q4,102.642,102.805,102.446
2018,Q1,103.765,103.645,103.918
2018,Q2,104.363,103.65,105.239
2018,Q3,105.053,104.071,106.265
2018,Q4,106.407,105.391,107.672
2019,Q1,104.616,105.3,103.779
2019,Q2,105.283,105.586,104.909
2019,Q3,106.177,105.503,107.016
2019,Q4,105.75,105.22,106.389
2020,Q1,102.739,102.754,102.663
2020,Q2,92.558,89.256,96.856
2020,Q3,103.168,102.138,104.484
2020,Q4,105.052,104.059,106.374
2021,Q1,106.544,106.137,107.19
2021,Q2,107.84,107.168,108.846
2021,Q3,107.881,106.035,110.262
2021,Q4,111.81,109.599,114.585
2022,Q1,110.338,109.84,111.146
2022,Q2,109.071,110.451,107.852
2022,Q3,109.133,109.349,109.147
2022,Q4,109.608,109.469,110.009
2023,Q1,106.909,107.636,106.324
2023,Q2,108.752,108.789,108.908
2023,Q3,111.154,109.086,113.742
2023,Q4,112.66,109.823,116.149
2024,Q1,110.786,106.849,115.612
2024,Q2,112.992,108.376,118.651
