DATE,STLFSI4
1/1/1994,-0.289283333
4/1/1994,-0.139715385
7/1/1994,-0.227428571
10/1/1994,-0.202261538
1/1/1995,-0.284876923
4/1/1995,-0.254430769
7/1/1995,-0.285069231
10/1/1995,-0.264184615
1/1/1996,-0.282046154
4/1/1996,-0.175507692
7/1/1996,-0.166353846
10/1/1996,-0.169961538
1/1/1997,-0.311876923
4/1/1997,-0.218769231
7/1/1997,-0.264984615
10/1/1997,-0.053615385
1/1/1998,-0.281807692
4/1/1998,-0.216723077
7/1/1998,0.247130769
10/1/1998,0.645130769
1/1/1999,0.187146154
4/1/1999,0.065892308
7/1/1999,0.215038462
10/1/1999,0.199678571
1/1/2000,0.025669231
4/1/2000,0.393723077
7/1/2000,0.076953846
10/1/2000,0.465169231
1/1/2001,0.517438462
4/1/2001,0.490876923
7/1/2001,0.595938462
10/1/2001,0.726338462
1/1/2002,0.3918
4/1/2002,0.416692308
7/1/2002,1.063676923
10/1/2002,0.910292308
1/1/2003,0.705307692
4/1/2003,0.323084615
7/1/2003,0.138730769
10/1/2003,-0.238823077
1/1/2004,-0.432430769
4/1/2004,-0.543584615
7/1/2004,-0.557623077
10/1/2004,-0.740914286
1/1/2005,-0.849658333
4/1/2005,-0.709576923
7/1/2005,-0.8433
10/1/2005,-0.763638462
1/1/2006,-1.008069231
4/1/2006,-0.944446154
7/1/2006,-0.909276923
10/1/2006,-0.952015385
1/1/2007,-0.992484615
4/1/2007,-0.896592308
7/1/2007,0.424661538
10/1/2007,1.220430769
1/1/2008,1.529207692
4/1/2008,1.3692
7/1/2008,2.042353846
10/1/2008,7.080892308
1/1/2009,3.891646154
4/1/2009,1.917676923
7/1/2009,0.631546154
10/1/2009,0.104946154
1/1/2010,-0.269869231
4/1/2010,0.249461538
7/1/2010,0.304623077
10/1/2010,-0.16115
1/1/2011,-0.299758333
4/1/2011,-0.335576923
7/1/2011,0.402778571
10/1/2011,0.746661538
1/1/2012,0.155061538
4/1/2012,0.160584615
7/1/2012,-0.167746154
10/1/2012,-0.466246154
1/1/2013,-0.653430769
4/1/2013,-0.467092308
7/1/2013,-0.365630769
10/1/2013,-0.554284615
1/1/2014,-0.599776923
4/1/2014,-0.732284615
7/1/2014,-0.6344
10/1/2014,-0.312446154
1/1/2015,-0.143215385
4/1/2015,-0.3137
7/1/2015,0.055707692
10/1/2015,0.165538462
1/1/2016,0.525092308
4/1/2016,0.158946154
7/1/2016,0.238142857
10/1/2016,-0.005030769
1/1/2017,-0.263169231
4/1/2017,-0.544830769
7/1/2017,-0.602753846
10/1/2017,-0.7164
1/1/2018,-0.271123077
4/1/2018,-0.124723077
7/1/2018,-0.576123077
10/1/2018,-0.105061538
1/1/2019,-0.324915385
4/1/2019,-0.487407692
7/1/2019,-0.1976
10/1/2019,-0.117430769
1/1/2020,0.9898
4/1/2020,1.114823077
7/1/2020,-0.055815385
10/1/2020,-0.231169231
1/1/2021,-0.539492308
4/1/2021,-0.790792308
7/1/2021,-0.728638462
10/1/2021,-0.665357143
1/1/2022,-0.339641667
4/1/2022,-0.023353846
7/1/2022,-0.1106
10/1/2022,-0.113146154
1/1/2023,-0.229146154
4/1/2023,-0.488246154
7/1/2023,-0.698361538
10/1/2023,-0.525523077
1/1/2024,-0.769369231
4/1/2024,-0.829661538
7/1/2024,-0.528061538
