Series ID,CWURS49ESA0,CWURS49ESA0
"Jan
2018",271.120,
"Feb
2018",,
"Mar
2018",272.813,
"Apr
2018",,
"May
2018",273.534,
"Jun
2018",,
"Jul
2018",279.145,
"Aug
2018",,
"Sep
2018",280.827,
"Oct
2018",,
"Nov
2018",278.473,3.8
"Dec
2018",,
"Jan
2019",277.832,2.5
"Feb
2019",,
"Mar
2019",279.093,2.3
"Apr
2019",,
"May
2019",281.727,3.0
"Jun
2019",,
"Jul
2019",281.391,0.8
"Aug
2019",,
"Sep
2019",284.107,1.2
"Oct
2019",,
"Nov
2019",284.856,2.3
"Dec
2019",,
"Jan
2020",284.272,2.3
"Feb
2020",,
"Mar
2020",285.543,2.3
"Apr
2020",,
"May
2020",284.607,1.0
"Jun
2020",,
"Jul
2020",288.956,2.7
"Aug
2020",,
"Sep
2020",287.515,1.2
"Oct
2020",,
"Nov
2020",290.228,1.9
"Dec
2020",,
"Jan
2021",291.490,2.5
"Feb
2021",,
"Mar
2021",298.292,4.5
"Apr
2021",,
"May
2021",300.413,5.6
"Jun
2021",,
"Jul
2021",307.737,6.5
"Aug
2021",,
"Sep
2021",308.351,7.2
"Oct
2021",,
"Nov
2021",311.014,7.2
"Dec
2021",,
"Jan
2022",317.043,8.8
"Feb
2022",,
"Mar
2022",324.430,8.8
"Apr
2022",,
"May
2022",327.997,9.2
"Jun
2022",,
"Jul
2022",331.914,7.9
"Aug
2022",,
"Sep
2022",334.068,8.3
"Oct
2022",,
"Nov
2022",331.524,6.6
"Dec
2022",,
"Jan
2023",336.315,6.1
"Feb
2023",,
"Mar
2023",339.498,4.6
"Apr
2023",,
"May
2023",342.686,4.5
"Jun
2023",,
"Jul
2023",344.314,3.7
"Aug
2023",,
"Sep
2023",349.402,4.6
"Oct
2023",,
"Nov
2023",347.878,4.9
"Dec
2023",,
"Jan
2024",348.486,3.6
"Feb
2024",,
"Mar
2024",351.778,3.6
"Apr
2024",,
"May
2024",354.216,3.4
"Jun
2024",,
"Jul
2024",355.729,3.3
"Aug
2024",,
"Sep
2024",357.105,2.2
"Oct
2024",,
"Nov
2024",356.379,2.4
"Dec
2024",,
"Jan
2025",361.604,3.8
"Feb
2025",,
"Mar
2025",364.528,3.6
,,
