Series Id,Year,Period,Value
ENUUS000105481111,2001,M01,560673
ENUUS000105481111,2001,M02,565132
ENUUS000105481111,2001,M03,564163
ENUUS000105481111,2001,M04,562196
ENUUS000105481111,2001,M05,564541
ENUUS000105481111,2001,M06,565847
ENUUS000105481111,2001,M07,568549
ENUUS000105481111,2001,M08,568958
ENUUS000105481111,2001,M09,562830
ENUUS000105481111,2001,M10,544464
ENUUS000105481111,2001,M11,514869
ENUUS000105481111,2001,M12,502043
ENUUS000105481111,2001,M13,553689
ENUUS000105481111,2002,M01,497689
ENUUS000105481111,2002,M02,497509
ENUUS000105481111,2002,M03,496596
ENUUS000105481111,2002,M04,500465
ENUUS000105481111,2002,M05,505469
ENUUS000105481111,2002,M06,512309
ENUUS000105481111,2002,M07,513712
ENUUS000105481111,2002,M08,513018
ENUUS000105481111,2002,M09,510157
ENUUS000105481111,2002,M10,508942
ENUUS000105481111,2002,M11,505624
ENUUS000105481111,2002,M12,502510
ENUUS000105481111,2002,M13,505333
ENUUS000105481111,2003,M01,499355
ENUUS000105481111,2003,M02,493577
ENUUS000105481111,2003,M03,488893
ENUUS000105481111,2003,M04,479089
ENUUS000105481111,2003,M05,470918
ENUUS000105481111,2003,M06,468020
ENUUS000105481111,2003,M07,468276
ENUUS000105481111,2003,M08,464931
ENUUS000105481111,2003,M09,464833
ENUUS000105481111,2003,M10,456023
ENUUS000105481111,2003,M11,456035
ENUUS000105481111,2003,M12,457018
ENUUS000105481111,2003,M13,472247
ENUUS000105481111,2004,M01,456362
ENUUS000105481111,2004,M02,456395
ENUUS000105481111,2004,M03,457473
ENUUS000105481111,2004,M04,457466
ENUUS000105481111,2004,M05,458593
ENUUS000105481111,2004,M06,459132
ENUUS000105481111,2004,M07,461627
ENUUS000105481111,2004,M08,460765
ENUUS000105481111,2004,M09,459055
ENUUS000105481111,2004,M10,456076
ENUUS000105481111,2004,M11,455291
ENUUS000105481111,2004,M12,455937
ENUUS000105481111,2004,M13,457848
ENUUS000105481111,2005,M01,451645
ENUUS000105481111,2005,M02,447846
ENUUS000105481111,2005,M03,446235
ENUUS000105481111,2005,M04,444001
ENUUS000105481111,2005,M05,444733
ENUUS000105481111,2005,M06,445147
ENUUS000105481111,2005,M07,446363
ENUUS000105481111,2005,M08,443615
ENUUS000105481111,2005,M09,437748
ENUUS000105481111,2005,M10,433174
ENUUS000105481111,2005,M11,432936
ENUUS000105481111,2005,M12,430456
ENUUS000105481111,2005,M13,441992
ENUUS000105481111,2006,M01,428737
ENUUS000105481111,2006,M02,425354
ENUUS000105481111,2006,M03,425616
ENUUS000105481111,2006,M04,421876
ENUUS000105481111,2006,M05,422868
ENUUS000105481111,2006,M06,423529
ENUUS000105481111,2006,M07,425441
ENUUS000105481111,2006,M08,425798
ENUUS000105481111,2006,M09,426780
ENUUS000105481111,2006,M10,421663
ENUUS000105481111,2006,M11,423933
ENUUS000105481111,2006,M12,424951
ENUUS000105481111,2006,M13,424712
ENUUS000105481111,2007,M01,424774
ENUUS000105481111,2007,M02,429388
ENUUS000105481111,2007,M03,425752
ENUUS000105481111,2007,M04,427293
ENUUS000105481111,2007,M05,432229
ENUUS000105481111,2007,M06,434162
ENUUS000105481111,2007,M07,433939
ENUUS000105481111,2007,M08,434401
ENUUS000105481111,2007,M09,435622
ENUUS000105481111,2007,M10,436003
ENUUS000105481111,2007,M11,436668
ENUUS000105481111,2007,M12,439154
ENUUS000105481111,2007,M13,432449
ENUUS000105481111,2008,M01,437938
ENUUS000105481111,2008,M02,440216
ENUUS000105481111,2008,M03,442461
ENUUS000105481111,2008,M04,439261
ENUUS000105481111,2008,M05,437398
ENUUS000105481111,2008,M06,437866
ENUUS000105481111,2008,M07,433667
ENUUS000105481111,2008,M08,430429
ENUUS000105481111,2008,M09,426869
ENUUS000105481111,2008,M10,419722
ENUUS000105481111,2008,M11,417598
ENUUS000105481111,2008,M12,417251
ENUUS000105481111,2008,M13,431723
ENUUS000105481111,2009,M01,411058
ENUUS000105481111,2009,M02,411110
ENUUS000105481111,2009,M03,410699
ENUUS000105481111,2009,M04,410142
ENUUS000105481111,2009,M05,410204
ENUUS000105481111,2009,M06,408700
ENUUS000105481111,2009,M07,407658
ENUUS000105481111,2009,M08,406688
ENUUS000105481111,2009,M09,405081
ENUUS000105481111,2009,M10,401816
ENUUS000105481111,2009,M11,401198
ENUUS000105481111,2009,M12,400849
ENUUS000105481111,2009,M13,407100
ENUUS000105481111,2010,M01,398729
ENUUS000105481111,2010,M02,399477
ENUUS000105481111,2010,M03,397533
ENUUS000105481111,2010,M04,397450
ENUUS000105481111,2010,M05,397585
ENUUS000105481111,2010,M06,398344
ENUUS000105481111,2010,M07,394097
ENUUS000105481111,2010,M08,393920
ENUUS000105481111,2010,M09,392568
ENUUS000105481111,2010,M10,395912
ENUUS000105481111,2010,M11,396741
ENUUS000105481111,2010,M12,398496
ENUUS000105481111,2010,M13,396738
ENUUS000105481111,2011,M01,397886
ENUUS000105481111,2011,M02,399429
ENUUS000105481111,2011,M03,400500
ENUUS000105481111,2011,M04,401680
ENUUS000105481111,2011,M05,402625
ENUUS000105481111,2011,M06,404722
ENUUS000105481111,2011,M07,405537
ENUUS000105481111,2011,M08,404705
ENUUS000105481111,2011,M09,402168
ENUUS000105481111,2011,M10,404327
ENUUS000105481111,2011,M11,405007
ENUUS000105481111,2011,M12,405186
ENUUS000105481111,2011,M13,402814
ENUUS000105481111,2012,M01,405312
ENUUS000105481111,2012,M02,406651
ENUUS000105481111,2012,M03,405329
ENUUS000105481111,2012,M04,406926
ENUUS000105481111,2012,M05,407966
ENUUS000105481111,2012,M06,408337
ENUUS000105481111,2012,M07,407597
ENUUS000105481111,2012,M08,407596
ENUUS000105481111,2012,M09,404629
ENUUS000105481111,2012,M10,406478
ENUUS000105481111,2012,M11,406180
ENUUS000105481111,2012,M12,403691
ENUUS000105481111,2012,M13,406391
ENUUS000105481111,2013,M01,399264
ENUUS000105481111,2013,M02,398414
ENUUS000105481111,2013,M03,396412
ENUUS000105481111,2013,M04,401114
ENUUS000105481111,2013,M05,399939
ENUUS000105481111,2013,M06,397750
ENUUS000105481111,2013,M07,397849
ENUUS000105481111,2013,M08,396217
ENUUS000105481111,2013,M09,393793
ENUUS000105481111,2013,M10,397884
