Series ID,CEU3133110001,CEU3133120001,CEU3133150001,Steel Employment EPI def
"Jan
1990",187.8,70.4,212.3,470.50
"Feb
1990",187.2,70.5,215.5,473.20
"Mar
1990",187.0,70.6,216.4,474.00
"Apr
1990",186.7,70.8,215.6,473.10
"May
1990",186.6,70.9,215.7,473.20
"Jun
1990",187.0,70.8,215.5,473.30
"Jul
1990",187.6,70.8,215.3,473.70
"Aug
1990",186.5,70.7,212.7,469.90
"Sep
1990",186.0,70.4,212.6,469.00
"Oct
1990",186.4,70.2,212.9,469.50
"Nov
1990",186.5,70.1,211.0,467.60
"Dec
1990",185.4,69.6,209.8,464.80
"Jan
1991",187.3,68.9,209.0,465.20
"Feb
1991",180.7,68.0,203.0,451.70
"Mar
1991",180.5,67.5,205.5,453.50
"Apr
1991",180.9,66.7,203.7,451.30
"May
1991",179.1,66.7,204.4,450.20
"Jun
1991",177.7,66.6,203.0,447.30
"Jul
1991",177.3,66.5,203.4,447.20
"Aug
1991",176.6,66.5,202.9,446.00
"Sep
1991",176.2,66.4,201.0,443.60
"Oct
1991",173.4,66.3,200.5,440.20
"Nov
1991",172.0,66.1,198.6,436.70
"Dec
1991",172.3,65.9,197.7,435.90
"Jan
1992",172.4,65.8,196.5,434.70
"Feb
1992",172.0,65.8,196.4,434.20
"Mar
1992",171.3,65.8,195.6,432.70
"Apr
1992",170.2,65.7,196.4,432.30
"May
1992",169.2,65.8,195.4,430.40
"Jun
1992",168.8,65.8,195.6,430.20
"Jul
1992",167.9,65.2,197.7,430.80
"Aug
1992",166.9,65.9,196.6,429.40
"Sep
1992",165.5,66.0,195.7,427.20
"Oct
1992",163.8,65.3,195.8,424.90
"Nov
1992",162.2,65.1,196.0,423.30
"Dec
1992",160.7,64.9,196.2,421.80
"Jan
1993",160.5,64.9,196.3,421.70
"Feb
1993",159.7,65.6,195.8,421.10
"Mar
1993",159.2,65.7,196.1,421.00
"Apr
1993",158.3,65.9,195.2,419.40
"May
1993",157.9,66.0,195.6,419.50
"Jun
1993",156.9,65.9,195.1,417.90
"Jul
1993",156.5,66.4,194.7,417.60
"Aug
1993",156.4,66.5,195.0,417.90
"Sep
1993",156.1,66.8,195.4,418.30
"Oct
1993",156.1,66.6,195.5,418.20
"Nov
1993",156.8,67.1,196.3,420.20
"Dec
1993",156.6,67.4,197.1,421.10
"Jan
1994",157.5,67.5,198.3,423.30
"Feb
1994",156.3,67.7,200.7,424.70
"Mar
1994",155.0,67.8,201.6,424.40
"Apr
1994",153.5,67.4,202.6,423.50
"May
1994",153.0,67.5,204.0,424.50
"Jun
1994",154.0,68.0,206.0,428.00
"Jul
1994",154.4,68.7,206.4,429.50
"Aug
1994",154.0,67.8,207.9,429.70
"Sep
1994",154.8,67.8,211.1,433.70
"Oct
1994",155.0,68.0,212.4,435.40
"Nov
1994",154.7,68.3,213.4,436.40
"Dec
1994",155.3,68.7,214.4,438.40
"Jan
1995",154.8,69.0,215.3,439.10
"Feb
1995",154.6,69.1,215.3,439.00
"Mar
1995",154.5,69.5,216.1,440.10
"Apr
1995",154.5,69.8,217.3,441.60
"May
1995",154.7,69.9,218.0,442.60
"Jun
1995",155.1,69.9,215.8,440.80
"Jul
1995",153.9,70.1,215.4,439.40
"Aug
1995",154.6,70.2,215.8,440.60
"Sep
1995",153.1,70.5,216.2,439.80
