Value Added by Industry,,,,,,,,,,
Value Added by Industry,,,,,,,,,,
"Last Revised on: June 27, 2024",,,,,,,,,,
Line,,2022,2022,2022,2022,2023,2023,2023,2023,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1
1,        Gross domestic product,25029.1,25544.3,25994.6,26408.4,26813.6,27063,27610.1,27957,28269.2
2,Private industries,22141.8,22630.1,23041.1,23417,23772.8,23988.8,24477.4,24774.9,25026.7
3,"    Agriculture, forestry, fishing, and hunting",251.8,273.2,276,282.2,271.1,256.4,247.4,232.1,226.8
4,        Farms,204.8,227.4,228.4,233.5,222.3,207.6,199.3,184.5,182.5
5,"        Forestry, fishing, and related activities",47,45.9,47.6,48.7,48.8,48.7,48.1,47.5,44.3
6,    Mining,419.5,504,484.4,421.9,382.5,357.7,389.4,393.8,377.5
7,        Oil and gas extraction,292.9,372.4,348.3,284.6,236.7,213,247.8,249.3,235
8,"        Mining, except oil and gas",75.9,78,79,80.1,84.8,81.8,82.2,84.1,84.6
9,        Support activities for mining,50.8,53.6,57.1,57.1,61,62.9,59.4,60.4,57.9
10,    Utilities,392.3,451.3,462,447.2,442.2,437.7,437.6,419.9,429.1
11,    Construction,1062.8,1066.2,1093.1,1138.4,1161.2,1180.7,1219.7,1253.5,1278.7
12,    Manufacturing,2564.8,2635.3,2658.5,2740.1,2729,2750.8,2853.1,2885.9,2865.7
13,        Durable goods,1356.7,1385.1,1422.2,1463.5,1470.9,1513.7,1547.1,1575.6,1564.8
14,            Wood products,62,62.9,62.2,61.3,58.6,57,61.6,62.8,59.9
15,            Nonmetallic mineral products,71.7,72.3,73,75.2,76.1,76.9,78.1,78.7,77.3
16,            Primary metals,91.5,92.2,91.9,91.5,88.7,90.9,93.7,93.3,89.5
17,            Fabricated metal products,158.9,160.6,166,174,177.3,175.7,184.2,190.5,186.2
18,            Machinery,171.5,176.2,184.7,196,195,193.6,200.5,207.3,207.4
19,            Computer and electronic products,299.9,302.4,301.6,303.4,303.2,309.6,314.4,319.6,320.1
20,"            Electrical equipment, appliances, and components",60.8,62.5,64,65.5,67.6,69.8,70.2,71.7,71.5
21,"            Motor vehicles, bodies and trailers, and parts",142.4,154.1,163.5,165.7,173.7,188.1,188.3,187.2,193.8
22,            Other transportation equipment,162,164.6,175.2,190.1,188.9,206.7,206.6,212.4,206.4
23,            Furniture and related products,30.8,31,31.5,31.7,31.2,30.9,30.9,30.8,30.8
24,            Miscellaneous manufacturing,105.3,106.3,108.7,109.1,110.7,114.4,118.7,121.3,122.1
25,        Nondurable goods,1208.2,1250.2,1236.3,1276.7,1258.1,1237.1,1306,1310.3,1300.9
26,            Food and beverage and tobacco products,308.4,303.2,312.5,323.3,338.3,331.7,341.6,349.5,348.8
27,            Textile mills and textile product mills,17.2,17.4,17.6,17.5,17.4,17,17.5,17.2,17.2
28,            Apparel and leather and allied products,9.9,10.3,10.5,10.8,11,10.7,10.5,10.6,10.4
29,            Paper products,68.6,70.1,67.8,70.1,71.7,71.2,70.1,68.6,65.3
30,            Printing and related support activities,40.7,41.5,42.9,43.9,44.1,44.5,44.1,43.9,45
31,            Petroleum and coal products,182.4,222.7,199.1,195.6,181.7,169.8,210.1,191.3,183.2
32,            Chemical products,492,495.6,495,522.9,502.8,501.4,515.1,533.5,536.6
33,            Plastics and rubber products,89,89.4,90.8,92.6,91.1,90.7,97.1,95.7,94.5
34,    Wholesale trade,1519.3,1537.9,1554.4,1575.7,1592.9,1596.6,1624.4,1640.7,1646.9
35,    Retail trade,1577.4,1600.9,1629.6,1676.2,1704.5,1715.1,1759.2,1775.1,1772.4
36,        Motor vehicle and parts dealers,346.4,354.2,342.7,351.8,357.7,363.5,372.2,375.4,372.2
