Series Id,Year,Period,Value
CEU3133360008,1990,M01,13.05
CEU3133360008,1990,M02,13.09
CEU3133360008,1990,M03,13.15
CEU3133360008,1990,M04,13.01
CEU3133360008,1990,M05,13.2
CEU3133360008,1990,M06,13.22
CEU3133360008,1990,M07,13.23
CEU3133360008,1990,M08,13.33
CEU3133360008,1990,M09,13.46
CEU3133360008,1990,M10,13.5
CEU3133360008,1990,M11,13.64
CEU3133360008,1990,M12,13.89
CEU3133360008,1991,M01,13.74
CEU3133360008,1991,M02,13.69
CEU3133360008,1991,M03,13.8
CEU3133360008,1991,M04,13.88
CEU3133360008,1991,M05,13.93
CEU3133360008,1991,M06,14.01
CEU3133360008,1991,M07,13.86
CEU3133360008,1991,M08,14.14
CEU3133360008,1991,M09,14.25
CEU3133360008,1991,M10,14.35
CEU3133360008,1991,M11,14.47
CEU3133360008,1991,M12,14.45
CEU3133360008,1992,M01,14.19
CEU3133360008,1992,M02,14.16
CEU3133360008,1992,M03,14.24
CEU3133360008,1992,M04,14.24
CEU3133360008,1992,M05,14.32
CEU3133360008,1992,M06,14.38
CEU3133360008,1992,M07,14.31
CEU3133360008,1992,M08,14.52
CEU3133360008,1992,M09,14.56
CEU3133360008,1992,M10,14.65
CEU3133360008,1992,M11,14.73
CEU3133360008,1992,M12,14.67
CEU3133360008,1993,M01,14.56
CEU3133360008,1993,M02,14.62
CEU3133360008,1993,M03,14.54
CEU3133360008,1993,M04,14.78
CEU3133360008,1993,M05,14.76
CEU3133360008,1993,M06,14.85
CEU3133360008,1993,M07,14.87
CEU3133360008,1993,M08,14.84
CEU3133360008,1993,M09,15.02
CEU3133360008,1993,M10,15.05
CEU3133360008,1993,M11,15.16
CEU3133360008,1993,M12,15.43
CEU3133360008,1994,M01,15.14
CEU3133360008,1994,M02,15.17
CEU3133360008,1994,M03,15.25
CEU3133360008,1994,M04,15.18
CEU3133360008,1994,M05,15.14
CEU3133360008,1994,M06,15.02
CEU3133360008,1994,M07,14.91
CEU3133360008,1994,M08,15.03
CEU3133360008,1994,M09,15.08
CEU3133360008,1994,M10,14.93
CEU3133360008,1994,M11,15.11
CEU3133360008,1994,M12,14.97
CEU3133360008,1995,M01,14.73
CEU3133360008,1995,M02,14.59
CEU3133360008,1995,M03,14.65
CEU3133360008,1995,M04,14.47
CEU3133360008,1995,M05,14.77
CEU3133360008,1995,M06,14.74
CEU3133360008,1995,M07,14.93
CEU3133360008,1995,M08,14.97
CEU3133360008,1995,M09,15.08
CEU3133360008,1995,M10,14.98
CEU3133360008,1995,M11,15.14
CEU3133360008,1995,M12,15.31
CEU3133360008,1996,M01,15.09
CEU3133360008,1996,M02,14.87
CEU3133360008,1996,M03,14.8
CEU3133360008,1996,M04,14.98
CEU3133360008,1996,M05,15.09
CEU3133360008,1996,M06,15.25
CEU3133360008,1996,M07,15.16
CEU3133360008,1996,M08,15.42
CEU3133360008,1996,M09,15.57
CEU3133360008,1996,M10,15.31
CEU3133360008,1996,M11,15.38
CEU3133360008,1996,M12,15.68
CEU3133360008,1997,M01,15.5
CEU3133360008,1997,M02,15.34
CEU3133360008,1997,M03,15.53
CEU3133360008,1997,M04,15.6
CEU3133360008,1997,M05,15.67
CEU3133360008,1997,M06,15.62
CEU3133360008,1997,M07,15.84
CEU3133360008,1997,M08,15.4
CEU3133360008,1997,M09,15.58
CEU3133360008,1997,M10,15.55
CEU3133360008,1997,M11,15.73
CEU3133360008,1997,M12,15.92
CEU3133360008,1998,M01,15.72
CEU3133360008,1998,M02,15.58
CEU3133360008,1998,M03,15.63
CEU3133360008,1998,M04,15.6
CEU3133360008,1998,M05,15.95
CEU3133360008,1998,M06,15.94
CEU3133360008,1998,M07,16.19
CEU3133360008,1998,M08,15.93
CEU3133360008,1998,M09,16.15
CEU3133360008,1998,M10,16.24
CEU3133360008,1998,M11,16.33
CEU3133360008,1998,M12,16.62
CEU3133360008,1999,M01,16.47
CEU3133360008,1999,M02,16.54
CEU3133360008,1999,M03,16.76
CEU3133360008,1999,M04,16.77
CEU3133360008,1999,M05,16.61
CEU3133360008,1999,M06,16.6
CEU3133360008,1999,M07,16.74
CEU3133360008,1999,M08,16.63
CEU3133360008,1999,M09,16.45
CEU3133360008,1999,M10,17.03
