Series Id,Year,Period,Value
CEU3133360006,1990,M01,78.2
CEU3133360006,1990,M02,78.6
CEU3133360006,1990,M03,78.3
CEU3133360006,1990,M04,77.5
CEU3133360006,1990,M05,78
CEU3133360006,1990,M06,77.8
CEU3133360006,1990,M07,76.6
CEU3133360006,1990,M08,77.8
CEU3133360006,1990,M09,78.6
CEU3133360006,1990,M10,78.6
CEU3133360006,1990,M11,77.9
CEU3133360006,1990,M12,78.2
CEU3133360006,1991,M01,78.6
CEU3133360006,1991,M02,78.1
CEU3133360006,1991,M03,76.2
CEU3133360006,1991,M04,74.4
CEU3133360006,1991,M05,73.5
CEU3133360006,1991,M06,72.5
CEU3133360006,1991,M07,71.4
CEU3133360006,1991,M08,72.2
CEU3133360006,1991,M09,73.8
CEU3133360006,1991,M10,73.8
CEU3133360006,1991,M11,73.7
CEU3133360006,1991,M12,73.8
CEU3133360006,1992,M01,73
CEU3133360006,1992,M02,73.2
CEU3133360006,1992,M03,73
CEU3133360006,1992,M04,72.8
CEU3133360006,1992,M05,74.6
CEU3133360006,1992,M06,74.3
CEU3133360006,1992,M07,73.5
CEU3133360006,1992,M08,73
CEU3133360006,1992,M09,74
CEU3133360006,1992,M10,73.7
CEU3133360006,1992,M11,73.9
CEU3133360006,1992,M12,74
CEU3133360006,1993,M01,73.5
CEU3133360006,1993,M02,73.4
CEU3133360006,1993,M03,73.4
CEU3133360006,1993,M04,73.4
CEU3133360006,1993,M05,73.3
CEU3133360006,1993,M06,73.2
CEU3133360006,1993,M07,73.1
CEU3133360006,1993,M08,73.1
CEU3133360006,1993,M09,74.1
CEU3133360006,1993,M10,74.1
CEU3133360006,1993,M11,74.7
CEU3133360006,1993,M12,75.5
CEU3133360006,1994,M01,75.6
CEU3133360006,1994,M02,75.8
CEU3133360006,1994,M03,76.2
CEU3133360006,1994,M04,76.6
CEU3133360006,1994,M05,76.6
CEU3133360006,1994,M06,77
CEU3133360006,1994,M07,75.4
CEU3133360006,1994,M08,75.5
CEU3133360006,1994,M09,76.8
CEU3133360006,1994,M10,77.1
CEU3133360006,1994,M11,78
CEU3133360006,1994,M12,78.1
CEU3133360006,1995,M01,78.4
CEU3133360006,1995,M02,78.8
CEU3133360006,1995,M03,78.8
CEU3133360006,1995,M04,79.1
CEU3133360006,1995,M05,77.7
CEU3133360006,1995,M06,76.8
CEU3133360006,1995,M07,76.8
CEU3133360006,1995,M08,76.7
CEU3133360006,1995,M09,76.8
CEU3133360006,1995,M10,76.6
CEU3133360006,1995,M11,76.2
CEU3133360006,1995,M12,76.7
CEU3133360006,1996,M01,76.5
CEU3133360006,1996,M02,76
CEU3133360006,1996,M03,75.9
CEU3133360006,1996,M04,75.1
CEU3133360006,1996,M05,75.3
CEU3133360006,1996,M06,76.4
CEU3133360006,1996,M07,75.7
CEU3133360006,1996,M08,75.2
CEU3133360006,1996,M09,75.1
