Series Id,Year,Period,Value
ENUUS0001054811,2001,M01,576333
ENUUS0001054811,2001,M02,580916
ENUUS0001054811,2001,M03,579968
ENUUS0001054811,2001,M04,578192
ENUUS0001054811,2001,M05,580433
ENUUS0001054811,2001,M06,581717
ENUUS0001054811,2001,M07,584182
ENUUS0001054811,2001,M08,584434
ENUUS0001054811,2001,M09,578198
ENUUS0001054811,2001,M10,559658
ENUUS0001054811,2001,M11,529813
ENUUS0001054811,2001,M12,517052
ENUUS0001054811,2001,M13,569241
ENUUS0001054811,2002,M01,510074
ENUUS0001054811,2002,M02,509729
ENUUS0001054811,2002,M03,508737
ENUUS0001054811,2002,M04,512655
ENUUS0001054811,2002,M05,517653
ENUUS0001054811,2002,M06,524542
ENUUS0001054811,2002,M07,526034
ENUUS0001054811,2002,M08,525452
ENUUS0001054811,2002,M09,522604
ENUUS0001054811,2002,M10,521523
ENUUS0001054811,2002,M11,518444
ENUUS0001054811,2002,M12,515395
ENUUS0001054811,2002,M13,517737
ENUUS0001054811,2003,M01,510880
ENUUS0001054811,2003,M02,505094
ENUUS0001054811,2003,M03,500429
ENUUS0001054811,2003,M04,490826
ENUUS0001054811,2003,M05,482696
ENUUS0001054811,2003,M06,479669
ENUUS0001054811,2003,M07,480035
ENUUS0001054811,2003,M08,476835
ENUUS0001054811,2003,M09,476757
ENUUS0001054811,2003,M10,468117
ENUUS0001054811,2003,M11,468150
ENUUS0001054811,2003,M12,469257
ENUUS0001054811,2003,M13,484062
ENUUS0001054811,2004,M01,468142
ENUUS0001054811,2004,M02,468120
ENUUS0001054811,2004,M03,469360
ENUUS0001054811,2004,M04,469493
ENUUS0001054811,2004,M05,470869
ENUUS0001054811,2004,M06,471427
ENUUS0001054811,2004,M07,474041
ENUUS0001054811,2004,M08,473262
ENUUS0001054811,2004,M09,471602
ENUUS0001054811,2004,M10,468759
ENUUS0001054811,2004,M11,468016
ENUUS0001054811,2004,M12,468861
ENUUS0001054811,2004,M13,470163
ENUUS0001054811,2005,M01,464481
ENUUS0001054811,2005,M02,460829
ENUUS0001054811,2005,M03,459196
ENUUS0001054811,2005,M04,456982
ENUUS0001054811,2005,M05,457670
ENUUS0001054811,2005,M06,457937
ENUUS0001054811,2005,M07,459292
ENUUS0001054811,2005,M08,456606
ENUUS0001054811,2005,M09,450565
ENUUS0001054811,2005,M10,446079
ENUUS0001054811,2005,M11,446129
ENUUS0001054811,2005,M12,443484
ENUUS0001054811,2005,M13,454938
ENUUS0001054811,2006,M01,441314
ENUUS0001054811,2006,M02,437749
ENUUS0001054811,2006,M03,438158
ENUUS0001054811,2006,M04,434424
ENUUS0001054811,2006,M05,435466
ENUUS0001054811,2006,M06,436009
ENUUS0001054811,2006,M07,437946
ENUUS0001054811,2006,M08,438340
ENUUS0001054811,2006,M09,439119
ENUUS0001054811,2006,M10,433933
ENUUS0001054811,2006,M11,436227
ENUUS0001054811,2006,M12,437283
ENUUS0001054811,2006,M13,437164
ENUUS0001054811,2007,M01,437006
ENUUS0001054811,2007,M02,441660
ENUUS0001054811,2007,M03,438038
ENUUS0001054811,2007,M04,439527
ENUUS0001054811,2007,M05,444477
ENUUS0001054811,2007,M06,446364
ENUUS0001054811,2007,M07,446241
ENUUS0001054811,2007,M08,446543
ENUUS0001054811,2007,M09,447850
ENUUS0001054811,2007,M10,448189
ENUUS0001054811,2007,M11,448876
ENUUS0001054811,2007,M12,451315
ENUUS0001054811,2007,M13,444674
ENUUS0001054811,2008,M01,449884
ENUUS0001054811,2008,M02,452062
ENUUS0001054811,2008,M03,454441
ENUUS0001054811,2008,M04,451065
ENUUS0001054811,2008,M05,449115
ENUUS0001054811,2008,M06,449806
ENUUS0001054811,2008,M07,445555
ENUUS0001054811,2008,M08,442435
ENUUS0001054811,2008,M09,438799
ENUUS0001054811,2008,M10,431157
ENUUS0001054811,2008,M11,428737
ENUUS0001054811,2008,M12,428386
ENUUS0001054811,2008,M13,443454
ENUUS0001054811,2009,M01,421965
ENUUS0001054811,2009,M02,421916
ENUUS0001054811,2009,M03,421523
ENUUS0001054811,2009,M04,420777
ENUUS0001054811,2009,M05,420764
ENUUS0001054811,2009,M06,419224
ENUUS0001054811,2009,M07,418028
ENUUS0001054811,2009,M08,416903
ENUUS0001054811,2009,M09,415108
ENUUS0001054811,2009,M10,411888
ENUUS0001054811,2009,M11,411268
ENUUS0001054811,2009,M12,411031
ENUUS0001054811,2009,M13,417533
ENUUS0001054811,2010,M01,409081
ENUUS0001054811,2010,M02,409847
ENUUS0001054811,2010,M03,407899
ENUUS0001054811,2010,M04,407888
ENUUS0001054811,2010,M05,408049
ENUUS0001054811,2010,M06,408886
ENUUS0001054811,2010,M07,404838
ENUUS0001054811,2010,M08,404736
ENUUS0001054811,2010,M09,403253
ENUUS0001054811,2010,M10,406749
ENUUS0001054811,2010,M11,407601
ENUUS0001054811,2010,M12,409437
ENUUS0001054811,2010,M13,407355
ENUUS0001054811,2011,M01,409187
ENUUS0001054811,2011,M02,410766
ENUUS0001054811,2011,M03,411830
ENUUS0001054811,2011,M04,413082
ENUUS0001054811,2011,M05,414096
ENUUS0001054811,2011,M06,416260
ENUUS0001054811,2011,M07,417089
ENUUS0001054811,2011,M08,416107
ENUUS0001054811,2011,M09,413544
ENUUS0001054811,2011,M10,415650
ENUUS0001054811,2011,M11,416492
ENUUS0001054811,2011,M12,416591
ENUUS0001054811,2011,M13,414225
ENUUS0001054811,2012,M01,417260
ENUUS0001054811,2012,M02,419285
ENUUS0001054811,2012,M03,417872
ENUUS0001054811,2012,M04,419243
ENUUS0001054811,2012,M05,420304
ENUUS0001054811,2012,M06,420788
ENUUS0001054811,2012,M07,420163
ENUUS0001054811,2012,M08,420190
ENUUS0001054811,2012,M09,417221
ENUUS0001054811,2012,M10,419164
ENUUS0001054811,2012,M11,418756
ENUUS0001054811,2012,M12,416252
ENUUS0001054811,2012,M13,418875
ENUUS0001054811,2013,M01,411113
ENUUS0001054811,2013,M02,410245
ENUUS0001054811,2013,M03,408155
ENUUS0001054811,2013,M04,413171
ENUUS0001054811,2013,M05,411976
ENUUS0001054811,2013,M06,409736
ENUUS0001054811,2013,M07,409945
ENUUS0001054811,2013,M08,408907
ENUUS0001054811,2013,M09,406007
ENUUS0001054811,2013,M10,410707
ENUUS0001054811,2013,M11,410381
ENUUS0001054811,2013,M12,409846
ENUUS0001054811,2013,M13,410016
ENUUS0001054811,2014,M01,405872
ENUUS0001054811,2014,M02,405880
ENUUS0001054811,2014,M03,403161
ENUUS0001054811,2014,M04,411412
ENUUS0001054811,2014,M05,411822
ENUUS0001054811,2014,M06,408604
ENUUS0001054811,2014,M07,410787
ENUUS0001054811,2014,M08,408655
ENUUS0001054811,2014,M09,406889
ENUUS0001054811,2014,M10,412201
ENUUS0001054811,2014,M11,411702
ENUUS0001054811,2014,M12,409218
ENUUS0001054811,2014,M13,408850
ENUUS0001054811,2015,M01,411356
ENUUS0001054811,2015,M02,412283
ENUUS0001054811,2015,M03,409441
ENUUS0001054811,2015,M04,416202
ENUUS0001054811,2015,M05,417291
ENUUS0001054811,2015,M06,417008
ENUUS0001054811,2015,M07,420787
ENUUS0001054811,2015,M08,422232
ENUUS0001054811,2015,M09,417501
ENUUS0001054811,2015,M10,421654
ENUUS0001054811,2015,M11,423528
ENUUS0001054811,2015,M12,423596
ENUUS0001054811,2015,M13,417740
ENUUS0001054811,2016,M01,428064
ENUUS0001054811,2016,M02,427961
ENUUS0001054811,2016,M03,427130
ENUUS0001054811,2016,M04,432156
ENUUS0001054811,2016,M05,429332
ENUUS0001054811,2016,M06,429074
ENUUS0001054811,2016,M07,435674
ENUUS0001054811,2016,M08,433738
ENUUS0001054811,2016,M09,432067
ENUUS0001054811,2016,M10,434271
ENUUS0001054811,2016,M11,435345
ENUUS0001054811,2016,M12,437187
ENUUS0001054811,2016,M13,431833
ENUUS0001054811,2017,M01,437972
ENUUS0001054811,2017,M02,439769
ENUUS0001054811,2017,M03,442717
ENUUS0001054811,2017,M04,446138
ENUUS0001054811,2017,M05,447709
ENUUS0001054811,2017,M06,449237
ENUUS0001054811,2017,M07,455313
ENUUS0001054811,2017,M08,454620
ENUUS0001054811,2017,M09,454278
ENUUS0001054811,2017,M10,455642
ENUUS0001054811,2017,M11,457504
ENUUS0001054811,2017,M12,457878
ENUUS0001054811,2017,M13,449898
ENUUS0001054811,2018,M01,447092
ENUUS0001054811,2018,M02,450472
ENUUS0001054811,2018,M03,450535
ENUUS0001054811,2018,M04,454605
ENUUS0001054811,2018,M05,456001
ENUUS0001054811,2018,M06,459579
ENUUS0001054811,2018,M07,460057
ENUUS0001054811,2018,M08,460505
ENUUS0001054811,2018,M09,458530
ENUUS0001054811,2018,M10,461307
ENUUS0001054811,2018,M11,461796
ENUUS0001054811,2018,M12,461964
ENUUS0001054811,2018,M13,456870
ENUUS0001054811,2019,M01,450748
ENUUS0001054811,2019,M02,452919
ENUUS0001054811,2019,M03,453303
ENUUS0001054811,2019,M04,456874
ENUUS0001054811,2019,M05,457382
ENUUS0001054811,2019,M06,460227
ENUUS0001054811,2019,M07,461554
ENUUS0001054811,2019,M08,462999
ENUUS0001054811,2019,M09,460130
ENUUS0001054811,2019,M10,463501
ENUUS0001054811,2019,M11,463946
ENUUS0001054811,2019,M12,463883
ENUUS0001054811,2019,M13,458956
ENUUS0001054811,2020,M01,466472
ENUUS0001054811,2020,M02,470105
ENUUS0001054811,2020,M03,469174
ENUUS0001054811,2020,M04,432981
ENUUS0001054811,2020,M05,415233
ENUUS0001054811,2020,M06,393653
ENUUS0001054811,2020,M07,395408
ENUUS0001054811,2020,M08,403714
ENUUS0001054811,2020,M09,397345
ENUUS0001054811,2020,M10,388990
ENUUS0001054811,2020,M11,380782
ENUUS0001054811,2020,M12,382665
ENUUS0001054811,2020,M13,416377
ENUUS0001054811,2021,M01,398550
ENUUS0001054811,2021,M02,397081
ENUUS0001054811,2021,M03,398192
ENUUS0001054811,2021,M04,401303
ENUUS0001054811,2021,M05,401336
ENUUS0001054811,2021,M06,404187
ENUUS0001054811,2021,M07,411162
ENUUS0001054811,2021,M08,415209
ENUUS0001054811,2021,M09,414899
ENUUS0001054811,2021,M10,423622
ENUUS0001054811,2021,M11,425451
ENUUS0001054811,2021,M12,429423
ENUUS0001054811,2021,M13,410035
ENUUS0001054811,2022,M01,427785
ENUUS0001054811,2022,M02,432722
ENUUS0001054811,2022,M03,434562
ENUUS0001054811,2022,M04,446057
ENUUS0001054811,2022,M05,453577
ENUUS0001054811,2022,M06,451811
ENUUS0001054811,2022,M07,462975
ENUUS0001054811,2022,M08,467099
ENUUS0001054811,2022,M09,464274
ENUUS0001054811,2022,M10,471217
ENUUS0001054811,2022,M11,472067
ENUUS0001054811,2022,M12,472222
ENUUS0001054811,2022,M13,454697
ENUUS0001054811,2023,M01,477558
ENUUS0001054811,2023,M02,481667
ENUUS0001054811,2023,M03,483453
ENUUS0001054811,2023,M04,489515
ENUUS0001054811,2023,M05,493724
ENUUS0001054811,2023,M06,494965
ENUUS0001054811,2023,M07,497619
ENUUS0001054811,2023,M08,501842
ENUUS0001054811,2023,M09,501301
ENUUS0001054811,2023,M10,503961
ENUUS0001054811,2023,M11,503260
ENUUS0001054811,2023,M12,502896
ENUUS0001054811,2023,M13,494313
ENUUS0001054811,2024,M01,506232
ENUUS0001054811,2024,M02,507134
ENUUS0001054811,2024,M03,503189
ENUUS0001054811,2024,M04,507896
ENUUS0001054811,2024,M05,508974
ENUUS0001054811,2024,M06,509016
ENUUS0001054811,2024,M07,509624
ENUUS0001054811,2024,M08,508401
ENUUS0001054811,2024,M09,506669
