,Monthly Nominal GDP Index,Monthly Real GDP Index,,
1992 - Jan,6310.177,10168.501,,
1992 - Feb,6352.475,10216.039,,
1992 - Mar,6426.654,10322.895,,
1992 - Apr,6443.695,10314.600,,
1992 - May,6429.302,10285.878,,
1992 - Jun,6539.291,10439.864,,
1992 - Jul,6558.363,10452.602,,
1992 - Aug,6553.782,10425.771,,
1992 - Sep,6587.777,10468.734,,
1992 - Oct,6637.683,10525.141,,
1992 - Nov,6676.680,10549.406,,
1992 - Dec,6728.046,10599.354,,
1993 - Jan,6705.789,10558.136,,
1993 - Feb,6738.170,10588.900,,
1993 - Mar,6744.418,10579.739,,
1993 - Apr,6766.202,10593.214,,
1993 - May,6816.967,10647.506,,
1993 - Jun,6843.649,10670.726,,
1993 - Jul,6833.244,10632.120,,
1993 - Aug,6874.672,10675.402,,
1993 - Sep,6938.377,10756.166,,
1993 - Oct,6942.107,10749.053,,
1993 - Nov,7036.697,10861.333,,
1993 - Dec,7062.409,10889.467,,
1994 - Jan,7069.266,10878.234,,
1994 - Feb,7118.611,10940.741,,
1994 - Mar,7159.079,10996.286,,
1994 - Apr,7182.151,11011.933,,
1994 - May,7286.198,11121.520,,
1994 - Jun,7272.444,11126.447,,
1994 - Jul,7296.185,11113.267,,
1994 - Aug,7352.250,11194.061,,
1994 - Sep,7344.790,11147.141,,
1994 - Oct,7431.551,11250.264,,
1994 - Nov,7431.018,11238.164,,
1994 - Dec,7503.295,11349.801,,
1995 - Jan,7535.368,11345.980,,
1995 - Feb,7478.544,11257.031,,
1995 - Mar,7552.955,11355.763,,
1995 - Apr,7534.625,11290.247,,
1995 - May,7560.376,11326.782,,
1995 - Jun,7647.991,11443.592,,
1995 - Jul,7628.952,11377.540,,
1995 - Aug,7677.222,11445.895,,
1995 - Sep,7743.201,11527.125,,
1995 - Oct,7754.528,11491.271,,
1995 - Nov,7746.173,11496.519,,
1995 - Dec,7817.057,11596.754,,
1996 - Jan,7836.011,11577.986,,
1996 - Feb,7847.264,11591.410,,
1996 - Mar,7922.129,11675.170,,
1996 - Apr,8026.010,11819.556,,
1996 - May,8008.354,11775.586,,
1996 - Jun,8064.157,11830.735,,
1996 - Jul,8107.729,11888.538,,
1996 - Aug,8116.232,11899.518,,
1996 - Sep,8170.263,11955.227,,
1996 - Oct,8260.301,12052.991,,
1996 - Nov,8272.200,12047.678,,
1996 - Dec,8246.812,12013.816,,
1997 - Jan,8309.874,12086.684,,
1997 - Feb,8387.078,12172.734,,
1997 - Mar,8391.012,12088.206,,
1997 - Apr,8509.644,12357.433,,
1997 - May,8478.819,12244.133,,
1997 - Jun,8568.013,12351.328,,
1997 - Jul,8621.272,12451.021,,
1997 - Aug,8655.045,12481.092,,
1997 - Sep,8712.152,12482.192,,
1997 - Oct,8748.009,12562.738,,
1997 - Nov,8737.164,12536.978,,
1997 - Dec,8812.547,12634.024,,
1998 - Jan,8770.136,12567.481,,
1998 - Feb,8896.288,12756.193,,
1998 - Mar,8933.016,12788.736,,
1998 - Apr,8926.116,12762.453,,
1998 - May,8953.519,12795.579,,
1998 - Jun,9029.462,12906.931,,
1998 - Jul,9050.779,12881.219,,
1998 - Aug,9099.745,12946.396,,
1998 - Sep,9212.766,13121.352,,
1998 - Oct,9264.281,13162.216,,
1998 - Nov,9306.272,13217.707,,
1998 - Dec,9311.420,13195.750,,
1999 - Jan,9358.645,13224.971,,
1999 - Feb,9410.556,13326.929,,
1999 - Mar,9465.845,13395.595,,
1999 - Apr,9494.983,13394.932,,
1999 - May,9538.193,13444.796,,
1999 - Jun,9545.454,13441.325,,
1999 - Jul,9662.578,13567.257,,
1999 - Aug,9662.805,13604.740,,
1999 - Sep,9734.495,13643.081,,
1999 - Oct,9822.696,13724.798,,
1999 - Nov,9888.481,13808.842,,
1999 - Dec,9989.330,13950.727,,
2000 - Jan,9924.983,13813.417,,
2000 - Feb,9994.171,13869.866,,
2000 - Mar,10087.383,13951.688,,
2000 - Apr,10225.671,14134.380,,
2000 - May,10233.223,14115.188,,
2000 - Jun,10284.266,14143.571,,
2000 - Jul,10235.612,14058.686,,
2000 - Aug,10336.169,14171.593,,
2000 - Sep,10382.714,14205.987,,
2000 - Oct,10435.278,14247.349,,
2000 - Nov,10445.748,14232.977,,
2000 - Dec,10426.206,14209.984,,
2001 - Jan,10468.697,14215.847,,
2001 - Feb,10462.975,14185.233,,
2001 - Mar,10479.021,14149.783,,
2001 - Apr,10566.016,14260.772,,
2001 - May,10639.117,14326.830,,
2001 - Jun,10591.867,14229.112,,
2001 - Jul,10585.357,14183.695,,
2001 - Aug,10698.963,14346.902,,
2001 - Sep,10509.739,14114.484,,
2001 - Oct,10640.838,14236.549,,
2001 - Nov,10588.647,14160.699,,
2001 - Dec,10751.910,14365.303,,
2002 - Jan,10785.810,14407.245,,
2002 - Feb,10749.045,14322.932,,
2002 - Mar,10815.645,14390.073,,
2002 - Apr,10857.740,14443.919,,
2002 - May,10870.099,14442.569,,
2002 - Jun,10934.540,14497.925,,
2002 - Jul,11001.579,14574.958,,
2002 - Aug,10952.726,14491.983,,
2002 - Sep,10997.815,14493.583,,
2002 - Oct,10998.577,14480.415,,
2002 - Nov,11052.395,14522.589,,
2002 - Dec,11133.327,14611.124,,
2003 - Jan,11135.227,14595.148,,
2003 - Feb,11210.937,14653.222,,
2003 - Mar,11176.224,14595.655,,
2003 - Apr,11258.357,14675.298,,
2003 - May,11275.195,14690.151,,
2003 - Jun,11404.746,14867.225,,
2003 - Jul,11469.354,14911.263,,
2003 - Aug,11565.766,14983.030,,
2003 - Sep,11664.888,15074.102,,
2003 - Oct,11700.069,15093.510,,
2003 - Nov,11785.662,15181.402,,
2003 - Dec,11830.971,15215.363,,
2004 - Jan,11805.753,15134.075,,
2004 - Feb,11927.324,15259.487,,
2004 - Mar,12037.264,15354.482,,
2004 - Apr,12036.027,15311.175,,
2004 - May,12175.017,15445.536,,
2004 - Jun,12127.401,15345.931,,
2004 - Jul,12279.912,15483.890,,
2004 - Aug,12301.541,15521.945,,
2004 - Sep,12334.468,15534.149,,
2004 - Oct,12471.117,15653.017,,
2004 - Nov,12514.997,15649.718,,
2004 - Dec,12595.529,15712.031,,
2005 - Jan,12747.841,15854.630,,
2005 - Feb,12752.022,15827.262,,
2005 - Mar,12801.995,15854.450,,
2005 - Apr,12858.872,15896.004,,
2005 - May,12882.013,15863.517,,
2005 - Jun,13027.083,16010.885,,
2005 - Jul,13095.800,16037.094,,
2005 - Aug,13152.633,16077.447,,
2005 - Sep,13179.494,16030.324,,
2005 - Oct,13235.100,16063.960,,
2005 - Nov,13299.869,16112.449,,
2005 - Dec,13437.643,16235.864,,
2006 - Jan,13517.389,16315.315,,
2006 - Feb,13569.528,16308.004,,
2006 - Mar,13710.562,16440.207,,
2006 - Apr,13696.429,16371.793,,
2006 - May,13781.571,16415.661,,
2006 - Jun,13782.272,16403.137,,
2006 - Jul,13792.923,16367.841,,
2006 - Aug,13884.273,16420.387,,
2006 - Sep,13933.368,16476.236,,
2006 - Oct,13966.378,16488.710,,
2006 - Nov,14060.042,16601.533,,
2006 - Dec,14092.260,16597.624,,
2007 - Jan,14135.652,16580.272,,
2007 - Feb,14289.292,16684.091,,
2007 - Mar,14222.009,16572.860,,
2007 - Apr,14360.854,16709.218,,
2007 - May,14402.474,16703.464,,
2007 - Jun,14442.919,16729.150,,
2007 - Jul,14426.553,16673.987,,
2007 - Aug,14597.923,16863.555,,
2007 - Sep,14667.875,16893.013,,
2007 - Oct,14661.457,16875.521,,
2007 - Nov,14717.219,16900.466,,
2007 - Dec,14766.498,16971.347,,
2008 - Jan,14805.775,16995.282,,
2008 - Feb,14626.463,16752.670,,
2008 - Mar,14687.376,16783.027,,
