,Monthly Nominal GDP Index,Monthly Real GDP Index
1992 - Jan,6310.182,10168.508
1992 - Feb,6352.475,10216.038
1992 - Mar,6426.650,10322.888
1992 - Apr,6443.693,10314.595
1992 - May,6429.303,10285.879
1992 - Jun,6539.292,10439.865
1992 - Jul,6558.362,10452.601
1992 - Aug,6553.782,10425.770
1992 - Sep,6587.779,10468.736
1992 - Oct,6637.685,10525.145
1992 - Nov,6676.681,10549.406
1992 - Dec,6728.043,10599.350
1993 - Jan,6705.790,10558.138
1993 - Feb,6738.169,10588.898
1993 - Mar,6744.418,10579.738
1993 - Apr,6766.202,10593.215
1993 - May,6816.967,10647.506
1993 - Jun,6843.648,10670.724
1993 - Jul,6833.243,10632.118
1993 - Aug,6874.673,10675.403
1993 - Sep,6938.378,10756.168
1993 - Oct,6942.107,10749.052
1993 - Nov,7036.697,10861.332
1993 - Dec,7062.410,10889.467
1994 - Jan,7069.265,10878.231
1994 - Feb,7118.609,10940.738
1994 - Mar,7159.082,10996.291
1994 - Apr,7182.141,11011.917
1994 - May,7286.218,11121.551
1994 - Jun,7272.434,11126.431
1994 - Jul,7296.194,11113.280
1994 - Aug,7352.251,11194.062
1994 - Sep,7344.780,11147.126
1994 - Oct,7431.534,11250.237
1994 - Nov,7431.006,11238.145
1994 - Dec,7503.324,11349.845
1995 - Jan,7535.390,11346.014
1995 - Feb,7478.537,11257.020
1995 - Mar,7552.939,11355.739
1995 - Apr,7534.630,11290.254
1995 - May,7560.385,11326.796
1995 - Jun,7647.975,11443.570
1995 - Jul,7628.988,11377.593
1995 - Aug,7677.223,11445.897
1995 - Sep,7743.164,11527.069
1995 - Oct,7754.530,11491.273
1995 - Nov,7746.172,11496.517
1995 - Dec,7817.056,11596.753
1996 - Jan,7835.977,11577.936
1996 - Feb,7847.293,11591.453
1996 - Mar,7922.134,11675.177
1996 - Apr,8026.040,11819.599
1996 - May,8008.353,11775.585
1996 - Jun,8064.127,11830.691
1996 - Jul,8107.729,11888.539
1996 - Aug,8116.233,11899.520
1996 - Sep,8170.262,11955.225
1996 - Oct,8260.295,12052.983
1996 - Nov,8272.222,12047.710
1996 - Dec,8246.796,12013.792
1997 - Jan,8309.894,12086.713
1997 - Feb,8387.067,12172.717
1997 - Mar,8391.003,12088.194
1997 - Apr,8509.634,12357.420
1997 - May,8478.808,12244.118
1997 - Jun,8568.033,12351.356
1997 - Jul,8621.273,12451.023
1997 - Aug,8655.043,12481.089
1997 - Sep,8712.153,12482.192
1997 - Oct,8747.994,12562.715
1997 - Nov,8737.157,12536.967
1997 - Dec,8812.571,12634.058
1998 - Jan,8770.138,12567.484
1998 - Feb,8896.318,12756.236
1998 - Mar,8932.984,12788.691
1998 - Apr,8926.112,12762.448
1998 - May,8953.522,12795.582
1998 - Jun,9029.463,12906.933
1998 - Jul,9050.801,12881.250
1998 - Aug,9099.735,12946.381
1998 - Sep,9212.755,13121.336
1998 - Oct,9264.288,13162.226
1998 - Nov,9306.250,13217.676
1998 - Dec,9311.435,13195.772
1999 - Jan,9358.623,13224.940
1999 - Feb,9410.569,13326.946
1999 - Mar,9465.854,13395.609
1999 - Apr,9494.978,13394.925
1999 - May,9538.214,13444.825
1999 - Jun,9545.438,13441.303
1999 - Jul,9662.550,13567.219
1999 - Aug,9662.816,13604.755
1999 - Sep,9734.512,13643.104
1999 - Oct,9822.704,13724.808
1999 - Nov,9888.459,13808.812
1999 - Dec,9989.344,13950.746
2000 - Jan,9924.956,13813.380
2000 - Feb,9994.172,13869.868
2000 - Mar,10087.409,13951.724
2000 - Apr,10225.666,14134.374
2000 - May,10233.220,14115.183
2000 - Jun,10284.274,14143.582
2000 - Jul,10235.597,14058.665
2000 - Aug,10336.196,14171.630
2000 - Sep,10382.702,14205.971
2000 - Oct,10435.283,14247.355
2000 - Nov,10445.745,14232.973
2000 - Dec,10426.204,14209.982
2001 - Jan,10468.685,14215.831
2001 - Feb,10462.967,14185.223
2001 - Mar,10479.041,14149.810
2001 - Apr,10566.010,14260.764
2001 - May,10639.101,14326.809
2001 - Jun,10591.889,14229.141
2001 - Jul,10585.363,14183.704
2001 - Aug,10698.977,14346.920
2001 - Sep,10509.719,14114.457
2001 - Oct,10640.845,14236.559
2001 - Nov,10588.647,14160.698
2001 - Dec,10751.903,14365.294
2002 - Jan,10785.811,14407.247
2002 - Feb,10749.036,14322.919
2002 - Mar,10815.653,14390.084
2002 - Apr,10857.761,14443.947
2002 - May,10870.086,14442.551
2002 - Jun,10934.533,14497.917
2002 - Jul,11001.567,14574.943
2002 - Aug,10952.717,14491.971
2002 - Sep,10997.836,14493.611
2002 - Oct,10998.602,14480.448
2002 - Nov,11052.380,14522.568
2002 - Dec,11133.317,14611.111
2003 - Jan,11135.229,14595.152
2003 - Feb,11210.929,14653.213
2003 - Mar,11176.229,14595.661
2003 - Apr,11258.390,14675.340
2003 - May,11275.179,14690.131
2003 - Jun,11404.729,14867.204
2003 - Jul,11469.355,14911.265
2003 - Aug,11565.760,14983.022
2003 - Sep,11664.892,15074.108
2003 - Oct,11700.086,15093.531
2003 - Nov,11785.653,15181.391
2003 - Dec,11830.963,15215.353
2004 - Jan,11805.758,15134.081
2004 - Feb,11927.300,15259.456
2004 - Mar,12037.283,15354.507
2004 - Apr,12036.013,15311.157
2004 - May,12175.001,15445.516
2004 - Jun,12127.431,15345.969
2004 - Jul,12279.892,15483.865
2004 - Aug,12301.588,15522.004
2004 - Sep,12334.441,15534.115
2004 - Oct,12471.115,15653.015
2004 - Nov,12514.982,15649.699
2004 - Dec,12595.545,15712.052
2005 - Jan,12747.841,15854.629
2005 - Feb,12752.067,15827.318
2005 - Mar,12801.951,15854.395
2005 - Apr,12858.888,15896.023
2005 - May,12881.979,15863.476
2005 - Jun,13027.101,16010.908
2005 - Jul,13095.797,16037.091
2005 - Aug,13152.645,16077.463
2005 - Sep,13179.484,16030.313
2005 - Oct,13235.093,16063.951
2005 - Nov,13299.850,16112.427
2005 - Dec,13437.669,16235.896
2006 - Jan,13517.386,16315.311
2006 - Feb,13569.538,16308.016
2006 - Mar,13710.555,16440.199
2006 - Apr,13696.435,16371.801
2006 - May,13781.562,16415.651
2006 - Jun,13782.275,16403.141
2006 - Jul,13792.908,16367.824
2006 - Aug,13884.318,16420.440
2006 - Sep,13933.338,16476.201
2006 - Oct,13966.361,16488.691
2006 - Nov,14060.071,16601.567
2006 - Dec,14092.247,16597.609
2007 - Jan,14135.648,16580.268
2007 - Feb,14289.282,16684.079
2007 - Mar,14222.023,16572.876
2007 - Apr,14360.845,16709.208
2007 - May,14402.470,16703.460
2007 - Jun,14442.931,16729.164
2007 - Jul,14426.562,16673.999
2007 - Aug,14597.899,16863.527
2007 - Sep,14667.889,16893.029
