ceaindx.lg,urint.lg,wgshr.lg,ppicty.lg,ffds.ts
3.804660487,6.601016368,4.261199194,4.301358732,10.07
3.807994935,6.609985038,4.261630901,4.316153891,10.06
3.813307032,6.636565669,4.262777814,4.328098293,10.09
3.814851094,6.5748721,4.261805446,4.342505877,10.01
3.819907717,6.548830615,4.263955661,4.350277936,10.24
3.822754538,6.50139089,4.267750561,4.356708827,10.29
3.825157072,6.491728979,4.262286877,4.371976299,10.47
3.826465117,6.57173238,4.260461461,4.377014093,10.94
3.828423982,6.545446517,4.261250724,4.393213824,11.43
3.830379016,6.562253636,4.259704582,4.407938016,13.77
3.832979798,6.554925261,4.259202758,4.414009681,13.18
3.834061464,6.590424513,4.258474438,4.423648309,13.78
3.835141961,6.601474349,4.252169171,4.445001434,13.82
3.837083919,6.620522544,4.25490559,4.464758032,14.13
3.838806943,6.657563815,4.258117301,4.471638793,17.19
3.836437018,6.784253676,4.257935679,4.475061501,17.61
3.832979798,6.822784719,4.253979962,4.480740108,10.98
3.83081295,6.872069882,4.251718642,4.485259889,9.47
3.828641396,6.941342174,4.239103412,4.50313746,9.03
3.83081295,6.978035711,4.240690655,4.516338972,9.61
3.833196225,6.991249241,4.236643769,4.518522379,10.87
3.836005519,7.00663416,4.23395479,4.53044664,12.81
3.839022113,7.044091723,4.236186027,4.534747722,15.85
3.843315807,7.010595768,4.23365722,4.541164856,18.9
3.844386357,7.094281467,4.241022663,4.555979942,19.08
3.847377812,7.066773707,4.239520395,4.565389316,15.93
3.849083206,7.059656239,4.237600999,4.574710979,14.7
3.852060664,7.025088775,4.2414626,4.584967479,15.72
3.852273001,7.044091723,4.239312483,4.588024027,18.52
3.855029284,7.051417763,4.237871883,4.590056548,19.1
3.858200199,7.017868527,4.224362656,4.59511985,19.04
3.858200199,7.087827116,4.224509822,4.59511985,17.82
3.858411236,7.057336949,4.223407993,4.593097605,15.87
3.857355604,7.088671354,4.227840381,4.594109239,15.08
3.855875845,7.107986654,4.226018031,4.593097605,13.31
3.854393893,7.131797303,4.223785156,4.593097605,12.37
3.852697539,7.166135819,4.226852905,4.602165677,13.22
3.851848282,7.251344983,4.225639911,4.603168183,14.78
3.851423383,7.262518284,4.225197859,4.601162165,14.68
3.849296176,7.323281959,4.219031521,4.601162165,14.94
3.849296176,7.361189811,4.221133114,4.603168183,14.45
3.847804433,7.43454272,4.220072016,4.605170186,14.15
3.845669505,7.435868804,4.21793361,4.609162207,12.59
3.845669505,7.486512537,4.216756765,4.608165695,10.12
3.843530009,7.541057028,4.213827265,4.605170186,10.31
3.841385926,7.605834099,4.211049512,4.607168189,9.71
3.839452313,7.637743507,4.206848172,4.608165695,9.2
3.840527004,7.694576982,4.20651836,4.610157727,8.95
3.844172339,7.726197781,4.211697075,4.607168189,8.68
3.844814256,7.715834994,4.207621525,4.610157727,8.51
3.847804433,7.716535871,4.208344572,4.609162207,8.77
3.851423383,7.711921095,4.210389421,4.609162207,8.8
3.855240991,7.752079219,4.211399995,4.613138356,8.63
3.85925494,7.76660732,4.213834034,4.615120517,8.98
3.866816413,7.71382978,4.214379338,4.618086411,9.37
3.866188469,7.666142981,4.21369057,4.623010104,9.56
3.876188552,7.644004998,4.212974472,4.624972813,9.45
3.881769962,7.599553235,4.217150309,4.626931678,9.48
3.887320393,7.539803708,4.211967175,4.625952725,9.34
