prd,cplt,unint,rw
3.6771,4.4790,5.8123,4.1075
3.6760,4.4727,5.8051,4.1170
3.6792,4.4740,5.8520,4.1244
3.6760,4.4572,5.8469,4.1297
3.6805,4.4227,6.0291,4.1326
3.6919,4.4079,6.2116,4.1310
3.7092,4.3950,6.3379,4.1379
3.7028,4.3640,6.5054,4.1355
3.7314,4.3747,6.6453,4.1459
3.7318,4.3761,6.7071,4.1478
3.7439,4.3716,6.7644,4.1550
3.7355,4.3871,6.7810,4.1549
3.7469,4.4214,6.7722,4.1729
3.7704,4.4329,6.7688,4.1776
3.7732,4.4376,6.7065,4.1801
3.7840,4.4630,6.6362,4.1900
3.8025,4.4817,6.4794,4.2032
3.8050,4.4800,6.4019,4.1963
3.7911,4.4781,6.3437,4.1951
3.7951,4.4832,6.3634,4.1886
3.7807,4.4651,6.4108,4.1771
3.7840,4.4578,6.4341,4.1810
3.7755,4.4472,6.5206,4.1850
3.7833,4.4005,6.6902,4.1792
3.7967,4.3264,7.0599,4.1898
3.8127,4.3084,7.3248,4.1984
3.8237,4.3281,7.3943,4.1924
3.8263,4.3445,7.4122,4.1937
3.8406,4.3689,7.3602,4.2037
3.8471,4.3758,7.3060,4.2127
3.8484,4.3826,7.2999,4.2154
3.8546,4.3935,7.2844,4.2246
3.8607,4.4060,7.2229,4.2251
3.8624,4.4288,7.1566,4.2243
3.8754,4.4313,7.0886,4.2311
3.8642,4.4289,7.0230,4.2327
3.8604,4.4175,6.8930,4.2431
3.8799,4.4487,6.8039,4.2381
3.8826,4.4493,6.7621,4.2396
3.8865,4.4585,6.6976,4.2452
3.8807,4.4551,6.7102,4.2486
3.8797,4.4448,6.6363,4.2454
3.8796,4.4342,6.6310,4.2410
3.8773,4.4313,6.6635,4.2396
3.8839,4.4296,6.7210,4.2380
3.8730,4.3808,6.9212,4.2400
3.8743,4.3588,7.0646,4.2401
3.8842,4.3909,7.1148,4.2416
3.9028,4.3869,7.1679,4.2383
3.8938,4.3833,7.1344,4.2379
3.9075,4.3855,7.1489,4.2393
3.8953,4.3557,7.2038,4.2385
3.8910,4.3283,7.3218,4.2528
3.8923,4.3100,7.4683,4.2516
3.8924,4.2910,7.5829,4.2486
3.9010,4.2689,7.7409,4.2520
3.9103,4.2782,7.8137,4.2555
3.9274,4.2993,7.8380,4.2537
3.9316,4.3319,7.7693,4.2486
3.9405,4.3557,7.6384,4.2537
3.9459,4.3813,7.5467,4.2510
3.9548,4.3917,7.4429,4.2520
3.9601,4.3924,7.3779,4.2585
3.9623,4.3860,7.3245,4.2589
3.9665,4.3821,7.2625,4.2634
3.9706,4.3757,7.2570,4.2649
3.9865,4.3677,7.2197,4.2746
3.9897,4.3675,7.1961,4.2844
3.9992,4.3688,7.1632,4.2920
4.0058,4.3589,7.1819,4.3085
4.0110,4.3593,7.1866,4.3148
4.0085,4.3666,7.1477,4.3214
4.0043,4.3751,7.0973,4.3145
4.0101,4.3876,7.0477,4.3111
4.0114,4.4011,6.9630,4.3118
4.0202,4.4204,6.9206,4.3161
4.0232,4.4265,6.8999,4.3275
4.0247,4.4335,6.8076,4.3296
4.0280,4.4356,6.8172,4.3314
4.0300,4.4403,6.7499,4.3287
4.0320,4.4413,6.6827,4.3217
4.0369,4.4321,6.6417,4.3124
4.0408,4.4194,6.6164,4.3136
