indx,ppi,ip,ee
7.6572,4.8179,4.4440,11.6037
7.4328,4.8040,4.4322,11.6046
7.4309,4.8081,4.4643,11.6137
7.5346,4.8536,4.4648,11.6128
7.4252,4.8371,4.5142,11.6164
7.2610,4.7908,4.5306,11.6343
7.1549,4.7732,4.4207,11.6360
7.3119,4.8007,4.5011,11.6431
7.2126,4.8146,4.5389,11.6351
7.3647,4.8450,4.5607,11.6351
7.4247,4.8744,4.5530,11.6316
7.4677,4.8645,4.5309,11.6334
7.6150,4.8843,4.5574,11.6343
7.6961,4.8934,4.5800,11.6509
7.6383,4.9141,4.6069,11.6639
7.7121,4.9388,4.5907,11.6605
7.7054,4.9509,4.6154,11.6759
7.6264,4.9495,4.5745,11.6894
7.6473,4.9402,4.5670,11.6869
7.5454,4.9316,4.5537,11.6911
7.3850,4.9156,4.5632,11.6919
7.0492,4.8934,4.5851,11.6844
7.2088,4.8637,4.5653,11.6869
7.1542,4.8410,4.5256,11.6869
7.1042,4.8331,4.5891,11.6936
7.2036,4.8520,4.5927,11.6894
7.2091,4.8629,4.5883,11.6944
7.1931,4.8505,4.6276,11.7019
7.1820,4.8323,4.6291,11.7126
6.9963,4.8187,4.6115,11.7264
7.0405,4.8048,4.6379,11.7248
7.0116,4.7983,4.5936,11.7208
7.0144,4.8146,4.6238,11.7167
7.0717,4.8267,4.6127,11.7256
7.0618,4.8195,4.5925,11.7077
7.0251,4.8251,4.6687,11.7085
7.0964,4.8291,4.7192,11.7060
7.0909,4.8307,4.6676,11.7027
7.0187,4.8283,4.6392,11.7035
7.0159,4.8057,4.6833,11.6969
7.0163,4.7983,4.6548,11.6927
7.0414,4.7966,4.7125,11.6977
6.9646,4.7850,4.6881,11.6994
6.9728,4.7867,4.7019,11.6961
6.9483,4.7858,4.7111,11.7011
6.9973,4.7808,4.6815,11.7002
7.0997,4.7808,4.6577,11.6944
7.1244,4.7774,4.6979,11.6994
7.2228,4.7816,4.6793,11.6986
7.2765,4.7974,4.6588,11.6986
7.3147,4.7991,4.7318,11.7027
7.4200,4.8032,4.6764,11.6961
7.4574,4.8106,4.6293,11.7027
7.4656,4.8154,4.6693,11.7035
7.5367,4.8339,4.6571,11.7110
7.6445,4.8567,4.7038,11.7060
7.6749,4.8683,4.6865,11.7068
7.6135,4.8583,4.6624,11.7035
7.6865,4.8652,4.6838,11.6977
7.6940,4.8706,4.6537,11.7060
7.6183,4.8481,4.6147,11.7060
7.6247,4.8450,4.6940,11.7011
7.5573,4.8387,4.6574,11.7077
7.4198,4.8251,4.6606,11.7110
7.5009,4.8203,4.6636,11.7126
7.3717,4.7925,4.6666,11.7093
7.2650,4.7656,4.6792,11.7118
7.1415,4.7467,4.7027,11.7011
7.0856,4.7353,4.6624,11.6986
7.0821,4.7309,4.7062,11.6977
7.0743,4.7140,4.7827,11.6944
7.1114,4.7122,4.6931,11.6977
7.1222,4.7095,4.7176,11.6977
6.8536,4.7086,4.7015,11.6952
7.0709,4.7167,4.6895,11.6944
7.1292,4.7131,4.6791,11.6886
7.2550,4.7212,4.6990,11.6869
7.0940,4.7221,4.7000,11.6894
7.1272,4.7274,4.7045,11.6894
7.1972,4.7283,4.6673,11.6827
7.1677,4.7230,4.6416,11.6810
7.1680,4.7274,4.6359,11.6793
7.0350,4.7449,4.6292,11.6639
7.2379,4.7553,4.5940,11.6767
7.2228,4.7570,4.6287,11.6742
7.4279,4.7816,4.6182,11.6742
7.4633,4.7958,4.6470,11.6699
7.3573,4.8106,4.6107,11.6699
7.3610,4.8106,4.5875,11.6699
7.3598,4.8089,4.5883,11.6733
7.4070,4.8007,4.6013,11.6716
7.4707,4.8162,4.5685,11.6691
7.6399,4.8395,4.6012,11.6665
7.6751,4.8567,4.6325,11.6639
7.6500,4.8598,4.5763,11.6699
7.5392,4.8520,4.5989,11.6869
7.8086,4.8652,4.6167,11.6776
7.7765,4.8851,4.6280,11.6886
7.6413,4.9023,4.6645,11.6844
7.6045,4.9156,4.6609,11.6869
7.7269,4.9607,4.6920,11.6886
7.6827,4.9747,4.6515,11.7011
7.6339,4.9424,4.6607,11.6986
7.5695,4.9265,4.6587,11.6911
7.5780,4.9193,4.7025,11.6944
7.5398,4.9178,4.6529,11.6961
7.4210,4.9038,4.6961,11.7027
7.3269,4.8949,4.6817,11.7150
7.1424,4.8911,4.6508,11.7167
7.2406,4.8926,4.6248,11.7216
7.2844,4.8949,4.6344,11.7224
7.2744,4.8993,4.6029,11.7191
7.1553,4.8866,4.6235,11.7175
6.9888,4.8744,4.6063,11.7216
7.0606,4.8721,4.6083,11.7110
7.0080,4.8544,4.6267,11.7110
6.8397,4.8497,4.6304,11.7068
6.9638,4.8410,4.6002,11.6986
7.0554,4.8315,4.6068,11.7052
7.0121,4.8323,4.6220,11.7126
7.0592,4.8363,4.6271,11.7011
6.7503,4.8130,4.5379,11.6969
6.7262,4.8016,4.6007,11.7044
6.0955,4.7501,4.3366,11.6501
6.2118,4.7122,4.3111,11.6254
6.4848,4.7086,4.3884,11.6351
6.5083,4.7274,4.5134,11.6369
6.6804,4.7545,4.4950,11.6173
6.8215,4.7908,4.5675,11.6146
6.5825,4.7941,4.6230,11.6271
6.7483,4.8040,4.6683,11.6334
7.1268,4.8458,4.4953,11.6200
7.1524,4.8744,4.5314,11.6164
7.0156,4.8866,4.5945,11.6110
7.2296,4.9119,4.5618,11.6209
7.3543,4.9628,4.6851,11.6191
7.4817,5.0080,4.5716,11.6307
7.5898,5.0363,4.5330,11.6413
7.5030,5.0420,4.5500,11.6562
7.5379,5.0765,4.5694,11.6536
7.6160,5.1167,4.5136,11.6527
7.6441,5.1593,4.5658,11.6674
7.5725,5.1607,4.5983,11.6691
7.4921,5.1041,4.5856,11.6759
7.7684,5.1517,4.5761,11.6631
7.7264,5.2248,4.5905,11.6674
7.9483,5.2444,4.5723,11.6708
8.0367,5.2788,4.5731,11.6699
7.7778,5.2339,4.5950,11.6801
7.7415,5.1755,4.6089,11.6919
7.4857,5.1242,4.6223,11.6961
7.5478,5.0923,4.5522,11.6969
7.4949,5.0752,4.5328,11.7068
7.2564,5.0410,4.6050,11.7077
7.3674,5.0386,4.5004,11.7052
7.5273,5.0499,4.4146,11.7134
7.4215,5.0714,4.5048,11.7052
7.6146,5.0885,4.5342,11.7060
7.5896,5.0862,4.5018,11.7159
7.4245,5.0676,4.6163,11.7110
7.3186,5.0717,4.4830,11.7068
7.2775,5.0587,4.5174,11.7183
7.3284,5.0431,4.4752,11.7208
7.3593,5.0389,4.4986,11.7264
7.2926,5.0297,4.5626,11.7248
7.2190,5.0255,4.4143,11.7280
7.0602,5.0221,4.4963,11.7256
7.1674,5.0175,4.5384,11.7256
7.3575,5.0122,4.5076,11.7159
7.2552,5.0137,4.5067,11.7093
7.2131,5.0102,4.5437,11.7035
7.4351,5.0193,4.5163,11.7110
7.4486,5.0599,4.6197,11.7044
7.6463,5.0820,4.4828,11.7167
7.5476,5.0857,4.4950,11.7126
7.3380,5.0619,4.6237,11.7191
7.2954,5.0551,4.5705,11.7118
7.5271,5.0729,4.5281,11.7068
7.5650,5.0939,4.5345,11.7019
7.6906,5.1008,4.4869,11.7093
7.5068,5.1008,4.5087,11.7011
7.4194,5.1135,4.5186,11.7093
7.3493,5.1598,4.5375,11.7191
