indx,ppi,ip,ee,,,,,,,,,
8.213541616,4.809742352,4.680969441,11.88448902,,,,,,,,,
8.271663428,4.840242308,4.673087679,11.88379913,,,,,,,,,
8.22398119,4.846546506,4.644531274,11.8920466,,,,,,,,,
8.27399233,4.863680881,4.674288516,11.8913619,,,,,,,,,
8.367574228,4.899331225,4.639898129,11.89273083,,,,,,,,,
8.314337444,4.90897164,4.656840959,11.90361529,,,,,,,,,
8.330039177,4.889596966,4.627474583,11.90090526,,,,,,,,,
8.203681727,4.884315927,4.62409694,11.90226119,,,,,,,,,
8.207519057,4.875960391,4.614289479,11.8899911,,,,,,,,,
8.163285843,4.886582645,4.616340564,11.88379913,,,,,,,,,
8.192791808,4.903792198,4.60630654,11.86358234,,,,,,,,,
8.278288585,4.912654886,4.611448436,11.86990036,,,,,,,,,
8.23030547,4.930148043,4.578228496,11.85438524,,,,,,,,,
8.342365882,4.934473933,4.582906172,11.85438524,,,,,,,,,
8.355130628,4.935193099,4.583176079,11.86076146,,,,,,,,,
8.38017917,4.937347498,4.562616485,11.85367426,,,,,,,,,
8.40234335,4.939497266,4.531983174,11.85722414,,,,,,,,,
8.571823412,4.941642423,4.498914826,11.85225077,,,,,,,,,
8.562229653,4.925077406,4.669993979,11.84868316,,,,,,,,,
8.47945394,4.910446567,4.591255829,11.84581988,,,,,,,,,
8.442607567,4.891100725,4.610227377,11.84294838,,,,,,,,,
8.513779371,4.879006852,4.570169755,11.83428406,,,,,,,,,
8.485752059,4.887337078,4.568303899,11.81820185,,,,,,,,,
8.424321037,4.883559212,4.640878005,11.82407989,,,,,,,,,
8.441643873,4.875960391,4.619430029,11.82187967,,,,,,,,,
8.389389365,4.894101478,4.517793651,11.82992359,,,,,,,,,
8.506029104,4.94875989,4.552919591,11.82919499,,,,,,,,,
8.459845819,4.976043849,4.537438305,11.82114519,,,,,,,,,
8.411766007,4.97397131,4.523372105,11.8100627,,,,,,,,,
8.560511268,4.97397131,4.560547227,11.8070865,,,,,,,,,
8.394356407,4.984291319,4.487470522,11.79810441,,,,,,,,,
8.324219906,4.987707789,4.530258044,11.79358292,,,,,,,,,
8.26182599,4.953712147,4.477276585,11.79358292,,,,,,,,,
7.898771221,4.924350925,4.476295363,11.7905572,,,,,,,,,
7.332552315,4.877484781,4.420231207,11.76834258,,,,,,,,,
7.050937453,4.84103251,4.333609463,11.75508702,,,,,,,,,
7.323645853,4.762173935,4.300545393,11.71993963,,,,,,,,,
6.871754975,4.702296897,4.271231936,11.67589429,,,,,,,,,
6.527168132,4.672828834,4.126550344,11.66564655,,,,,,,,,
