Series id,Year,Period,Value
LNU04034134Q,2000,Q01,2.00
LNU04034134Q,2000,Q02,2.20
LNU04034134Q,2000,Q03,2.40
LNU04034134Q,2000,Q04,6.40
LNU04034134Q,2001,Q01,4.50
LNU04034134Q,2001,Q02,4.40
LNU04034134Q,2001,Q03,5.80
LNU04034134Q,2001,Q04,4.80
LNU04034134Q,2002,Q01,3.00
LNU04034134Q,2002,Q02,0.60
LNU04034134Q,2002,Q03,2.20
LNU04034134Q,2002,Q04,2.20
LNU04034134Q,2003,Q01,1.60
LNU04034134Q,2003,Q02,7.40
LNU04034134Q,2003,Q03,7.30
LNU04034134Q,2003,Q04,1.60
LNU04034134Q,2004,Q01,4.40
LNU04034134Q,2004,Q02,8.40
LNU04034134Q,2004,Q03,5.90
LNU04034134Q,2004,Q04,4.40
LNU04034134Q,2005,Q01,5.90
LNU04034134Q,2005,Q02,2.60
LNU04034134Q,2005,Q03,2.20
LNU04034134Q,2005,Q04,4.40
LNU04034134Q,2006,Q01,3.10
LNU04034134Q,2006,Q02,6.60
LNU04034134Q,2006,Q03,4.40
LNU04034134Q,2006,Q04,2.70
LNU04034134Q,2007,Q01,5.80
LNU04034134Q,2007,Q02,4.40
LNU04034134Q,2007,Q03,2.20
LNU04034134Q,2007,Q04,4.00
LNU04034134Q,2008,Q01,6.50
LNU04034134Q,2008,Q02,7.60
LNU04034134Q,2008,Q03,6.80
LNU04034134Q,2008,Q04,6.70
LNU04034134Q,2009,Q01,10.60
LNU04034134Q,2009,Q02,6.90
LNU04034134Q,2009,Q03,9.20
LNU04034134Q,2009,Q04,12.10
LNU04034134Q,2010,Q01,10.70
LNU04034134Q,2010,Q02,10.20
LNU04034134Q,2010,Q03,6.80
LNU04034134Q,2010,Q04,8.30
LNU04034134Q,2011,Q01,8.80
LNU04034134Q,2011,Q02,6.00
LNU04034134Q,2011,Q03,6.30
LNU04034134Q,2011,Q04,3.50
LNU04034134Q,2012,Q01,7.60
LNU04034134Q,2012,Q02,5.60
LNU04034134Q,2012,Q03,5.60
LNU04034134Q,2012,Q04,3.70
LNU04034134Q,2013,Q01,6.20
LNU04034134Q,2013,Q02,6.20
LNU04034134Q,2013,Q03,5.80
LNU04034134Q,2013,Q04,6.70
LNU04034134Q,2014,Q01,6.30
LNU04034134Q,2014,Q02,2.00
LNU04034134Q,2014,Q03,2.10
LNU04034134Q,2014,Q04,3.10
LNU04034134Q,2015,Q01,4.00
LNU04034134Q,2015,Q02,2.80
LNU04034134Q,2015,Q03,2.10
LNU04034134Q,2015,Q04,4.20
LNU04034134Q,2016,Q01,2.80
LNU04034134Q,2016,Q02,4.90
LNU04034134Q,2016,Q03,3.70
LNU04034134Q,2016,Q04,3.00
LNU04034134Q,2017,Q01,1.30
LNU04034134Q,2017,Q02,4.50
LNU04034134Q,2017,Q03,3.10
LNU04034134Q,2017,Q04,2.90
LNU04034134Q,2018,Q01,6.10
LNU04034134Q,2018,Q02,3.40
LNU04034134Q,2018,Q03,3.90
LNU04034134Q,2018,Q04,2.90
LNU04034134Q,2019,Q01,2.60
LNU04034134Q,2019,Q02,0.10
LNU04034134Q,2019,Q03,1.00
LNU04034134Q,2019,Q04,2.10
LNU04034134Q,2020,Q01,0.50
LNU04034134Q,2020,Q02,8.40
LNU04034134Q,2020,Q03,4.70
LNU04034134Q,2020,Q04,9.60
LNU04034134Q,2021,Q01,5.00
LNU04034134Q,2021,Q02,3.20
LNU04034134Q,2021,Q03,3.90
LNU04034134Q,2021,Q04,4.40
LNU04034134Q,2022,Q01,1.90
LNU04034134Q,2022,Q02,4.30
LNU04034134Q,2022,Q03,2.40
LNU04034134Q,2022,Q04,5.10
LNU04034134Q,2023,Q01,2.10
LNU04034134Q,2023,Q02,3.70
LNU04034134Q,2023,Q03,3.00
LNU04034134Q,2023,Q04,5.40
LNU04034134Q,2024,Q01,7.00
LNU04034134Q,2024,Q02,3.50
