prd,unint,capult,rwshre
4.188,6.03,4.373,3.399
4.185,6.259,4.386,3.383
4.183,6.058,4.384,3.387
4.179,6.218,4.386,3.391
4.186,6.049,4.387,3.392
4.204,6.002,4.379,3.366
4.233,5.706,4.38,3.332
4.251,6.081,4.36,3.303
4.246,5.997,4.294,3.301
4.241,5.838,4.302,3.327
4.235,6.201,4.332,3.318
4.243,5.996,4.344,3.323
4.254,6.136,4.353,3.308
4.273,6.411,4.349,3.293
4.287,6.133,4.353,3.261
4.305,6.038,4.358,3.235
4.319,6.334,4.358,3.197
4.331,6.038,4.364,3.184
4.35,5.441,4.368,3.157
4.346,5.224,4.375,3.154
4.362,5.712,4.377,3.156
4.358,5.309,4.371,3.159
4.365,5.494,4.365,3.139
4.372,5.472,4.39,3.143
4.383,5.345,4.383,3.11
4.39,6.222,4.386,3.098
4.402,5.717,4.392,3.077
4.41,5.075,4.391,3.078
4.417,4.945,4.386,3.055
4.412,5.258,4.384,3.061
4.396,5.875,4.385,3.077
4.385,5.686,4.377,3.084
4.388,5.704,4.378,3.073
4.404,5.948,4.369,3.032
4.382,6.281,4.369,3.065
4.35,6.038,4.366,3.096
4.307,6.547,4.358,3.135
4.293,6.158,4.342,3.146
4.305,5.823,4.33,3.137
4.345,6.035,4.32,3.071
4.362,6.113,4.311,3.048
4.36,6.136,4.301,3.045
4.349,5.67,4.294,3.052
4.316,5.944,4.277,3.085
4.255,6.009,4.209,3.145
4.164,5.774,4.254,3.25
4.132,6.245,4.226,3.294
4.157,6.596,4.179,3.262
4.234,6.642,4.183,3.181
4.282,6.992,4.186,3.135
4.305,6.285,4.184,3.092
4.302,6.963,4.193,3.093
4.312,7.01,4.191,3.075
4.331,7.014,4.199,3.053
4.36,7.334,4.206,3.031
4.383,7.011,4.218,3.009
4.391,7.132,4.219,2.999
4.389,7.651,4.224,3.013
4.391,7.619,4.243,3.018
4.401,7.615,4.234,3.023
4.419,7.308,4.251,3.004
4.43,7.203,4.243,2.983
4.433,6.998,4.252,2.975
4.409,7.343,4.26,3.003
4.394,7.575,4.264,3.027
4.39,7.441,4.267,3.021
4.401,7.517,4.267,3.021
4.407,7.102,4.273,3.05
4.417,7.436,4.274,3.044
4.422,7.479,4.266,3.025
4.419,7.193,4.277,3.025
4.408,7.017,4.286,3.03
4.388,7.272,4.286,3.053
4.372,7.189,4.285,3.056
4.365,7.346,4.298,3.061
4.37,7.352,4.292,3.057
4.367,7.512,4.28,3.054
4.35,7.294,4.283,3.064
4.32,7.301,4.283,3.09
4.301,7.075,4.287,3.099
4.287,7.234,4.292,3.105
4.294,7.024,4.292,3.116
4.3,7.335,4.281,3.089
4.287,7.395,4.284,3.114
4.274,7.215,4.291,3.131
4.267,7.533,4.286,3.124
4.259,7.011,4.281,3.127
4.259,7.215,4.279,3.135
4.258,6.505,4.263,3.124
4.257,6.969,4.263,3.125
4.258,6.815,4.251,3.13
4.253,6.963,4.25,3.123
4.244,7.209,4.251,3.132
4.236,7.185,4.248,3.137
4.245,7.066,4.245,3.133
4.259,7.334,4.253,3.123
4.277,6.754,4.242,3.112
4.286,6.724,4.232,3.111
4.287,6.579,4.232,3.1
4.276,6.906,4.234,3.123
4.27,7.18,4.242,3.129
4.266,7.021,4.242,3.127
4.264,7,4.242,3.138
