lnee,lnprdty,urintensity,lnrw
638.7720716,603.6845022,593.4260351,366.4059894
638.3962612,603.3228329,511.507947,367.5931759
636.9215817,604.2709795,531.9764164,368.2077969
636.3769208,604.8875981,520.6393166,368.2517439
636.066324,605.4521313,560.8794949,367.7429131
634.575916,607.3414785,523.1984822,366.5407305
631.9202321,612.0202649,586.0410613,364.6727973
630.0840839,617.406653,596.8461118,362.1633124
628.8360293,621.4319982,638.2194659,359.0325985
628.1705842,622.3792412,638.0824085,357.1714389
626.8016155,624.3416326,619.5966382,356.5328729
626.7333367,624.1107126,638.8196077,357.0973446
627.2820401,621.1431997,619.2057713,358.8517155
626.8774262,623.281147,613.9910705,359.516801
626.0403306,623.8593078,625.5367278,359.0965234
625.0361268,626.4493552,608.5159544,357.634092
624.9531128,628.049764,615.1117762,355.1805959
625.8682398,628.2926721,648.5862942,353.7108381
625.8433578,629.1183473,622.4313772,353.1790655
625.0361268,628.8578659,580.2858181,353.5421854
624.0529224,626.5059239,628.3602886,358.2905709
624.0607174,624.4491051,612.6334088,360.5210225
623.3096137,623.0892108,608.3566781,360.0370262
622.3171329,626.4459592,618.729987,357.427782
623.0816037,632.4398043,642.2014244,350.2144315
623.8578499,633.5874524,615.1550268,347.0445151
623.533187,635.5523819,562.1073974,345.0113033
621.4948041,639.9573079,559.8084942,346.2753145
621.080086,640.233296,594.0131197,346.8457356
621.9456327,640.2885307,507.5014291,345.392798
623.2448017,638.5160907,590.9163567,346.1775565
623.0934101,635.3647604,624.5649694,348.0175331
624.4807472,627.2827934,635.2159958,353.2870991
625.5615676,630.5703312,610.6913383,346.6273195
623.9944406,630.328984,600.941439,345.3297415
621.6466371,634.6880586,642.4940999,348.8099621
618.8120376,648.445601,684.046986,338.9723704
617.3306822,646.6139719,704.4420383,339.8370074
616.0510877,649.0149037,730.0581158,336.4380316
616.2261618,649.1098681,774.4728975,335.6172769
616.7726113,650.5253959,732.2777786,334.2437785
616.3525308,651.2524403,752.5121355,335.111853
615.9158811,652.3946017,749.9011864,334.5122743
615.2583747,651.9275573,737.8706735,333.9680346
615.5558486,647.7114212,740.5650979,335.4295706
616.9819916,646.9756142,746.5152699,332.5732126
618.3798314,643.1610627,733.5209486,334.9134561
618.3880814,643.6626664,740.2072997,334.7287381
619.311885,639.8809147,740.8725492,337.7854488
619.4609452,640.8973798,696.0544494,337.8031298
619.8946087,641.2046219,712.8069215,337.6253229
619.7054939,639.6619715,735.7249009,339.1818361
620.3284225,643.4464899,684.3011106,335.301677
619.8478716,645.7230818,710.0057736,335.2841679
619.3241449,644.7643535,728.1605887,337.3367865
618.5591149,648.8228303,708.1873808,335.2912738
619.6179327,645.3134299,678.4412508,338.6272958
620.5224207,647.2058222,676.1247162,336.7616755
621.4348065,646.5225669,679.9983992,337.950747
621.666598,647.0238921,639.0251906,339.9144633
621.8938708,649.6471406,672.5421662,340.9164731
622.6536669,647.3455256,667.712989,342.2682509
623.1799476,649.2754656,608.338516,339.9215661
623.4410726,650.26854,557.9118256,339.4098717
624.5583373,655.0021283,590.1329957,333.8655991
624.8758286,656.1528347,654.5644329,331.0762745
625.0419159,656.1895567,647.9170005,330.9910529
624.1970315,654.6611511,652.1563256,333.1323837
624.3914442,655.0824376,577.7395976,332.7916289
626.1109932,653.9660453,642.378906,333.7428876
627.0232002,653.6342506,602.5646579,333.4055175
627.9215367,653.4939863,591.6332893,332.3492822
628.5439279,652.1953502,555.9824257,332.5233962
629.7974507,651.6463859,608.5975598,331.9998158
631.0409067,650.8046016,603.4689232,332.6444481
631.6442404,652.2903029,626.5068925,332.1394736
632.5487358,652.4883029,584.4977601,333.3544912
632.6864781,653.5407236,516.8970636,332.8023265
632.28704,656.9539539,537.9061664,331.2423385
632.6507191,656.171031,508.2567304,332.2005424
631.2950041,657.1804325,583.6721814,333.6683213
627.6267479,660.3457707,566.8962739,336.7191882
628.0021237,661.8807838,631.4007621,334.4528814
627.4762021,661.8841621,606.5041423,335.3234559
628.575598,659.3235442,623.4659535,335.1959864
629.3788896,664.5939216,609.4655883,328.8060223
629.3363824,664.8761667,617.0689205,328.5181803
629.9188189,668.3465477,601.015475,323.8660685
633.0130804,665.6064923,595.7898558,322.8376789
634.463586,661.4066685,546.0908554,323.8690064
634.6635861,660.3634864,603.0410367,324.9580503
633.7533445,666.4953935,544.5775652,319.6729194
633.221334,662.7123082,571.2240357,323.0256029
633.9353507,661.6426118,582.8656811,322.8769918
632.9899143,664.3234537,526.274711,319.8953262
633.0077348,667.8731436,577.0207784,316.2422282
