rwshare,urintensity,capult.chem,ppi.chem
3.399,6.029,4.373,5.208
3.383,6.259,4.386,5.212
3.387,6.058,4.384,5.219
3.391,6.218,4.386,5.225
3.392,6.049,4.387,5.225
3.366,6.002,4.379,5.222
3.332,5.706,4.38,5.227
3.303,6.081,4.36,5.228
3.301,5.997,4.294,5.235
3.327,5.838,4.302,5.253
3.318,6.201,4.332,5.266
3.323,5.996,4.344,5.267
3.308,6.136,4.353,5.277
3.293,6.411,4.349,5.279
3.261,6.133,4.353,5.279
3.235,6.038,4.358,5.277
3.197,6.334,4.358,5.281
3.184,6.038,4.364,5.284
3.157,5.441,4.368,5.286
3.154,5.224,4.375,5.287
3.156,5.712,4.377,5.288
3.159,5.309,4.371,5.284
3.139,5.494,4.365,5.281
3.143,5.472,4.39,5.283
3.11,5.345,4.383,5.285
3.098,6.222,4.386,5.289
3.077,5.717,4.392,5.295
3.078,5.075,4.391,5.304
3.055,4.945,4.386,5.308
3.061,5.258,4.384,5.312
3.077,5.875,4.385,5.316
3.084,5.686,4.377,5.323
3.073,5.704,4.378,5.323
3.032,5.948,4.369,5.33
3.065,6.281,4.369,5.343
3.096,6.038,4.366,5.349
3.135,6.547,4.358,5.364
3.146,6.158,4.342,5.374
3.137,5.823,4.33,5.386
3.071,6.035,4.32,5.399
3.048,6.113,4.311,5.414
3.045,6.136,4.301,5.432
3.052,5.67,4.294,5.457
3.085,5.944,4.277,5.473
3.145,6.009,4.209,5.482
3.25,5.774,4.254,5.478
3.294,6.245,4.226,5.457
3.262,6.596,4.179,5.437
3.181,6.642,4.183,5.424
3.135,6.992,4.186,5.417
3.092,6.285,4.184,5.414
3.093,6.963,4.193,5.41
3.075,7.01,4.191,5.406
3.053,7.014,4.199,5.404
3.031,7.334,4.206,5.412
3.009,7.011,4.218,5.412
2.999,7.132,4.219,5.417
3.013,7.651,4.224,5.416
3.018,7.619,4.243,5.418
3.023,7.615,4.234,5.426
3.004,7.308,4.251,5.432
2.983,7.203,4.243,5.444
2.975,6.998,4.252,5.447
3.003,7.343,4.26,5.456
