,chemlbrdvty
1,423.062859
2,423.1161076
3,423.2225198
4,423.3819261
5,423.5940734
6,423.7887821
7,423.9661531
8,424.1262778
9,424.2692386
10,424.4061926
11,424.5371643
12,424.6621769
13,424.7812524
14,424.8058492
15,424.7360371
16,424.5716179
17,424.3121242
18,424.2099615
19,424.2656126
20,424.4788143
21,424.848562
22,425.1486949
23,425.3798346
24,425.5424567
25,425.6368944
26,426.1899852
27,427.1941818
28,428.6360269
29,430.4967401
30,431.8264502
31,432.6457441
32,432.9669906
33,432.794975
34,432.6178939
35,432.4357209
36,432.2484286
37,432.055989
38,432.4906889
39,433.5444199
40,435.1978624
41,437.4216388
42,438.7387835
43,439.1843502
44,438.769953
45,437.4847944
46,436.8157306
47,436.7752438
48,437.3640955
49,438.5712796
50,439.727795
51,440.835218
52,441.8950195
53,442.9085728
54,443.3440465
55,443.2089569
56,442.5009805
57,441.2078196
58,441.073997
59,442.1041495
60,444.2629479
61,447.4790226
62,449.8690442
63,451.4890604
64,452.3753153
65,452.5470607
66,453.0138442
67,453.7715591
68,454.813633
69,456.1312146
70,457.7043288
71,459.5208313
72,461.5672464
73,463.8290692
74,465.1313085
75,465.5106813
76,464.9776736
77,463.5175261
78,463.5898412
79,465.1913231
80,468.2503659
81,472.6373095
82,475.027178
83,475.5580915
84,474.2596789
85,471.0588096
86,467.952031
87,464.9516683
88,462.070561
89,459.3219625
90,458.1256389
91,458.5380306
92,460.5395071
93,464.037384
94,466.4280885
95,467.7873117
96,468.1562241
97,467.5457739
98,466.8023251
99,465.9229175
100,464.903983
101,463.741295
102,463.1221618
103,463.0567693
104,463.5462019
105,464.5823831
106,465.3142109
107,465.7482654
108,465.8883966
109,465.735839
110,465.391939
111,464.8547145
112,464.1210371
113,463.1865704
114,462.8792991
115,463.205016
116,464.1575817
117,465.7193055
118,466.3425188
119,466.0446615
120,464.8174305
121,462.6259928
122,460.8900045
123,459.6342901
124,458.877442
125,458.6309312
126,458.1263397
127,457.3597387
128,456.3250702
129,455.0139841
130,453.9732735
131,453.2116153
132,452.7354945
133,452.5490239
134,452.8671039
135,453.6849516
136,454.9904299
137,456.7646369
138,457.4840938
139,457.1714013
140,455.8167839
141,453.3770482
142,451.4456977
143,450.0537148
144,449.2243095
145,448.971672
146,448.7817741
147,448.6549749
148,448.591515
