,valueadded.Chemical.products
1,187.18
2,187.43
3,187.92
4,188.67
5,189.66
6,191.72
7,194.83
8,198.99
9,204.22
10,207.74
11,209.56
12,209.67
13,208.08
14,208.45
15,210.79
16,215.08
17,221.33
18,226.02
19,229.14
20,230.71
21,222.77
22,219.69
23,221.73
24,227.70
25,243.89
26,252.27
27,259.41
28,259.49
29,262.73
30,270.34
31,270.95
32,267.69
33,254.60
34,271.80
35,273.97
36,262.26
37,285.68
38,281.22
39,290.59
40,294.36
41,301.58
42,301.16
43,304.23
44,306.21
45,301.15
46,310.32
47,304.63
48,307.74
49,301.97
50,304.90
51,307.92
52,305.10
53,318.66
54,321.08
55,317.73
56,328.41
57,322.46
58,333.16
59,333.51
60,330.95
61,331.26
62,328.64
63,336.54
64,336.58
65,352.10
66,360.25
67,360.71
68,355.14
69,360.36
70,360.26
71,364.14
72,370.03
73,370.74
74,375.32
75,376.79
76,383.87
77,385.60
78,393.37
79,404.50
80,404.77
81,402.18
82,392.87
83,404.27
84,402.70
85,404.71
86,435.58
87,443.59
88,474.49
89,492.00
90,495.60
91,495.00
92,522.90
93,502.80
94,501.40
95,515.10
96,533.50
97,536.60
