,Chemical UR
1,3.6
2,2.3
3,2.1
4,1.6
5,3.2
6,2.7
7,3.5
8,3.4
9,5.1
10,5.4
11,4.7
12,4.5
13,3.6
14,3.3
15,4
16,3.1
17,3.3
18,4.9
19,3.3
20,2.3
21,4.4
22,3.7
23,4.2
24,3.7
25,5.2
26,4.2
27,2
28,2.3
29,3
30,1.7
31,3.1
32,3.8
33,4.9
34,4.3
35,2.9
36,5.3
37,7.2
38,8
39,8.1
40,11.3
41,7.7
42,7.9
43,8.1
44,6.6
45,6.1
46,6.7
47,5.8
48,5.8
49,6.4
50,4.5
51,4.2
52,5.8
53,4.1
54,5.1
55,6.2
56,4.1
57,3.8
58,3.7
59,3.8
60,2.7
61,3.9
62,3.6
63,2.9
64,2.2
65,2.7
66,4
67,3
68,3.4
69,2.1
70,3.7
71,3.3
72,1.7
73,2.1
74,3.1
75,3
76,3.2
77,2.5
78,1.5
79,1.9
80,1.4
81,3
82,5.4
83,5.2
84,3.5
85,2.8
86,2.8
87,2.9
88,2.3
89,2.4
90,2.2
91,3.5
92,2.1
93,2.3
94,2.6
95,1.7
96,2.5
97,2.4
98,2.6
