,chemmfgqrtly
1,624.30
2,623.13
3,621.83
4,611.83
5,604.60
6,602.57
7,599.60
8,591.97
9,588.17
10,590.00
11,586.97
12,579.80
13,581.87
14,588.57
15,594.47
16,595.50
17,595.00
18,597.43
19,596.80
20,593.27
21,593.67
22,597.87
23,601.47
24,600.47
25,597.77
26,596.83
27,594.87
28,590.73
29,588.73
30,591.80
31,594.47
32,598.30
33,601.37
34,603.53
35,601.07
36,596.57
37,595.47
38,597.13
39,593.90
40,594.20
41,594.50
42,592.27
43,583.60
44,580.43
45,578.63
46,570.07
47,555.13
48,545.03
49,538.27
50,534.70
51,527.43
52,527.07
53,529.97
54,527.83
55,523.43
56,518.20
57,517.77
58,522.53
59,522.40
60,518.20
61,513.13
62,513.17
63,509.33
64,504.30
65,508.17
66,512.13
67,510.47
68,500.17
69,498.10
70,502.43
71,509.00
72,508.23
73,515.33
74,520.93
75,512.83
76,500.93
77,486.93
78,479.77
79,473.67
80,474.50
81,477.10
82,475.10
83,473.03
84,469.93
85,471.33
86,478.10
87,484.83
88,484.87
89,489.37
90,490.10
91,492.23
92,491.30
93,494.37
94,492.00
95,489.43
96,485.70
97,490.87
98,495.33
99,499.87
100,501.03
101,502.17
102,506.00
103,508.67
104,510.00
105,515.73
106,517.37
107,518.23
108,513.87
109,514.87
110,523.80
111,528.60
112,533.37
113,536.70
114,543.47
115,550.27
116,553.60
117,558.63
118,559.40
119,557.17
120,559.20
121,551.67
122,531.80
123,533.80
124,531.00
125,536.87
126,541.20
127,540.97
128,544.13
129,561.23
130,569.43
131,570.57
132,565.40
133,562.40
134,566.43
135,561.10
136,561.20
137,568.00
138,568.47
