rwshre,unint,capult,prd,,,,,,,,,,,,,,,,,,,,,,,,,
3.399,6.03,4.373,4.188,,,,,,,,,,,,,,,,,,,,,,,,,
3.383,6.259,4.386,4.185,,,,,,,,,,,,,,,,,,,,,,,,,chm lbr dd updated.xlsx
3.387,6.058,4.384,4.183,,,,,,,,,,,,,,,,,,,,,,,,,Go to file
3.391,6.218,4.386,4.179,,,,,,,,,,,,,,,,,,,,,,,,,
3.392,6.049,4.387,4.186,,,,,,,,,,,,,,,,,,,,,,,,,
3.366,6.002,4.379,4.204,,,,,,,,,,,,,,,,,,,,,,,,,
3.332,5.706,4.38,4.233,,,,,,,,,,,,,,,,,,,,,,,,,
3.303,6.081,4.36,4.251,,,,,,,,,,,,,,,,,,,,,,,,,
3.301,5.997,4.294,4.246,,,,,,,,,,,,,,,,,,,,,,,,,
3.327,5.838,4.302,4.241,,,,,,,,,,,,,,,,,,,,,,,,,
3.318,6.201,4.332,4.235,,,,,,,,,,,,,,,,,,,,,,,,,
3.323,5.996,4.344,4.243,,,,,,,,,,,,,,,,,,,,,,,,,
3.308,6.136,4.353,4.254,,,,,,,,,,,,,,,,,,,,,,,,,
3.293,6.411,4.349,4.273,,,,,,,,,,,,,,,,,,,,,,,,,
3.261,6.133,4.353,4.287,,,,,,,,,,,,,,,,,,,,,,,,,
3.235,6.038,4.358,4.305,,,,,,,,,,,,,,,,,,,,,,,,,
3.197,6.334,4.358,4.319,,,,,,,,,,,,,,,,,,,,,,,,,
3.184,6.038,4.364,4.331,,,,,,,,,,,,,,,,,,,,,,,,,
3.157,5.441,4.368,4.35,,,,,,,,,,,,,,,,,,,,,,,,,
3.154,5.224,4.375,4.346,,,,,,,,,,,,,,,,,,,,,,,,,
3.156,5.712,4.377,4.362,,,,,,,,,,,,,,,,,,,,,,,,,
3.159,5.309,4.371,4.358,,,,,,,,,,,,,,,,,,,,,,,,,
3.139,5.494,4.365,4.365,,,,,,,,,,,,,,,,,,,,,,,,,
3.143,5.472,4.39,4.372,,,,,,,,,,,,,,,,,,,,,,,,,
3.11,5.345,4.383,4.383,,,,,,,,,,,,,,,,,,,,,,,,,
3.098,6.222,4.386,4.39,,,,,,,,,,,,,,,,,,,,,,,,,
3.077,5.717,4.392,4.402,,,,,,,,,,,,,,,,,,,,,,,,,
3.078,5.075,4.391,4.41,,,,,,,,,,,,,,,,,,,,,,,,,
3.055,4.945,4.386,4.417,,,,,,,,,,,,,,,,,,,,,,,,,
3.061,5.258,4.384,4.412,,,,,,,,,,,,,,,,,,,,,,,,,
3.077,5.875,4.385,4.396,,,,,,,,,,,,,,,,,,,,,,,,,
3.084,5.686,4.377,4.385,,,,,,,,,,,,,,,,,,,,,,,,,
3.073,5.704,4.378,4.388,,,,,,,,,,,,,,,,,,,,,,,,,
3.032,5.948,4.369,4.404,,,,,,,,,,,,,,,,,,,,,,,,,
3.065,6.281,4.369,4.382,,,,,,,,,,,,,,,,,,,,,,,,,
3.096,6.038,4.366,4.35,,,,,,,,,,,,,,,,,,,,,,,,,
3.135,6.547,4.358,4.307,,,,,,,,,,,,,,,,,,,,,,,,,
3.146,6.158,4.342,4.293,,,,,,,,,,,,,,,,,,,,,,,,,
3.137,5.823,4.33,4.305,,,,,,,,,,,,,,,,,,,,,,,,,
3.071,6.035,4.32,4.345,,,,,,,,,,,,,,,,,,,,,,,,,
3.048,6.113,4.311,4.362,,,,,,,,,,,,,,,,,,,,,,,,,
3.045,6.136,4.301,4.36,,,,,,,,,,,,,,,,,,,,,,,,,
3.052,5.67,4.294,4.349,,,,,,,,,,,,,,,,,,,,,,,,,
3.085,5.944,4.277,4.316,,,,,,,,,,,,,,,,,,,,,,,,,
3.145,6.009,4.209,4.255,,,,,,,,,,,,,,,,,,,,,,,,,
3.25,5.774,4.254,4.164,,,,,,,,,,,,,,,,,,,,,,,,,
3.294,6.245,4.226,4.132,,,,,,,,,,,,,,,,,,,,,,,,,
3.262,6.596,4.179,4.157,,,,,,,,,,,,,,,,,,,,,,,,,
3.181,6.642,4.183,4.234,,,,,,,,,,,,,,,,,,,,,,,,,
