Date,            Compensation of employees,Domestic industries,    Private industries,"        Agriculture, forestry, fishing, and hunting",            Farms1,"            Forestry, fishing, and related activities",        Mining,            Oil and gas extraction,"            Mining, except oil and gas",            Support activities for mining,        Utilities,        Construction,        Manufacturing,            Durable goods,                Wood products,                Nonmetallic mineral products,                Primary metals,                Fabricated metal products,                Machinery,                Computer and electronic products,"                Electrical equipment, appliances, and components","                Motor vehicles, bodies and trailers, and parts",                Other transportation equipment,                Furniture and related products,                Miscellaneous manufacturing,            Nondurable goods,                Food and beverage and tobacco products,                Textile mills and textile product mills,                Apparel and leather and allied products,                Paper products,                Printing and related support activities,                Petroleum and coal products,                Chemical products,                Plastics and rubber products,        Wholesale trade,            Durable goods,            Nondurable goods,        Retail trade,            Motor vehicle and parts dealers,            Food and beverage stores,            General merchandise stores,            Other retail2,        Transportation and warehousing,            Air transportation,            Rail transportation,            Water transportation,            Truck transportation,            Transit and ground passenger transportation,            Pipeline transportation,            Other transportation and support activities3,            Warehousing and storage,        Information,            Publishing industries (includes software),            Motion picture and sound recording industries,            Broadcasting and telecommunications,            Information and data processing services,        Finance and insurance,"            Federal Reserve banks, credit intermediation, and related activities","            Securities, commodity contracts, and investments",            Insurance carriers and related activities,"            Funds, trusts, and other financial vehicles",        Real estate and rental and leasing,            Real estate,            Rental and leasing services and lessors of intangible assets4,"        Professional, scientific, and technical services",            Legal services,            Computer systems design and related services,"            Miscellaneous professional, scientific, and technical services5",        Management of companies and enterprises6,        Administrative and waste management services,            Administrative and support services,            Waste management and remediation services,        Educational services,        Health care and social assistance,            Ambulatory health care services,            Hospitals,            Nursing and residential care facilities,            Social assistance,"        Arts, entertainment, and recreation","            Performing arts, spectator sports, museums, and related activities","            Amusements, gambling, and recreation industries",        Accommodation and food services,            Accommodation,            Food services and drinking places,"        Other services, except government",    Government,        Federal,            General government,                Civilian,                Military7,            Government enterprises,        State and local,            General government,                Education,                Other8
1998,1.212722067,1.212490197,1.189980045,1.149461345,1.142038658,1.163590604,1.214684865,1.199145133,1.258139535,1.174220787,1.236989408,1.196946688,1.225262543,1.226064898,1.208412098,1.210766282,1.218356285,1.21065245,1.190787906,1.197734055,1.317474454,1.249733154,1.255977673,1.196589374,1.335867095,1.223722189,1.230493638,1.197919676,1.205814584,1.204100125,1.178759127,1.447236181,1.245761452,1.20109743,1.193263539,1.194028661,1.191994854,1.201416997,1.190097622,1.222689823,1.210432183,1.196268077,1.24034759,1.285813469,1.294173303,1.271434546,1.201010693,1.151556834,1.150145302,1.244114286,1.287005887,1.1778141,1.181807412,1.165120369,1.180931699,1.167644867,1.192321698,1.187891159,1.18892352,1.199816926,1.188916877,1.160135031,1.164779937,1.149801806,1.165954176,1.180425547,1.158948038,1.164231425,1.131956183,1.143876651,1.14295143,1.155497382,1.178117048,1.184055091,1.185934785,1.190483458,1.167241666,1.173744912,1.157753808,1.150330984,1.164421002,1.130459388,1.13450118,1.128901063,1.16962095,1.324345905,1.310501364,1.30948254,1.323774409,1.28624556,1.314387788,1.329085964,1.329608318,1.332211512,1.326661378
1999,1.21192725,1.211583149,1.186978649,1.187653625,1.163213557,1.233348751,1.215293789,1.214489615,1.24286886,1.176007473,1.316041946,1.192571448,1.232946817,1.234084164,1.21583338,1.217199504,1.226304482,1.21962542,1.201744407,1.201820544,1.325530194,1.254672214,1.274366155,1.203933418,1.345246199,1.230717614,1.233713818,1.203067377,1.219184123,1.212860639,1.186591444,1.454198975,1.254617698,1.205265285,1.164280459,1.164328916,1.164187112,1.180472538,1.166298726,1.204137459,1.19441596,1.174694962,1.239273522,1.316621564,1.340655015,1.310624493,1.239305668,1.191779227,1.19267763,1.193005319,1.150668608,1.172478778,1.173468867,1.169564956,1.178230578,1.154920567,1.184295756,1.180935825,1.176841872,1.194760735,1.176608187,1.168497114,1.171558763,1.161585839,1.149291754,1.167130258,1.137985175,1.148713395,1.127324507,1.12960775,1.128947452,1.138012554,1.183245627,1.197645255,1.200334259,1.204791649,1.180587353,1.181721314,1.14700189,1.138179029,1.155167059,1.158796466,1.163284758,1.157041023,1.164802103,1.336704072,1.316571852,1.314698217,1.333211485,1.284597651,1.323814827,1.343418446,1.343991406,1.346530363,1.341110244
2000,1.211857293,1.211528982,1.187188213,1.166055365,1.157631114,1.181950509,1.212709323,1.223036074,1.238855308,1.165014078,1.308439951,1.198505637,1.232268171,1.234388999,1.214492912,1.215482245,1.229840294,1.223622576,1.205273919,1.19404855,1.33211228,1.264404054,1.280086251,1.206616572,1.347855905,1.227967862,1.225525459,1.194247554,1.216025739,1.213138686,1.187637075,1.471392539,1.251294769,1.205827799,1.160575106,1.160355369,1.160936085,1.174351864,1.155772918,1.194589704,1.201092802,1.168052179,1.240946508,1.295121632,1.329926541,1.300796813,1.223839154,1.181121874,1.157832744,1.219521307,1.220396947,1.152896513,1.15947766,1.154856237,1.158822651,1.126791592,1.180463367,1.180875445,1.167131056,1.194754744,1.166488794,1.163928387,1.166346523,1.158583599,1.146060624,1.165379246,1.133615676,1.146091949,1.222651169,1.15522768,1.15451755,1.165303176,1.168246445,1.191745922,1.193709368,1.199650637,1.174830942,1.177498195,1.151152131,1.14212891,1.159557344,1.153809665,1.156253617,1.152828173,1.170170013,1.33803077,1.314465506,1.312477309,1.329438767,1.284299517,1.321993127,1.345888074,1.346495977,1.349035621,1.343582745
2001,1.218973138,1.218620538,1.191964453,1.188558196,1.162509069,1.243856108,1.196183514,1.211358364,1.223906813,1.14778626,1.355598028,1.194855546,1.236230925,1.231573453,1.237038312,1.234248255,1.227135328,1.214955333,1.200083288,1.190930391,1.326958749,1.253931355,1.272891641,1.19763796,1.344764304,1.245405873,1.228695057,1.199366065,1.22629292,1.226170333,1.20733209,1.555956214,1.275937399,1.22424376,1.157819995,1.158290133,1.157056502,1.176480554,1.160557894,1.197459949,1.197881909,1.170290301,1.241203781,1.269780019,1.343184609,1.285970578,1.239942471,1.19739479,1.151886792,1.220262022,1.203554601,1.164582067,1.174277787,1.168369475,1.174689121,1.124312875,1.188244713,1.185993508,1.1779987,1.201750252,1.176352705,1.155404637,1.158069985,1.149363072,1.156827718,1.175658229,1.143548239,1.156844865,1.253475784,1.160368807,1.159284072,1.175347089,1.158605436,1.196919667,1.203561454,1.197317723,1.177428748,1.191063382,1.143767761,1.136437842,1.150630493,1.165045394,1.167704298,1.164032228,1.177647614,1.352862172,1.32711039,1.323898543,1.350512599,1.282438586,1.339897175,1.361119769,1.361365484,1.364263724,1.358047594
2002,1.228043996,1.227667894,1.20012466,1.193541085,1.160683379,1.262012798,1.165916797,1.181121312,1.184283661,1.125748503,1.37034251,1.193770414,1.245846824,1.245900494,1.237799621,1.237071026,1.246290549,1.226442586,1.213046435,1.214030723,1.344619221,1.269258546,1.272820693,1.210549001,1.343419336,1.245750177,1.23396046,1.194531356,1.216489921,1.230653788,1.209650582,1.438724549,1.28506552,1.225815639,1.165125014,1.165286265,1.164876487,1.192883353,1.171993701,1.213701769,1.220040542,1.186999597,1.248630622,1.30949552,1.341184331,1.264796442,1.25367293,1.205635948,1.153705398,1.21785369,1.17186433,1.187378817,1.182074077,1.184554974,1.21000397,1.138150146,1.195891919,1.19317248,1.191225717,1.203013247,1.219938335,1.189276887,1.190215379,1.186996875,1.16635468,1.182704324,1.151934311,1.166617515,1.246945913,1.161751878,1.161030093,1.171455939,1.182903407,1.204408417,1.209089556,1.202618845,1.195761581,1.200628994,1.166270513,1.156881128,1.175219534,1.161034694,1.156771196,1.162578984,1.182827581,1.358027464,1.337193147,1.336290541,1.356788517,1.305602621,1.341133491,1.364936277,1.365193367,1.368194426,1.361767547
2003,1.236526542,1.236127197,1.206379059,1.19677029,1.165813133,1.258260968,1.18952091,1.196477084,1.216381656,1.152194506,1.343869002,1.205429932,1.257511016,1.255197075,1.250934606,1.247268351,1.242227923,1.235774818,1.223996293,1.217496873,1.357524379,1.276031998,1.291730959,1.220602686,1.357686454,1.261804031,1.254861706,1.218883809,1.234162317,1.242494046,1.219585245,1.527749874,1.287748854,1.237861759,1.162870596,1.162642751,1.163213465,1.212045829,1.192814842,1.233024348,1.232649679,1.207098215,1.256620036,1.339744253,1.33390397,1.268641811,1.258829933,1.220824896,1.1660401,1.227007702,1.16860061,1.224294697,1.217034285,1.21541653,1.249295724,1.175979095,1.17839348,1.171635933,1.177695031,1.18655775,1.20696143,1.159391885,1.159443068,1.159262716,1.165455366,1.181324676,1.152575786,1.164989133,1.266741744,1.17416621,1.173614388,1.181547408,1.185799427,1.214344194,1.21891393,1.210694162,1.210064401,1.212134622,1.16687631,1.157044737,1.176396848,1.176539419,1.174110435,1.177373408,1.175952043,1.373905851,1.365804089,1.367077748,1.353505847,1.386820598,1.359547461,1.376721124,1.376996668,1.380125449,1.373414197
2004,1.239526037,1.239093236,1.207168803,1.242771277,1.170148781,1.392841554,1.197139232,1.204422452,1.222323131,1.162519802,1.356620337,1.206708468,1.260932377,1.262113848,1.240790176,1.238850991,1.247478311,1.234828243,1.226069594,1.223389134,1.368900393,1.276730086,1.341716118,1.225729821,1.368451549,1.258683236,1.261635341,1.224117473,1.236426045,1.235686383,1.209924665,1.492316855,1.283788449,1.22425187,1.162264323,1.16238868,1.162076539,1.209012499,1.188144942,1.232220659,1.236790571,1.202073466,1.256526636,1.328271473,1.31054175,1.27333536,1.23978525,1.214704421,1.170547514,1.240167909,1.231480137,1.224567704,1.22788745,1.21709996,1.24626428,1.167833218,1.178068087,1.172563692,1.173171118,1.188552895,1.204081633,1.167464467,1.166796782,1.169157097,1.159118934,1.17574787,1.148425457,1.157778946,1.246751771,1.163936311,1.163544661,1.169134737,1.207751864,1.22249329,1.226558019,1.219140476,1.219101289,1.220062501,1.171342177,1.160458657,1.181833785,1.184887505,1.180869378,1.18630362,1.180276785,1.389221695,1.369574437,1.368256642,1.355773605,1.386411965,1.37606716,1.396213898,1.396490731,1.399623405,1.392918075
2005,1.241545678,1.241053776,1.208564346,1.206581926,1.158290401,1.301217248,1.17187694,1.181899395,1.199549512,1.137104995,1.339426335,1.2052042,1.261808641,1.26135698,1.256542647,1.247632534,1.253562533,1.238405841,1.231842891,1.211310811,1.390745256,1.289517357,1.291482964,1.228083867,1.394501903,1.262682051,1.258247293,1.220732377,1.237121295,1.241879833,1.219875916,1.483693257,1.283817691,1.243713018,1.16827906,1.168386561,1.168122729,1.216297549,1.193031207,1.242191845,1.24531619,1.209188017,1.260677643,1.346131172,1.304575925,1.288514633,1.241884353,1.219930942,1.18124804,1.239975218,1.246778235,1.222028237,1.22233003,1.210497648,1.248303041,1.163861186,1.190931287,1.185319408,1.185949694,1.201951566,1.215417867,1.163234452,1.16294331,1.164069117,1.168624214,1.182604315,1.168784251,1.164587573,1.206587197,1.179478485,1.17922698,1.182893255,1.199465313,1.226240712,1.225824154,1.220715052,1.219218576,1.261618777,1.163083778,1.151935338,1.173683336,1.179080858,1.174298345,1.180746182,1.175707011,1.395474721,1.375037972,1.373058964,1.357126394,1.395885616,1.385369426,1.402867983,1.403143344,1.406272603,1.399560447
2006,1.234934508,1.234486228,1.201296716,1.229206431,1.166382434,1.326253396,1.189415914,1.201541027,1.219204581,1.155571964,1.396476983,1.188044962,1.253569166,1.248884294,1.24363217,1.234137698,1.242732784,1.224022018,1.221979106,1.200098133,1.382519398,1.278335311,1.270838903,1.216703029,1.386439147,1.262994918,1.254894078,1.213622545,1.228372927,1.23117449,1.208461651,1.609175258,1.284051589,1.23370056,1.158768709,1.159394197,1.157806343,1.208638252,1.186631445,1.230899217,1.237390975,1.202115353,1.242598608,1.351261182,1.298195697,1.29122273,1.235503255,1.211744726,1.175833333,1.207204849,1.193005884,1.203197694,1.203323081,1.199721475,1.227718565,1.147890898,1.181442664,1.177601624,1.17300005,1.194452781,1.200666667,1.141539534,1.141090573,1.142766973,1.168740259,1.184313636,1.16526772,1.16567508,1.2189426,1.176952612,1.17672693,1.179970458,1.199605498,1.224277592,1.22900623,1.221791609,1.218476263,1.218095855,1.162522866,1.149403266,1.175987107,1.161417813,1.159780207,1.161969245,1.164684282,1.395981147,1.379476609,1.377464591,1.362927419,1.398115168,1.390072885,1.401859382,1.402215287,1.406312216,1.39748668
2007,1.231706093,1.231312327,1.197608419,1.229325962,1.191927745,1.291777813,1.164988482,1.186039183,1.206469323,1.119943688,1.367238128,1.190026451,1.256456073,1.2527254,1.256481235,1.246232,1.250028849,1.22000988,1.222031997,1.201040461,1.379115752,1.283611957,1.287836965,1.222810716,1.391579858,1.26392425,1.258237411,1.237821612,1.246139448,1.237956204,1.212635944,1.473418668,1.28476841,1.241660807,1.155106764,1.155448896,1.154582857,1.20640332,1.188095473,1.228182597,1.230332292,1.199779556,1.247925139,1.343341861,1.294864048,1.26723948,1.241975109,1.207164583,1.165189562,1.220699017,1.208745747,1.215033701,1.210165732,1.220683587,1.229135834,1.178935412,1.173009881,1.177430838,1.153520361,1.190802943,1.223853211,1.15040763,1.151161479,1.148432502,1.159403205,1.185627,1.151027293,1.155373034,1.205271263,1.16467058,1.164143933,1.172112052,1.194804425,1.214437477,1.218982905,1.213034103,1.208296693,1.205293302,1.160121119,1.147111833,1.173653799,1.166917031,1.166703581,1.166996466,1.170067648,1.39599318,1.377762626,1.374843324,1.359964514,1.39614822,1.393723122,1.402399811,1.402666506,1.405723568,1.399148379
