,Compensation of employees,Domestic industries,    Private industries,"        Agriculture, forestry, fishing, and hunting",            Farms1,"            Forestry, fishing, and related activities",        Mining,            Oil and gas extraction,"            Mining, except oil and gas",            Support activities for mining,        Utilities,        Construction,        Manufacturing,            Durable goods,                Wood products,                Nonmetallic mineral products,                Primary metals,                Fabricated metal products,                Machinery,                Computer and electronic products,"                Electrical equipment, appliances, and components","                Motor vehicles, bodies and trailers, and parts",                Other transportation equipment,                Furniture and related products,                Miscellaneous manufacturing,            Nondurable goods,                Food and beverage and tobacco products,                Textile mills and textile product mills,                Apparel and leather and allied products,                Paper products,                Printing and related support activities,                Petroleum and coal products,                Chemical products,                Plastics and rubber products,        Wholesale trade,            Durable goods,            Nondurable goods,        Retail trade,            Motor vehicle and parts dealers,            Food and beverage stores,            General merchandise stores,            Other retail2,        Transportation and warehousing,            Air transportation,            Rail transportation, Water transportation,            Truck transportation,            Transit and ground passenger transportation,            Pipeline transportation,            Other transportation and support activities3,            Warehousing and storage,        Information,            Publishing industries (includes software),            Motion picture and sound recording industries,            Broadcasting and telecommunications,            Information and data processing services,        Finance and insurance,"            Federal Reserve banks, credit intermediation, and related activities","            Securities, commodity contracts, and investments",            Insurance carriers and related activities,"            Funds, trusts, and other financial vehicles",        Real estate and rental and leasing,            Real estate,            Rental and leasing services and lessors of intangible assets4,"        Professional, scientific, and technical services",            Legal services,            Computer systems design and related services,"            Miscellaneous professional, scientific, and technical services5",        Management of companies and enterprises6,        Administrative and waste management services,            Administrative and support services,            Waste management and remediation services,        Educational services,        Health care and social assistance,            Ambulatory health care services,            Hospitals,            Nursing and residential care facilities,            Social assistance,"        Arts, entertainment, and recreation","            Performing arts, spectator sports, museums, and related activities","            Amusements, gambling, and recreation industries",        Accommodation and food services,            Accommodation,            Food services and drinking places,"        Other services, except government",    Government,        Federal,            General government,                Civilian,                Military7,            Government enterprises,        State and local,            General government,                Education,                Other8,            Government enterprises8,Rest of the world,    Receipts from the rest of the world,    Less: Payments to the rest of the world9
1998,5071138,5075701,4146921,27848,18139,9709,35866,12344,14066,9456,43093,253007,834443,549537,20456,23369,33266,74259,74947,118402,28107,71421,49954,21261,34094,284907,66630,20730,17793,31893,33419,10656,67012,36774,289049,179724,109325,362715,69610,61884,49405,181816,180705,33336,16414,3040,53236,9209,3562,43544,18363,189515,59855,19214,85379,25067,350353,123372,104139,121899,944,67702,46816,20885,367110,65575,78353,223182,118526,177755,164513,13242,64357,436213,197234,148214,56163,34602,45832,21548,24284,149813,41837,107976,153018,928781,234412,185847,116328,69519,48564,694369,646300,343596,302703,48070,-4563,2437,7000
1999,5402682,5409932,4429104,29474,18808,10666,34789,12338,13638,8813,47188,278246,870204,576748,21716,24557,33678,76190,76056,128596,29501,77205,50967,22711,35571,293456,69389,20552,16587,32706,34283,11065,70098,38777,302267,189427,112840,380569,73962,63387,51250,191971,191671,36976,17029,3232,58116,10235,3844,44857,17382,219617,68919,19437,98764,32496,375539,130432,116718,127383,1006,73093,50650,22443,404222,68814,93498,241911,126275,192170,178210,13960,69479,460800,206125,156041,59818,38816,49773,23739,26034,164220,46379,117840,159508,980828,241612,191683,120357,71326,49929,739216,688090,366706,321385,51126,-7250,4246,11496
2000,5847146,5854629,4811250,30202,19645,10556,35992,13358,13117,9517,50214,307654,918025,615870,22190,26049,34422,80195,80170,149631,31274,80210,50461,23926,37341,302155,71893,20387,15874,33240,35198,11084,74173,40306,327888,206100,121788,405728,77750,66019,55834,206125,204266,39610,16656,3265,60383,10486,4915,48965,19984,245982,73519,20404,108584,43475,411892,134484,142837,133478,1093,78990,54648,24343,462628,75132,114027,273469,147585,218762,204233,14529,74443,488822,218869,163450,64107,42397,55253,26438,28815,175131,49949,125181,171795,1043379,256305,202447,128009,74438,53858,787074,732479,391822,340656,54595,-7484,4395,11879
2001,6038348,6046343,4934293,31309,20831,10477,38614,14099,13239,11277,53904,325444,881895,582751,21569,26171,31665,77112,74926,136221,30045,73360,51393,22918,37371,299144,73546,18541,14393,32610,34316,12082,74761,38893,330201,204444,125757,416660,81629,68169,57799,209063,207991,41791,16407,3584,61211,10755,4884,49179,20180,247207,71948,22414,108257,44588,445265,150907,150368,142816,1174,81322,56691,24632,477262,81044,112046,284172,150293,224015,208692,15323,79624,524878,234869,177124,68743,44142,57957,27845,30112,183123,50641,132482,177329,1112050,264870,211183,131205,79978,53687,847180,785384,420095,365289,61795,-7994,4512,12507
2002,6135115,6143368,4957991,31636,20789,10847,35761,13251,12358,10152,54652,327111,846528,552593,21534,25882,29314,74071,69567,120047,28038,73815,50783,22469,37073,293936,74836,17562,12733,31981,32715,11235,74138,38737,329135,199645,129490,428467,84850,69925,61390,212302,206300,40779,16058,3697,61183,11081,3783,49127,20592,228422,66351,21720,103632,36719,443298,161163,134107,146841,1187,86131,61064,25067,469179,85176,99185,284818,150454,227751,211852,15899,88687,566084,251753,191861,74368,48102,61333,29615,31718,187975,49799,138176,189088,1185376,290663,236331,143863,92468,54332,894713,829142,442942,386200,65571,-8253,4570,12823
2003,6353606,6362296,5106611,31645,20488,11157,37119,13653,12519,10947,52935,335793,846989,549337,21750,25912,28570,73494,68687,115829,27703,75610,51066,22359,38356,297652,77627,16795,12059,31824,32169,12167,76133,38880,337122,202494,134628,444839,88019,71963,65450,219407,209657,38870,16363,3811,62443,11455,3722,51138,21854,230520,68474,22264,103328,36453,459762,176125,128092,154262,1283,87548,62705,24843,478029,89874,97637,290518,159726,235526,218865,16661,94309,606639,267448,208421,78728,52043,64009,31165,32845,198081,50947,147134,196364,1255684,321905,267708,157073,110635,54197,933779,864904,462941,401964,68875,-8690,4671,13361
2004,6719488,6729301,5406291,34943,22179,12764,41512,15578,13459,12475,55635,357958,873695,572876,23240,26696,30053,77178,71844,119634,28558,76231,56073,23219,40149,300819,78938,16506,11887,31316,32282,12528,78089,39274,357294,214971,142323,459351,90040,72685,68209,228418,222027,38399,16982,4188,65814,12226,3720,55247,25451,238018,68731,24157,106254,38876,497689,183960,148019,164176,1534,95118,68750,26368,506659,93974,104300,308386,175600,253148,235541,17606,101863,650430,288706,223822,82855,55048,67016,32588,34428,212288,54875,157413,206048,1323010,342295,284269,166912,117357,58026,980716,907550,484635,422915,73166,-9813,4734,14547
2005,7066107,7077721,5694360,34647,22033,12614,47195,17199,14379,15617,56130,387531,895469,590030,24823,28194,30701,81071,75459,123200,29093,75371,57121,23605,41393,305439,79944,15568,11311,31314,32639,13466,80842,40356,379429,229276,150154,477741,93165,73698,72252,238626,231618,36534,17904,4667,70123,12719,3767,58042,27863,241485,70548,24446,106112,40379,534590,196571,163514,172819,1687,101562,74076,27486,553603,98602,114528,340473,185333,274789,255884,18905,105884,687536,306027,236682,85377,59450,68387,33064,35322,222028,57112,164916,209404,1383362,362119,303468,176649,126819,58651,1021243,944909,505510,439399,76334,-11614,4796,16410
2006,7479676,7491255,6047079,37996,21886,16110,56998,20896,15757,20345,60885,421295,923977,614812,24803,29254,31978,85389,79304,129631,30291,75409,61792,23980,42981,309166,81154,14771,10962,31081,32962,15609,81640,40986,404598,245351,159247,492172,94781,75027,75049,247316,241002,36857,18707,5090,74019,13557,4233,59951,28588,248790,73943,24983,106895,42969,579181,207683,186629,183069,1801,108049,79081,28968,607406,103978,127443,375985,200744,292428,272457,19971,113118,733177,327481,253468,90138,62090,73082,36597,36485,233330,59310,174020,218850,1444176,374790,314522,182635,131887,60268,1069386,989842,531894,457948,79544,-11579,5069,16648
2007,7878475,7889369,6369769,41802,25338,16465,62709,22581,16262,23866,63083,439998,943645,627420,23603,29684,32497,88907,82800,131825,31037,72483,65784,23780,45019,316225,84278,14433,10652,31376,33339,15770,85766,40611,429255,259753,169502,506389,96269,77432,77976,254712,255917,39908,19287,5752,76841,14288,4733,63845,31263,260485,79664,26357,117101,37364,617429,210036,216525,190201,667,112182,81668,30515,655006,110025,140560,404421,219915,310118,289490,20628,120870,775071,346413,267770,94809,66079,77010,38824,38186,247803,63212,184592,231079,1519600,389995,329066,191619,137448,60928,1129605,1045751,560760,484991,83853,-10894,5219,16113
2008,8056826,8068679,6475493,42138,25680,16458,72820,27291,17525,28004,66284,433948,931892,615472,21240,27779,33007,90495,84206,128167,30871,63683,68301,22174,45548,316420,86051,13480,10451,31216,32253,16349,86640,39979,435657,262421,173236,500927,90103,80625,79875,250324,255641,38372,20420,6080,74996,14851,4776,64153,31993,257826,79323,27193,113957,37353,612139,199951,216948,194576,664,110333,80182,30151,693503,113302,149610,430590,221119,314084,292366,21719,129386,824574,366906,286333,100993,70341,80634,40769,39865,252497,65487,187010,240092,1593186,409608,349555,202299,147256,60054,1183578,1095890,586225,509665,87688,-11854,5364,17218
2009,7759019,7767191,6126325,42318,25747,16571,64696,25867,16014,22814,66832,368352,835178,539216,16311,22709,25597,77502,73943,118619,28567,47971,66796,17713,43488,295962,85503,10873,8585,28472,27249,16465,84325,34491,405132,237764,167368,474257,77994,79294,82266,234703,241101,35249,18831,5890,67877,14972,4910,61006,32367,251503,75781,26823,112123,36775,547984,184990,174601,187761,632,103651,75773,27878,669449,109776,147439,412233,207948,289154,267836,21318,139900,862407,381524,302491,104993,73400,78584,40216,38368,242758,59793,182965,235120,1640866,433586,375833,218678,157155,57753,1207280,1117909,598664,519244,89371,-8172,5740,13912
