lnee,lnprdty,urintensity,lnrw
683.6227053,394.0378336,631.2085635,404.4045074
684.4176297,397.9868513,627.284996,408.0322968
686.8047247,400.2064232,627.578543,413.1926655
687.4922122,400.8077889,625.5644137,420.7554958
686.1428578,399.8200896,632.2070107,429.0684122
680.6132215,399.3994087,638.4421652,433.9506777
673.6338053,399.5529342,645.3023098,435.3119797
668.7607237,400.2780349,651.3614962,432.3298015
664.3177567,401.5624083,655.9016751,422.0144674
662.5219939,403.6804246,655.466617,413.9733895
660.0781649,406.5800485,650.9342778,408.2874387
657.7861358,410.1940772,654.5018975,404.5899315
655.0322905,414.4448969,656.0294217,400.7171313
651.8601416,418.3311156,657.0086058,397.4083843
649.4404158,421.8873657,657.0856049,394.5915529
647.9476916,425.14281,656.0594278,391.8469686
647.2037128,428.1221802,656.3572618,388.2312382
648.1224847,430.6469187,647.9044603,385.8094469
649.6322399,432.748702,649.4882794,384.0340289
649.2391339,434.4525239,649.6527028,384.1490331
651.31856,435.7777683,647.1645094,379.9205453
653.4181203,437.2491785,646.2173467,380.6526109
656.074774,438.8601359,642.52741,378.4470251
659.4591283,440.6036536,641.4892552,379.9346498
661.0251801,442.4724647,639.9373336,373.848417
663.1118647,444.43275,633.108976,377.6217953
663.7428397,446.4785565,635.5531743,380.0710339
663.0115942,448.6039657,636.562713,380.2502585
662.1272487,450.8031327,641.1403205,382.5475446
661.1462911,453.0400543,637.3671179,381.7908557
660.6785312,455.3111984,636.3759394,380.5892947
660.7825171,457.6131792,643.7275532,380.6389584
661.2269503,459.9427612,641.5862637,379.7791103
660.5933713,460.8498856,637.5228433,376.1520965
658.8334831,460.3729315,647.2097578,372.6276812
656.5968948,458.4918227,648.3972762,370.4133875
652.5029658,455.1251258,657.041908,368.5316649
648.8642463,453.3390821,663.1515491,366.7068372
646.4697332,453.2205494,663.4066311,363.3876445
645.4097328,454.7754187,662.4457611,361.2435479
644.6354539,457.9276693,664.589741,360.1492304
644.3336028,460.6811228,664.8557113,358.3036226
644.4449171,463.0654446,662.7754526,357.333269
644.338376,465.1048479,663.9680888,355.3780174
644.8620371,466.8190107,664.9450715,359.0537028
644.5513449,467.5148817,664.4865174,359.8609531
644.5291156,467.21357,664.0595976,361.8705327
644.3288294,465.9059781,664.5157171,362.7450353
644.6084832,463.5518661,660.0644003,363.4169768
644.7147371,461.9552713,657.5683764,363.5022634
644.0196658,461.1536264,664.5470441,363.791117
643.5509137,461.1662542,659.8695643,364.3106295
642.660172,461.9928477,658.6803212,361.1995944
641.8087573,462.3699789,657.1741043,361.3132364
640.9138161,462.3027103,659.4676054,359.6134255
640.0041475,461.7901421,661.322432,358.8830798
638.7771177,460.8253721,657.2495539,355.8158531
637.7016022,460.1458552,660.2022074,353.4392939
637.5075926,459.757489,657.4772845,349.9977806
637.6046444,459.6636865,648.9200358,349.4100797
637.8986298,459.8652766,654.3830915,346.8724234
638.800663,459.6676798,654.8797771,346.3642413
639.3540585,459.0685186,648.3468413,346.4102793
638.8947885,458.0605167,642.3869648,344.9647655
639.2134845,456.6311997,645.9551124,343.4208639
639.3808122,455.9651143,647.7116458,343.0298687
638.6593083,456.0776352,652.7482433,342.7318919
638.5582182,456.9661485,648.0518575,343.0174561
638.7771177,458.6102512,642.3645278,344.7187129
638.9451765,460.0225209,643.7524362,345.2376468
639.4760638,461.2123091,642.8141975,342.9203283
640.3855615,462.1872595,646.7650458,338.9700581
640.9352175,462.9534796,640.3415071,336.076701
641.05531,463.2503974,647.0910484,332.3006104
641.7826455,463.0821817,643.2025769,331.5752756
643.218418,462.4464742,643.0708347,331.9379407
645.4364883,461.3342783,633.7537483,332.7305848
644.8889394,460.3454038,610.3193177,332.9692997
645.7711127,459.4836598,628.6794565,334.8076642
647.2856211,458.7524383,632.2668164,331.9369254
648.696839,458.1546716,622.2694137,329.5134583
645.927828,458.4744792,636.0110984,332.0745314
645.3514757,459.7031361,644.7664097,327.1908563
644.5084697,461.8077155,643.2403454,327.6879104
643.635868,464.7339476,637.6499877,325.8528915
644.830378,466.2969923,648.5190988,327.3537617
646.4697332,466.5593258,636.2176352,334.4761871
646.7186172,465.5312088,616.1924045,336.0380741
647.2191723,463.1720605,640.1530913,349.2626542
648.4482552,461.4551947,592.4385035,349.6605054
650.0192973,460.4149609,595.2047673,352.1503968
651.0808784,460.0728463,634.7997402,353.0165435
652.1798637,460.4360317,625.0970772,354.0192189
651.8365271,460.7075578,619.5056612,353.0121657
651.5408745,460.8881665,634.273852,351.3920249
651.8306226,460.9783486,640.2153554,349.65283
