Date,CWURS49ASA0,CWURS49ASA0 pct chg
"Jan
1985",104.3,3.5
"Feb
1985",104.6,3.4
"Mar
1985",104.8,4.0
"Apr
1985",105.3,4.2
"May
1985",106.3,3.6
"Jun
1985",106.3,3.5
"Jul
1985",106.9,5.2
"Aug
1985",107.6,4.3
"Sep
1985",107.5,4.5
"Oct
1985",108.3,5.8
"Nov
1985",108.0,5.0
"Dec
1985",108.3,4.4
"Annual
1985",106.5,4.2
"HALF1
1985",105.3,3.7
"HALF2
1985",107.8,4.9
"Jan
1986",108.6,4.1
"Feb
1986",108.4,3.6
"Mar
1986",108.8,3.8
"Apr
1986",108.3,2.8
"May
1986",109.2,2.7
"Jun
1986",109.8,3.3
"Jul
1986",109.6,2.5
"Aug
1986",109.5,1.8
"Sep
1986",110.6,2.9
"Oct
1986",111.1,2.6
"Nov
1986",110.4,2.2
"Dec
1986",110.1,1.7
"Annual
1986",109.5,2.8
"HALF1
1986",108.9,3.4
"HALF2
1986",110.2,2.2
"Jan
1987",110.8,2.0
"Feb
1987",112.1,3.4
"Mar
1987",112.8,3.7
"Apr
1987",113.3,4.6
"May
1987",114.1,4.5
"Jun
1987",113.8,3.6
"Jul
1987",113.8,3.8
"Aug
1987",114.6,4.7
"Sep
1987",115.2,4.2
"Oct
1987",115.8,4.2
"Nov
1987",115.4,4.5
"Dec
1987",115.7,5.1
"Annual
1987",114.0,4.1
"HALF1
1987",112.8,3.6
"HALF2
1987",115.1,4.4
"Jan
1988",115.9,4.6
"Feb
1988",116.6,4.0
"Mar
1988",117.5,4.2
"Apr
1988",118.0,4.1
"May
1988",118.9,4.2
"Jun
1988",118.9,4.5
"Jul
1988",119.0,4.6
"Aug
1988",119.5,4.3
"Sep
1988",120.3,4.4
"Oct
1988",121.0,4.5
"Nov
1988",120.9,4.8
"Dec
1988",121.1,4.7
"Annual
1988",119.0,4.4
"HALF1
1988",117.6,4.3
"HALF2
1988",120.3,4.5
"Jan
1989",121.4,4.7
"Feb
1989",122.3,4.9
"Mar
1989",122.9,4.6
"Apr
1989",124.0,5.1
"May
1989",125.0,5.1
"Jun
1989",125.3,5.4
"Jul
1989",125.7,5.6
"Aug
1989",125.5,5.0
"Sep
1989",126.5,5.2
"Oct
1989",126.5,4.5
"Nov
1989",126.4,4.5
"Dec
1989",127.0,4.9
"Annual
1989",124.9,5.0
"HALF1
1989",123.5,5.0
"HALF2
1989",126.3,5.0
"Jan
1990",128.5,5.8
"Feb
1990",129.8,6.1
"Mar
1990",130.5,6.2
"Apr
1990",130.2,5.0
"May
1990",130.7,4.6
"Jun
1990",131.1,4.6
"Jul
1990",131.6,4.7
"Aug
1990",132.3,5.4
"Sep
1990",133.5,5.5
"Oct
1990",134.5,6.3
"Nov
1990",134.8,6.6
"Dec
1990",135.2,6.5
"Annual
1990",131.9,5.6
"HALF1
1990",130.1,5.3
"HALF2
1990",133.7,5.9
"Jan
1991",135.8,5.7
"Feb
1991",135.5,4.4
"Mar
1991",135.3,3.7
"Apr
1991",136.3,4.7
"May
1991",136.5,4.4
"Jun
1991",136.4,4.0
"Jul
1991",137.3,4.3
"Aug
1991",137.4,3.9
"Sep
1991",138.2,3.5
"Oct
1991",138.5,3.0
"Nov
1991",139.0,3.1
"Dec
1991",138.6,2.5
"Annual
1991",137.1,3.9
"HALF1
1991",136.0,4.5
"HALF2
1991",138.2,3.4
"Jan
1992",139.6,2.8
"Feb
1992",140.3,3.5
"Mar
1992",141.0,4.2
"Apr
1992",141.3,3.7
"May
1992",141.4,3.6
"Jun
1992",141.8,4.0
"Jul
1992",142.2,3.6
"Aug
1992",142.4,3.6
"Sep
1992",142.8,3.3
"Oct
1992",143.6,3.7
"Nov
1992",143.5,3.2
"Dec
1992",143.5,3.5
"Annual
1992",142.0,3.6
"HALF1
1992",140.9,3.6
"HALF2
1992",143.0,3.5
"Jan
1993",144.4,3.4
"Feb
1993",145.0,3.3
"Mar
1993",144.8,2.7
"Apr
1993",144.9,2.5
"May
1993",145.1,2.6
"Jun
1993",144.8,2.1
"Jul
1993",144.8,1.8
"Aug
1993",144.9,1.8
"Sep
1993",145.0,1.5
"Oct
1993",145.7,1.5
"Nov
1993",146.4,2.0
"Dec
1993",146.7,2.2
"Annual
1993",145.2,2.3
"HALF1
1993",144.8,2.8
"HALF2
1993",145.6,1.8
"Jan
1994",146.8,1.7
"Feb
1994",146.9,1.3
"Mar
1994",147.0,1.5
"Apr
1994",146.6,1.2
"May
1994",146.2,0.8
"Jun
1994",146.1,0.9
"Jul
1994",146.5,1.2
"Aug
1994",146.8,1.3
"Sep
1994",147.3,1.6
"Oct
1994",148.0,1.6
"Nov
1994",147.7,0.9
"Dec
1994",148.1,1.0
"Annual
1994",147.0,1.2
"HALF1
1994",146.6,1.2
"HALF2
1994",147.4,1.2
"Jan
1995",149.0,1.5
"Feb
1995",149.2,1.6
"Mar
1995",149.3,1.6
"Apr
1995",149.5,2.0
"May
1995",149.8,2.5
"Jun
1995",149.7,2.5
"Jul
1995",149.3,1.9
"Aug
1995",149.2,1.6
"Sep
1995",149.3,1.4
"Oct
1995",149.9,1.3
"Nov
1995",149.2,1.0
"Dec
1995",149.4,0.9
"Annual
1995",149.4,1.6
"HALF1
1995",149.4,1.9
"HALF2
1995",149.4,1.4
"Jan
1996",150.4,0.9
"Feb
1996",150.9,1.1
"Mar
1996",151.9,1.7
"Apr
1996",152.4,1.9
"May
1996",152.3,1.7
"Jun
1996",151.5,1.2
"Jul
1996",152.3,2.0
"Aug
1996",151.9,1.8
"Sep
1996",152.7,2.3
"Oct
1996",153.2,2.2
"Nov
1996",152.9,2.5
"Dec
1996",152.7,2.2
"Annual
1996",152.1,1.8
"HALF1
1996",151.6,1.5
"HALF2
1996",152.6,2.1
"Jan
1997",153.6,2.1
"Feb
1997",153.6,1.8
"Mar
1997",154.2,1.5
"Apr
1997",154.3,1.2
"May
1997",154.0,1.1
"Jun
1997",153.8,1.5
"Jul
1997",153.8,1.0
"Aug
1997",154.0,1.4
"Sep
1997",154.7,1.3
"Oct
1997",155.4,1.4
"Nov
1997",154.9,1.3
"Dec
1997",155.3,1.7
"Annual
1997",154.3,1.4
"HALF1
1997",153.9,1.5
"HALF2
1997",154.7,1.4
"Jan
1998",155.1,1.0
"Feb
1998",155.0,0.9
"Mar
1998",155.1,0.6
"Apr
1998",155.6,0.8
"May
1998",156.2,1.4
"Jun
1998",156.1,1.5
"Jul
1998",155.9,1.4
"Aug
1998",156.1,1.4
"Sep
1998",156.1,0.9
"Oct
1998",156.8,0.9
"Nov
1998",157.0,1.4
"Dec
1998",157.2,1.2
"Annual
1998",156.0,1.1
"HALF1
1998",155.5,1.0
"HALF2
1998",156.5,1.2
"Jan
1999",157.8,1.7
"Feb
1999",158.1,2.0
"Mar
1999",158.3,2.1
"Apr
1999",160.1,2.9
"May
1999",159.7,2.2
"Jun
1999",158.9,1.8
"Jul
1999",159.2,2.1
"Aug
1999",159.8,2.4
"Sep
1999",160.7,2.9
"Oct
1999",160.7,2.5
"Nov
1999",160.6,2.3
"Dec
1999",160.9,2.4
"Annual
1999",159.6,2.3
"HALF1
1999",158.8,2.1
