Date,Series ID,CWURS49ASA0,CWURS49ASA0
1/1/2000,"Jan
2000",161.30,2.20
2/1/2000,"Feb
2000",162.40,2.70
3/1/2000,"Mar
2000",163.90,3.50
4/1/2000,"Apr
2000",164.00,2.40
5/1/2000,"May
2000",164.40,2.90
6/1/2000,"Jun
2000",164.30,3.40
7/1/2000,"Jul
2000",165.00,3.60
8/1/2000,"Aug
2000",165.30,3.40
9/1/2000,"Sep
2000",166.30,3.50
10/1/2000,"Oct
2000",166.90,3.90
11/1/2000,"Nov
2000",166.60,3.70
12/1/2000,"Dec
2000",166.70,3.60
1/1/2001,"Jan
2001",167.30,3.70
2/1/2001,"Feb
2001",168.30,3.60
3/1/2001,"Mar
2001",169.10,3.20
4/1/2001,"Apr
2001",169.60,3.40
5/1/2001,"May
2001",170.50,3.70
6/1/2001,"Jun
2001",171.90,4.60
7/1/2001,"Jul
2001",171.30,3.80
8/1/2001,"Aug
2001",171.10,3.50
9/1/2001,"Sep
2001",171.50,3.10
10/1/2001,"Oct
2001",171.00,2.50
11/1/2001,"Nov
2001",170.70,2.50
12/1/2001,"Dec
2001",169.70,1.80
1/1/2002,"Jan
2002",171.50,2.50
2/1/2002,"Feb
2002",172.80,2.70
3/1/2002,"Mar
2002",173.80,2.80
4/1/2002,"Apr
2002",174.80,3.10
5/1/2002,"May
2002",175.40,2.90
6/1/2002,"Jun
2002",174.70,1.60
7/1/2002,"Jul
2002",175.00,2.20
8/1/2002,"Aug
2002",175.60,2.60
9/1/2002,"Sep
2002",176.30,2.80
10/1/2002,"Oct
2002",176.50,3.20
11/1/2002,"Nov
2002",177.00,3.70
12/1/2002,"Dec
2002",176.70,4.10
1/1/2003,"Jan
2003",177.80,3.70
2/1/2003,"Feb
2003",179.60,3.90
3/1/2003,"Mar
2003",181.60,4.50
4/1/2003,"Apr
2003",180.90,3.50
5/1/2003,"May
2003",179.90,2.60
6/1/2003,"Jun
2003",179.60,2.80
7/1/2003,"Jul
2003",179.60,2.60
8/1/2003,"Aug
2003",180.50,2.80
9/1/2003,"Sep
2003",181.90,3.20
10/1/2003,"Oct
2003",181.20,2.70
11/1/2003,"Nov
2003",180.50,2.00
12/1/2003,"Dec
2003",180.20,2.00
1/1/2004,"Jan
2004",181.70,2.20
2/1/2004,"Feb
2004",183.40,2.10
3/1/2004,"Mar
2004",184.90,1.80
4/1/2004,"Apr
2004",185.20,2.40
5/1/2004,"May
2004",186.80,3.80
6/1/2004,"Jun
2004",187.40,4.30
7/1/2004,"Jul
2004",186.80,4.00
8/1/2004,"Aug
2004",186.50,3.30
9/1/2004,"Sep
2004",187.80,3.20
10/1/2004,"Oct
2004",189.80,4.70
11/1/2004,"Nov
2004",190.30,5.40
12/1/2004,"Dec
2004",188.50,4.60
1/1/2005,"Jan
2005",188.50,3.70
2/1/2005,"Feb
2005",190.30,3.80
3/1/2005,"Mar
2005",192.10,3.90
4/1/2005,"Apr
2005",194.20,4.90
5/1/2005,"May
2005",194.60,4.20
6/1/2005,"Jun
2005",193.70,3.40
7/1/2005,"Jul
2005",194.60,4.20
8/1/2005,"Aug
2005",196.40,5.30
9/1/2005,"Sep
2005",199.00,6.00
10/1/2005,"Oct
2005",200.00,5.40
11/1/2005,"Nov
2005",198.40,4.30
12/1/2005,"Dec
2005",196.50,4.20
1/1/2006,"Jan
2006",198.30,5.20
2/1/2006,"Feb
2006",199.90,5.00
3/1/2006,"Mar
2006",200.80,4.50
4/1/2006,"Apr
2006",202.90,4.50
5/1/2006,"May
2006",205.00,5.30
6/1/2006,"Jun
2006",204.20,5.40
7/1/2006,"Jul
2006",204.50,5.10
8/1/2006,"Aug
2006",205.00,4.40
9/1/2006,"Sep
2006",205.30,3.20
