Date,x
1/1/1998,1.2119
2/1/1998,1.212
3/1/1998,1.2121
4/1/1998,1.2123
5/1/1998,1.2126
6/1/1998,1.2129
7/1/1998,1.2134
8/1/1998,1.2139
9/1/1998,1.2144
10/1/1998,1.215
11/1/1998,1.2158
12/1/1998,1.2166
1/1/1999,1.2176
2/1/1999,1.2184
3/1/1999,1.2189
4/1/1999,1.2191
5/1/1999,1.2192
6/1/1999,1.219
7/1/1999,1.2187
8/1/1999,1.2182
9/1/1999,1.2176
10/1/1999,1.2169
11/1/1999,1.2159
12/1/1999,1.2146
1/1/2000,1.213
2/1/2000,1.2117
3/1/2000,1.2107
4/1/2000,1.21
5/1/2000,1.2095
6/1/2000,1.209
7/1/2000,1.2087
8/1/2000,1.2086
9/1/2000,1.2085
10/1/2000,1.2086
11/1/2000,1.209
12/1/2000,1.2097
1/1/2001,1.2107
2/1/2001,1.2112
3/1/2001,1.2111
4/1/2001,1.2105
5/1/2001,1.2095
6/1/2001,1.2082
7/1/2001,1.2064
8/1/2001,1.2043
9/1/2001,1.2019
10/1/2001,1.1991
11/1/2001,1.1957
12/1/2001,1.1918
1/1/2002,1.1873
2/1/2002,1.1832
3/1/2002,1.1794
4/1/2002,1.1761
5/1/2002,1.1729
6/1/2002,1.1698
7/1/2002,1.1668
8/1/2002,1.1641
9/1/2002,1.1616
10/1/2002,1.1593
11/1/2002,1.1573
12/1/2002,1.1555
1/1/2003,1.154
2/1/2003,1.1524
3/1/2003,1.1505
4/1/2003,1.1484
5/1/2003,1.1463
6/1/2003,1.1441
7/1/2003,1.1419
8/1/2003,1.1395
9/1/2003,1.1371
10/1/2003,1.1345
11/1/2003,1.1319
12/1/2003,1.129
1/1/2004,1.126
2/1/2004,1.1233
3/1/2004,1.1209
4/1/2004,1.1188
5/1/2004,1.117
6/1/2004,1.1154
7/1/2004,1.1141
8/1/2004,1.1129
9/1/2004,1.112
10/1/2004,1.1112
11/1/2004,1.1108
12/1/2004,1.1107
1/1/2005,1.1109
2/1/2005,1.111
3/1/2005,1.1108
4/1/2005,1.1105
5/1/2005,1.11
6/1/2005,1.1095
7/1/2005,1.1089
8/1/2005,1.1082
9/1/2005,1.1075
10/1/2005,1.1066
11/1/2005,1.1056
12/1/2005,1.1046
1/1/2006,1.1034
2/1/2006,1.1022
3/1/2006,1.101
4/1/2006,1.0997
5/1/2006,1.0983
6/1/2006,1.0969
7/1/2006,1.0955
8/1/2006,1.0941
9/1/2006,1.0927
10/1/2006,1.0912
11/1/2006,1.0896
12/1/2006,1.0879
1/1/2007,1.0861
2/1/2007,1.0847
3/1/2007,1.0838
4/1/2007,1.0834
5/1/2007,1.0833
6/1/2007,1.0835
7/1/2007,1.084
8/1/2007,1.0848
9/1/2007,1.0859
10/1/2007,1.0872
11/1/2007,1.0892
12/1/2007,1.0919
1/1/2008,1.0952
2/1/2008,1.0972
3/1/2008,1.0979
4/1/2008,1.0973
5/1/2008,1.0956
6/1/2008,1.093
7/1/2008,1.0895
8/1/2008,1.0851
9/1/2008,1.0798
10/1/2008,1.0737
11/1/2008,1.0662
12/1/2008,1.0572
1/1/2009,1.0467
2/1/2009,1.0378
3/1/2009,1.0303
4/1/2009,1.0244
5/1/2009,1.0192
6/1/2009,1.0149
7/1/2009,1.0113
8/1/2009,1.0086
9/1/2009,1.0067
10/1/2009,1.0056
11/1/2009,1.0057
12/1/2009,1.007
1/1/2010,1.0094
2/1/2010,1.0113
3/1/2010,1.0126
4/1/2010,1.0134
5/1/2010,1.0141
6/1/2010,1.0147
7/1/2010,1.0152
8/1/2010,1.0154
9/1/2010,1.0153
10/1/2010,1.0151
11/1/2010,1.0146
12/1/2010,1.0139
1/1/2011,1.0129
2/1/2011,1.012
3/1/2011,1.0111
4/1/2011,1.0102
5/1/2011,1.0093
6/1/2011,1.0084
7/1/2011,1.0074
8/1/2011,1.0065
9/1/2011,1.0056
10/1/2011,1.0046
11/1/2011,1.0036
12/1/2011,1.0026
1/1/2012,1.0015
2/1/2012,1.0007
3/1/2012,1.0002
4/1/2012,1
5/1/2012,1
6/1/2012,1.0002
7/1/2012,1.0007
8/1/2012,1.0013
9/1/2012,1.0022
10/1/2012,1.0033
11/1/2012,1.0048
12/1/2012,1.0066
1/1/2013,1.0086
2/1/2013,1.0105
3/1/2013,1.0121
4/1/2013,1.0134
5/1/2013,1.0146
6/1/2013,1.0157
7/1/2013,1.0167
8/1/2013,1.0175
9/1/2013,1.0181
10/1/2013,1.0186
11/1/2013,1.0189
12/1/2013,1.019
1/1/2014,1.0189
2/1/2014,1.0189
3/1/2014,1.0189
4/1/2014,1.0189
5/1/2014,1.019
6/1/2014,1.0191
7/1/2014,1.0192
8/1/2014,1.0193
