drbllbrprd,drblcapultqtr,ppimfgqtr,yldcrvqtr,drblmfgunitqtr,realwgshr
69.05,81.11,131.97,0.78,290.00,48.86
69.64,81.16,133.30,0.29,342.69,46.39
69.71,79.98,134.03,-0.31,260.92,46.77
69.69,77.95,134.70,-0.63,356.92,46.01
69.62,75.38,134.70,0.10,450.15,48.05
70.36,73.07,135.97,1.52,431.69,47.52
70.18,70.53,134.87,1.74,542.77,46.55
71.37,68.55,132.67,2.83,733.54,45.89
73.71,69.03,132.17,3.32,970.46,44.51
75.42,70.35,133.63,3.35,1066.15,43.88
77.38,71.11,134.10,2.59,1056.00,42.33
78.73,71.03,134.73,2.65,1115.00,41.09
80.07,71.07,137.33,2.74,1338.08,39.45
80.99,70.60,136.13,2.56,1478.77,38.52
83.28,71.59,136.83,3.28,1395.69,37.84
83.50,72.84,137.87,3.35,1173.08,38.48
82.80,73.54,139.50,3.09,1363.69,36.88
83.12,73.85,142.67,3.50,1259.77,36.60
83.49,74.46,143.70,2.79,949.92,37.02
84.80,75.35,145.87,2.13,957.69,35.87
86.31,76.32,147.37,1.71,1000.00,35.50
87.60,76.31,149.53,1.23,701.08,34.31
87.92,76.11,152.33,0.78,777.31,33.61
89.06,77.85,154.03,0.58,737.31,32.89
89.12,77.93,154.20,0.07,580.31,33.36
88.67,77.88,158.40,0.24,506.77,32.00
89.21,77.59,158.67,-0.14,483.00,31.12
90.53,77.23,156.40,-0.40,447.23,31.48
91.99,77.59,158.07,-0.44,661.62,31.33
93.79,78.64,163.23,-0.03,630.00,30.32
94.64,78.27,163.87,0.31,553.85,29.84
96.43,78.74,166.47,0.79,607.38,29.05
96.45,78.78,170.50,1.57,718.31,28.29
94.77,77.20,178.90,2.23,804.23,27.69
93.39,74.18,183.70,2.34,918.46,27.81
89.81,68.10,170.10,2.95,1082.77,29.58
87.30,61.53,163.83,2.52,1805.69,29.59
88.69,58.98,166.13,3.14,2394.00,29.72
93.92,61.56,168.37,3.36,2731.62,29.17
95.66,63.42,170.13,3.40,3100.00,28.83
97.23,65.61,173.07,3.61,4012.62,26.30
98.95,68.48,175.37,3.34,3462.85,26.12
99.87,70.08,175.17,2.63,3247.54,25.48
100.37,70.84,178.20,2.73,3381.69,25.28
101.34,72.06,183.90,3.33,3612.69,25.28
99.34,71.95,191.07,3.16,3678.54,24.47
100.98,72.93,191.30,2.40,3475.38,24.48
99.85,73.92,190.13,2.03,2904.62,24.24
100.47,75.40,192.50,1.97,2862.23,24.80
100.04,75.74,193.33,1.74,2782.77,24.51
99.90,75.11,193.37,1.54,2577.85,24.19
99.99,75.07,193.17,1.62,2478.69,24.22
101.13,75.47,194.10,1.86,2531.69,23.95
101.24,75.21,193.97,1.95,2054.77,23.77
101.32,75.08,194.30,2.68,1892.31,23.76
102.19,75.74,193.20,2.68,1915.38,23.83
102.18,75.73,195.20,2.72,1428.54,24.12
102.33,77.06,197.30,2.59,1305.69,23.98
102.22,77.79,197.20,2.47,1265.38,24.17
101.56,78.08,192.20,2.26,1176.00,24.82
100.82,77.19,185.53,1.94,1609.85,25.20
101.03,76.96,187.60,2.15,939.00,24.94
100.94,76.81,186.60,2.18,766.15,24.99
99.65,75.59,182.47,2.06,825.00,25.19
99.56,75.02,179.23,1.63,951.08,25.34
99.45,74.84,182.00,1.49,810.92,25.00
100.21,74.87,182.97,1.27,942.69,24.97
100.29,74.99,183.60,1.70,973.38,24.93
100.11,75.26,186.17,1.84,890.15,24.71
100.78,76.05,187.50,1.36,708.08,24.69
99.41,75.79,188.43,1.19,831.00,24.53
99.69,77.07,190.90,1.14,671.46,24.74
100.40,77.96,193.37,1.18,576.23,24.69
100.81,78.80,197.13,1.04,682.00,24.21
99.97,79.09,198.67,0.85,543.69,24.21
99.63,79.08,198.00,0.68,469.23,24.17
97.74,77.68,195.70,0.22,420.00,24.22
96.72,77.02,198.43,-0.02,412.00,23.85
96.24,76.57,196.60,-0.22,448.00,23.80
96.71,75.99,196.50,0.19,519.08,24.65
96.54,74.16,194.67,0.25,510.00,25.16
92.16,60.97,188.40,0.54,884.62,23.90
100.34,71.97,192.73,0.54,1056.23,24.36
99.96,73.46,194.97,0.77,788.31,24.97
99.06,74.02,203.53,1.27,917.23,24.11
98.15,74.13,214.37,1.56,1217.08,23.46
97.54,75.06,220.49,1.28,802.62,22.51
97.63,76.27,226.35,1.48,798.62,22.67
96.91,76.97,238.05,1.64,807.23,22.40
97.43,77.77,256.12,1.83,521.54,22.01
96.68,77.89,253.30,0.36,519.23,22.31
96.13,77.20,250.68,-0.35,452.00,22.33
95.54,76.93,249.16,-1.13,309.62,22.49
96.57,77.09,246.86,-1.67,424.62,22.77
95.71,76.89,249.63,-1.39,386.00,22.95
95.71,76.09,246.29,-1.08,450.69,23.24
95.90,75.81,247.29,-1.29,383.69,23.48
95.70,75.58,249.29,-1.02,394.00,23.61
