prd,unioncov,unint,rw
85.711,1400.897863,1000,77.97554795
86.994,1395.001636,701.08,77.48448412
87.307,1379.051887,777.31,76.77745898
88.443,1353.048614,737.31,74.41431037
88.495,1316.99182,580.31,75.11308226
88.045,1280.972374,506.77,74.39675769
88.579,1244.990277,483,73.92895276
89.88,1209.045529,447.23,73.63820507
91.318,1173.138131,661.62,74.60695937
93.099,1158.319919,630,72.7868815
93.937,1164.590894,553.85,70.5830964
95.711,1191.951057,607.38,70.02839123
95.73,1240.400406,718.31,70.63518187
94.065,1252.819983,804.23,69.50221089
92.689,1229.209789,918.46,69.1954791
89.136,1169.569822,1082.77,72.48873208
86.634,1073.900083,1805.69,73.71678638
88.014,1000.072154,2394,73.765054
93.193,948.0860357,2731.62,71.84666258
94.91,917.9417279,3100,70.4419697
96.456,909.6392307,4012.62,66.4548008
98.16,906.0625395,3462.85,65.95401485
99.063,907.2116544,3247.54,64.09839312
99.552,913.0865754,3381.69,63.67468936
100.516,923.6873024,3612.69,65.0279202
98.527,928.0526723,3678.54,64.21179195
100.148,926.1826849,3475.38,64.71839359
99.016,918.0773404,2904.62,63.09413702
99.602,903.7366387,2862.23,65.12713141
99.183,898.9057025,2782.77,64.99706582
99.065,903.5845319,2577.85,65.08647477
99.199,917.7731269,2478.69,65.23203043
100.39,941.4714875,2531.69,64.05735171
100.558,956.7622367,2054.77,64.60420649
100.696,963.6453746,1892.31,64.49830383
101.603,962.1209012,1915.38,64.37242684
101.627,952.1888165,1428.54,66.82816306
101.811,944.940456,1305.69,66.42259848
101.751,940.3758198,1265.38,65.78111865
101.139,938.4949078,1176,67.26650868
100.453,939.2977201,1609.85,67.85946776
100.712,937.099757,939,68.49656729
100.666,931.9010184,766.15,68.63252407
99.41,923.7015044,825,69.02579168
99.349,912.5012149,951.08,68.88078643
99.279,905.4206132,810.92,69.17740402
100.073,902.4596991,942.69,68.95681517
100.205,903.6184728,973.38,69.4306982
100.068,908.8969341,890.15,69.44967279
100.779,912.649545,708.08,69.75585495
99.423,914.8763054,831,69.39067949
99.709,915.5772155,671.46,69.34960284
100.407,914.7522751,576.23,69.98275537
100.804,915.3213889,682,70.09139373
99.963,917.2845569,543.69,70.69335396
99.632,920.6417791,469.23,70.18679318
97.742,925.3930556,420,71.1398321
96.681,921.9363439,412,70.72538102
96.12,910.2716442,448,70.06996578
96.457,890.3989563,519.08,71.44016347
96.1,862.3182804,510,72.66454756
91.627,834.5586979,884.62,77.81955768
99.692,807.1202087,1056.23,70.37762126
99.298,780.0028129,788.31,72.26991572
98.464,753.2065105,917.23,71.58314066
97.593,740.8053853,1217.08,72.5976758
97.01,742.7994374,802.62,72.8837995
97.115,759.1886667,798.62,72.87875619
96.4,789.9730733,807.23,73.77133576
96.919,816.2976066,521.54,74.40267449
96.168,838.1622667,519.23,77.05918445
95.624,855.5670534,452,76.93759804
95.038,868.5119668,309.62,79.23220744
96.059,877.4851455,424.62,80.1303459
95.208,882.4865893,386,81.1718248
95.206,883.5162983,450.69,81.63055316
95.394,880.5742726,383.69,85.69236025
95.153,878.3677532,394,86.04572968
