Year,        Manufacturing,            Durable goods,                Wood products,                Nonmetallic mineral products,                Primary metals,                Fabricated metal products,                Machinery,                Computer and electronic products,"                Electrical equipment, appliances, and components","                Motor vehicles, bodies and trailers, and parts",                Other transportation equipment,                Furniture and related products,                Miscellaneous manufacturing,            Nondurable goods,                Food and beverage and tobacco products,                Textile mills and textile product mills,                Apparel and leather and allied products,                Paper products,                Printing and related support activities,                Petroleum and coal products,                Chemical products,                Plastics and rubber products
2000,17272,10921,629,565,613,1761,1443,1784,597,1312,743,700,774,6351,1754,603,565,599,793,121,973,943
2001,16481,10402,594,551,562,1674,1358,1736,558,1213,726,672,757,6080,1744,531,499,567,789,119,948,883
2002,15288,9522,573,526,502,1547,1218,1483,495,1149,679,627,722,5766,1717,492,427,533,728,118,913,839
2003,14539,9008,546,502,486,1465,1144,1341,457,1109,647,603,708,5531,1689,453,371,504,697,115,892,810
2004,14337,8970,562,505,480,1478,1134,1310,439,1105,652,599,706,5367,1673,418,334,486,678,110,875,793
2005,14267,9019,574,510,464,1529,1155,1296,431,1092,675,592,702,5248,1648,386,311,471,658,110,873,791
2006,14215,9039,566,522,462,1560,1172,1295,427,1062,694,579,699,5176,1645,363,294,461,648,111,866,789
2007,13939,8860,533,510,448,1558,1184,1262,424,986,713,552,689,5079,1647,351,270,447,646,114,853,751
2008,13436,8515,473,469,437,1523,1181,1236,419,875,727,500,675,4922,1644,321,242,430,604,116,844,721
2009,11835,7289,371,391,356,1307,1007,1125,366,667,673,406,618,4546,1615,265,217,395,532,113,788,619
2010,11523,7086,357,371,356,1283,987,1089,353,674,649,368,599,4436,1588,251,200,384,505,109,783,617
2011,11719,7297,349,374,384,1338,1050,1098,360,719,658,369,598,4422,1610,243,194,379,480,111,781,624
2012,11960,7523,353,381,400,1405,1098,1088,368,775,678,365,611,4437,1631,249,189,371,466,111,784,636
2013,12015,7569,363,380,394,1429,1097,1053,371,815,684,376,606,4446,1642,241,186,368,464,110,790,646
2014,12196,7713,381,390,394,1465,1112,1036,376,869,684,387,618,4483,1653,243,175,365,466,111,801,669
2015,12361,7794,387,403,388,1455,1108,1045,376,911,688,398,635,4568,1715,244,184,365,460,110,809,682
2016,12306,7714,398,412,366,1415,1065,1040,380,940,676,399,623,4592,1754,240,169,362,457,110,809,692
2017,12462,7768,406,418,361,1411,1069,1035,388,968,676,410,624,4694,1832,239,162,362,448,112,830,708
2018,12645,7948,422,420,373,1451,1104,1042,392,999,689,412,644,4697,1855,230,151,358,434,112,833,723
2019,12789,8053,430,424,380,1473,1115,1065,395,991,724,398,658,4736,1881,225,145,363,430,113,852,728
2020,12112,7567,406,402,347,1368,1039,1057,378,888,690,374,618,4545,1834,206,129,347,386,108,848,687
2021,12354,7694,421,408,344,1382,1051,1052,390,953,676,386,631,4660,1909,206,124,347,383,104,869,719
2022,12846,8007,438,422,363,1428,1107,1079,403,999,704,395,669,4840,1996,212,144,357,386,105,897,743
2023,,,,,,,,,,,,,,,,,,,,,,
